Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,26.0,14,15.0,5.0,6.0,14.0,25.0,56.0,11.0,11.0,2.0,9.0,10,36.0,24.0,1.0,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,19.0,12,5.0,11.0,3.0,11.0,23.0,47.8,12.0,13.0,5.0,8.0,10,29.0,13.0,1.0,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,32.0,24,15.0,17.0,0.0,12.0,32.0,37.5,20.0,12.0,2.0,10.0,27,59.0,14.0,1.0,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,7.0,5,2.0,2.0,3.0,3.0,4.0,75.0,1.0,11.0,4.0,7.0,4,11.0,7.0,0.0,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,20.0,12,11.0,9.0,0.0,14.0,21.0,66.7,7.0,15.0,2.0,13.0,5,25.0,23.0,0.0,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,6.0,4,3.0,3.0,0.0,4.0,8.0,50.0,4.0,8.0,1.0,7.0,2,8.0,2.0,0.0,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,4.0,1,0.0,3.0,1.0,0.0,6.0,0.0,6.0,3.0,1.0,2.0,8,12.0,6.0,1.0,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,29.0,20,13.0,12.0,4.0,8.0,16.0,50.0,8.0,18.0,3.0,15.0,12,41.0,3.0,0.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,7.0,6,5.0,2.0,0.0,3.0,4.0,75.0,1.0,13.0,7.0,6.0,17,24.0,44.0,1.0,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,12.0,7,5.0,6.0,1.0,7.0,21.0,33.3,14.0,10.0,2.0,8.0,5,17.0,8.0,0.0,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,13.0,6,7.0,5.0,1.0,3.0,6.0,50.0,3.0,10.0,8.0,2.0,10,23.0,36.0,0.0,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,8.0,5,4.0,3.0,1.0,1.0,6.0,16.7,5.0,7.0,4.0,3.0,8,16.0,28.0,0.0,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,14.0,9,5.0,4.0,5.0,7.0,13.0,53.8,6.0,5.0,2.0,3.0,5,19.0,4.0,0.0,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31,7.0,9.0,5,1.0,7.0,1.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,3,12.0,4.0,0.0,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30,6.7,8.0,3,1.0,7.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,1,9.0,6.0,0.0,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35,5.8,8.0,5,7.0,1.0,0.0,8.0,17.0,47.1,9.0,2.0,1.0,1.0,5,13.0,4.0,0.0,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25,5.9,13.0,10,4.0,8.0,1.0,8.0,13.0,61.5,5.0,7.0,0.0,7.0,8,21.0,13.0,0.0,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23,5.0,4.0,2,4.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,11,15.0,11.0,0.0,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35,3.5,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21,2.5,4.0,3,3.0,1.0,0.0,1.0,3.0,33.3,2.0,2.0,1.0,1.0,7,11.0,9.0,0.0,América,Brasileiro,Emilio Lara (América)
