Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,293.0,398.0,73.6,7725.0,5677.0,47.0,47.0,100.0,145.0,146.0,99.3,88.0,192.0,45.8,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,563.0,709.0,79.4,9215.0,2746.0,290.0,329.0,88.1,222.0,263.0,84.4,40.0,76.0,52.6,2,1.8,1.9,0.2,17.0,36.0,18.0,11.0,43.0,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,1083.0,1184.0,91.5,18409.0,5721.0,508.0,535.0,95.0,458.0,481.0,95.2,90.0,127.0,70.9,1,0.6,1.6,0.4,14.0,151.0,25.0,2.0,139.0,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,1002.0,1061.0,94.4,16423.0,4436.0,499.0,514.0,97.1,394.0,418.0,94.3,77.0,90.0,85.6,1,0.4,0.7,0.6,8.0,94.0,2.0,1.0,79.0,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,243.0,325.0,74.8,3716.0,683.0,128.0,159.0,80.5,79.0,98.0,80.6,22.0,33.0,66.7,5,4.3,2.2,0.7,21.0,18.0,13.0,1.0,32.0,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,579.0,672.0,86.2,9177.0,4163.0,299.0,315.0,94.9,239.0,281.0,85.1,28.0,57.0,49.1,0,0.3,0.5,-0.3,4.0,51.0,7.0,3.0,46.0,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,292.0,384.0,76.0,4244.0,711.0,180.0,198.0,90.9,84.0,112.0,75.0,15.0,40.0,37.5,1,2.6,2.6,-1.6,16.0,13.0,11.0,4.0,19.0,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,328.0,397.0,82.6,6021.0,1790.0,146.0,164.0,89.0,128.0,150.0,85.3,42.0,58.0,72.4,2,1.2,2.7,0.8,13.0,55.0,19.0,2.0,71.0,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,360.0,447.0,80.5,5320.0,1576.0,196.0,220.0,89.1,117.0,146.0,80.1,24.0,41.0,58.5,3,1.6,1.5,1.4,13.0,40.0,16.0,2.0,47.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,405.0,443.0,91.4,6983.0,2818.0,171.0,180.0,95.0,189.0,199.0,95.0,32.0,48.0,66.7,1,0.1,0.3,0.9,2.0,27.0,2.0,0.0,24.0,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,667.0,741.0,90.0,11133.0,4004.0,295.0,312.0,94.6,286.0,308.0,92.9,58.0,83.0,69.9,4,2.8,3.0,1.2,20.0,79.0,27.0,5.0,88.0,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,289.0,332.0,87.0,5118.0,1999.0,109.0,114.0,95.6,165.0,180.0,91.7,12.0,26.0,46.2,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,375.0,438.0,85.6,6968.0,3196.0,130.0,142.0,91.5,215.0,239.0,90.0,25.0,46.0,54.3,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,352.0,428.0,82.2,6008.0,1709.0,180.0,199.0,90.5,128.0,145.0,88.3,36.0,66.0,54.5,3,2.2,2.0,0.8,22.0,41.0,13.0,6.0,50.0,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31,7.0,131.0,179.0,73.2,1778.0,400.0,71.0,91.0,78.0,48.0,58.0,82.8,2.0,6.0,33.3,4,3.1,1.6,0.9,16.0,11.0,6.0,0.0,15.0,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30,6.7,120.0,152.0,78.9,1506.0,403.0,82.0,98.0,83.7,31.0,37.0,83.8,2.0,3.0,66.7,0,0.4,1.0,-0.4,4.0,5.0,9.0,1.0,18.0,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35,5.8,299.0,351.0,85.2,5226.0,1574.0,154.0,170.0,90.6,115.0,129.0,89.1,25.0,42.0,59.5,0,0.8,0.6,-0.8,7.0,31.0,4.0,3.0,24.0,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25,5.9,263.0,318.0,82.7,3921.0,1146.0,143.0,156.0,91.7,107.0,122.0,87.7,5.0,22.0,22.7,1,0.6,0.1,0.4,2.0,13.0,2.0,2.0,15.0,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23,5.0,313.0,341.0,91.8,6011.0,2249.0,112.0,117.0,95.7,154.0,158.0,97.5,41.0,57.0,71.9,0,0.0,0.1,0.0,0.0,13.0,1.0,0.0,12.0,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35,3.5,77.0,86.0,89.5,1493.0,1173.0,19.0,19.0,100.0,35.0,35.0,100.0,13.0,22.0,59.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21,2.5,119.0,140.0,85.0,1998.0,750.0,57.0,60.0,95.0,58.0,67.0,86.6,4.0,12.0,33.3,0,0.0,0.1,0.0,0.0,6.0,2.0,1.0,10.0,América,Brasileiro,Emilio Lara (América)
Néstor Araujo,MEX,DF,32,2.0,114.0,129.0,88.4,2210.0,1148.0,42.0,44.0,95.5,61.0,68.0,89.7,11.0,16.0,68.8,0,0.3,0.0,-0.3,1.0,6.0,0.0,0.0,5.0,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22,1.5,55.0,67.0,82.1,952.0,252.0,26.0,31.0,83.9,22.0,25.0,88.0,6.0,9.0,66.7,0,0.0,0.2,0.0,0.0,3.0,0.0,0.0,6.0,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21,0.7,15.0,16.0,93.8,176.0,21.0,8.0,8.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19,0.3,8.0,9.0,88.9,103.0,24.0,6.0,6.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19,0.3,4.0,5.0,80.0,64.0,3.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Juan Cantú (América)
Mauro Laínez,MEX,FW,27,0.3,14.0,15.0,93.3,173.0,31.0,10.0,10.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0,0.2,0.2,-0.2,1.0,0.0,1.0,1.0,1.0,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21,0.2,14.0,15.0,93.3,241.0,16.0,8.0,9.0,88.9,5.0,5.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20,0.2,6.0,6.0,100.0,85.0,19.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,América,Brasileiro,Sergio De los Ríos (América)
Sebastián Martínez,MEX,MF,20,0.1,7.0,8.0,87.5,86.0,21.0,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sebastián Martínez (América)
José Abella,MEX,DF,29,17.0,708.0,928.0,76.3,13643.0,5651.0,299.0,342.0,87.4,289.0,351.0,82.3,112.0,189.0,59.3,0,1.2,1.5,-1.2,12.0,69.0,15.0,11.0,85.0,Atlas,Brasileiro,José Abella (Atlas)
Hugo Nervo,ARG,DF,32,17.0,715.0,878.0,81.4,14914.0,6365.0,179.0,206.0,86.9,444.0,485.0,91.5,90.0,169.0,53.3,0,0.4,0.5,-0.4,4.0,45.0,6.0,0.0,42.0,Atlas,Brasileiro,Hugo Nervo (Atlas)
Camilo Vargas,COL,GK,34,17.0,463.0,639.0,72.5,12729.0,9936.0,100.0,101.0,99.0,223.0,226.0,98.7,136.0,306.0,44.4,0,0.0,0.1,0.0,0.0,21.0,0.0,0.0,0.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Luis Ricardo Reyes,MEX,DF,32,15.8,666.0,899.0,74.1,11811.0,4994.0,315.0,342.0,92.1,262.0,321.0,81.6,81.0,202.0,40.1,2,2.1,2.2,-0.1,29.0,56.0,15.0,12.0,60.0,Atlas,Brasileiro,Luis Ricardo Reyes (Atlas)
Jordy Caicedo,ECU,FW,26,12.8,146.0,209.0,69.9,2080.0,175.0,89.0,115.0,77.4,42.0,58.0,72.4,9.0,11.0,81.8,0,0.9,0.8,-0.9,10.0,5.0,2.0,0.0,7.0,Atlas,Brasileiro,Jordy Caicedo (Atlas)
Aldo Rocha,MEX,MF,31,12.2,661.0,760.0,87.0,12886.0,3234.0,248.0,273.0,90.8,319.0,355.0,89.9,87.0,110.0,79.1,0,0.2,0.5,-0.2,7.0,71.0,4.0,1.0,75.0,Atlas,Brasileiro,Aldo Rocha (Atlas)
Juan Zapata,COL,MF,23,11.2,438.0,516.0,84.9,7875.0,1850.0,196.0,209.0,93.8,168.0,192.0,87.5,59.0,91.0,64.8,0,0.7,1.0,-0.7,10.0,56.0,10.0,2.0,48.0,Atlas,Brasileiro,Juan Zapata (Atlas)
Augusto Solari,ARG,"FW,MF",31,7.9,150.0,237.0,63.3,2334.0,675.0,79.0,100.0,79.0,55.0,72.0,76.4,13.0,42.0,31.0,1,0.4,0.4,0.6,5.0,8.0,6.0,2.0,16.0,Atlas,Brasileiro,Augusto Solari (Atlas)
Ángel Márquez,MEX,MF,23,8.4,319.0,388.0,82.2,4883.0,1094.0,170.0,195.0,87.2,111.0,131.0,84.7,21.0,33.0,63.6,0,0.4,0.6,-0.4,8.0,23.0,4.0,2.0,25.0,Atlas,Brasileiro,Ángel Márquez (Atlas)
Anderson Santamaría,PER,DF,31,8.0,296.0,348.0,85.1,6326.0,2574.0,86.0,94.0,91.5,154.0,168.0,91.7,51.0,76.0,67.1,1,0.7,0.5,0.3,3.0,24.0,2.0,1.0,19.0,Atlas,Brasileiro,Anderson Santamaría (Atlas)
Edgar Zaldívar,MEX,MF,27,5.6,230.0,273.0,84.2,3768.0,780.0,118.0,136.0,86.8,79.0,91.0,86.8,23.0,32.0,71.9,0,0.1,0.1,-0.1,3.0,16.0,3.0,0.0,13.0,Atlas,Brasileiro,Edgar Zaldívar (Atlas)
Eduardo Aguirre,MEX,"FW,MF",25,6.8,108.0,159.0,67.9,1597.0,322.0,64.0,77.0,83.1,34.0,57.0,59.6,4.0,7.0,57.1,0,0.3,0.6,-0.3,6.0,8.0,8.0,2.0,13.0,Atlas,Brasileiro,Eduardo Aguirre (Atlas)
Jorge Guzmán,MEX,FW,20,6.3,153.0,208.0,73.6,2332.0,552.0,94.0,107.0,87.9,46.0,63.0,73.0,9.0,19.0,47.4,2,0.5,0.3,1.5,7.0,14.0,3.0,2.0,15.0,Atlas,Brasileiro,Jorge Guzmán (Atlas)
Jaziel Martínez,MEX,MF,23,6.1,252.0,302.0,83.4,4266.0,1237.0,115.0,127.0,90.6,112.0,126.0,88.9,18.0,26.0,69.2,2,2.0,1.3,0.0,11.0,31.0,6.0,0.0,42.0,Atlas,Brasileiro,Jaziel Martínez (Atlas)
José Lozano,MEX,"DF,FW",25,5.2,159.0,217.0,73.3,2442.0,915.0,98.0,108.0,90.7,44.0,68.0,64.7,13.0,23.0,56.5,0,0.7,0.2,-0.7,6.0,9.0,6.0,4.0,15.0,Atlas,Brasileiro,José Lozano (Atlas)
Brian Lozano,URU,FW,29,4.6,172.0,236.0,72.9,3657.0,937.0,62.0,74.0,83.8,71.0,89.0,79.8,35.0,61.0,57.4,2,2.1,0.8,-0.1,8.0,21.0,8.0,2.0,21.0,Atlas,Brasileiro,Brian Lozano (Atlas)
Gaddi Aguirre,MEX,DF,27,5.2,268.0,294.0,91.2,5254.0,1706.0,91.0,95.0,95.8,148.0,157.0,94.3,28.0,36.0,77.8,0,0.2,0.4,-0.2,2.0,2.0,0.0,0.0,12.0,Atlas,Brasileiro,Gaddi Aguirre (Atlas)
Carlos Robles,MEX,DF,23,4.3,196.0,229.0,85.6,3694.0,1465.0,78.0,87.0,89.7,96.0,108.0,88.9,21.0,32.0,65.6,0,0.1,0.1,-0.1,1.0,16.0,2.0,0.0,22.0,Atlas,Brasileiro,Carlos Robles (Atlas)
Mateo García,ARG,"MF,FW",27,5.4,225.0,270.0,83.3,3274.0,780.0,123.0,138.0,89.1,81.0,99.0,81.8,11.0,17.0,64.7,0,0.3,0.4,-0.3,5.0,19.0,7.0,0.0,26.0,Atlas,Brasileiro,Mateo García (Atlas)
Abraham Bass,MEX,MF,22,2.7,127.0,157.0,80.9,2380.0,731.0,56.0,62.0,90.3,55.0,65.0,84.6,13.0,21.0,61.9,0,0.1,0.1,-0.1,4.0,21.0,1.0,0.0,20.0,Atlas,Brasileiro,Abraham Bass (Atlas)
Julio Furch,ARG,FW,34,2.0,40.0,58.0,69.0,563.0,96.0,25.0,35.0,71.4,14.0,17.0,82.4,1.0,2.0,50.0,0,0.2,0.1,-0.2,4.0,2.0,1.0,0.0,4.0,Atlas,Brasileiro,Julio Furch (Atlas)
