Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,1,13,5,38.5,0.99,0.38,0.08,0.2,16.4,0.0,0,0,1.4,1.4,0.11,-0.4,-0.4,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,1,9,4,44.4,0.69,0.31,0.11,0.25,18.3,0.0,0,0,1.3,1.3,0.15,-0.3,-0.3,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,0,4,2,50.0,0.31,0.16,0.0,0.0,23.2,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,6,41,18,43.9,3.46,1.52,0.1,0.22,14.3,0.0,2,2,8.3,6.8,0.17,-2.3,-2.8,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,0,2,0,0.0,0.18,0.0,0.0,0.0,10.0,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,4,18,9,50.0,1.81,0.9,0.22,0.44,13.8,1.0,0,0,2.7,2.7,0.15,1.3,1.3,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,6,31,11,35.5,3.53,1.25,0.19,0.55,18.0,1.0,0,0,3.1,3.1,0.1,2.9,2.9,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,5,26,11,42.3,2.74,1.16,0.19,0.45,17.3,0.0,0,0,3.0,3.0,0.12,2.0,2.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,2,6,3,50.0,0.68,0.34,0.33,0.67,7.5,0.0,0,0,0.7,0.7,0.11,1.3,1.3,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,1,10,2,20.0,1.09,0.22,0.1,0.5,23.2,2.0,0,0,1.0,1.0,0.1,0.0,0.0,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,0,4,1,25.0,0.49,0.12,0.0,0.0,7.6,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,0,3,1,33.3,0.38,0.13,0.0,0.0,10.4,0.0,0,0,0.5,0.5,0.18,-0.5,-0.5,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,2,20,8,40.0,2.8,1.12,0.1,0.25,23.7,7.0,0,0,1.8,1.8,0.09,0.2,0.2,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31,7.0,3,13,7,53.8,1.86,1.0,0.23,0.43,11.4,0.0,0,0,2.3,2.3,0.18,0.7,0.7,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30,6.7,6,17,10,58.8,2.55,1.5,0.35,0.6,15.2,0.0,0,1,4.0,3.0,0.18,2.0,3.0,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35,5.8,0,6,2,33.3,1.03,0.34,0.0,0.0,22.6,0.0,0,0,0.7,0.7,0.12,-0.7,-0.7,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25,5.9,0,4,1,25.0,0.68,0.17,0.0,0.0,18.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23,5.0,0,1,0,0.0,0.2,0.0,0.0,0.0,5.2,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21,2.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Emilio Lara (América)
Néstor Araujo,MEX,DF,32,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22,1.5,0,3,0,0.0,1.99,0.0,0.0,0.0,17.6,0.0,0,0,0.3,0.3,0.1,-0.3,-0.3,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21,0.7,0,2,2,100.0,2.73,2.73,0.0,0.0,16.3,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19,0.3,0,3,1,33.3,8.71,2.9,0.0,0.0,16.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19,0.3,0,1,0,0.0,3.75,0.0,0.0,0.0,7.5,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,América,Brasileiro,Juan Cantú (América)
Mauro Laínez,MEX,FW,27,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21,0.2,0,1,0,0.0,4.29,0.0,0.0,0.0,22.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sergio De los Ríos (América)
Sebastián Martínez,MEX,MF,20,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sebastián Martínez (América)
José Abella,MEX,DF,29,17.0,0,6,3,50.0,0.35,0.18,0.0,0.0,24.7,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Atlas,Brasileiro,José Abella (Atlas)
Hugo Nervo,ARG,DF,32,17.0,0,6,0,0.0,0.35,0.0,0.0,0.0,10.2,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Atlas,Brasileiro,Hugo Nervo (Atlas)
Camilo Vargas,COL,GK,34,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Luis Ricardo Reyes,MEX,DF,32,15.8,0,12,1,8.3,0.76,0.06,0.0,0.0,22.7,2.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Atlas,Brasileiro,Luis Ricardo Reyes (Atlas)
Jordy Caicedo,ECU,FW,26,12.8,5,36,19,52.8,2.82,1.49,0.14,0.26,13.4,0.0,0,0,6.4,6.4,0.19,-1.4,-1.4,Atlas,Brasileiro,Jordy Caicedo (Atlas)
Aldo Rocha,MEX,MF,31,12.2,2,14,5,35.7,1.15,0.41,0.14,0.4,24.4,0.0,0,0,1.3,1.3,0.09,0.7,0.7,Atlas,Brasileiro,Aldo Rocha (Atlas)
Juan Zapata,COL,MF,23,11.2,4,32,10,31.3,2.85,0.89,0.13,0.4,23.7,2.0,0,0,2.3,2.3,0.07,1.7,1.7,Atlas,Brasileiro,Juan Zapata (Atlas)
Augusto Solari,ARG,"FW,MF",31,7.9,1,4,2,50.0,0.51,0.25,0.25,0.5,27.8,0.0,0,0,0.4,0.4,0.09,0.6,0.6,Atlas,Brasileiro,Augusto Solari (Atlas)
Ángel Márquez,MEX,MF,23,8.4,0,14,2,14.3,1.66,0.24,0.0,0.0,20.8,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,Atlas,Brasileiro,Ángel Márquez (Atlas)
Anderson Santamaría,PER,DF,31,8.0,0,3,1,33.3,0.37,0.12,0.0,0.0,16.2,1.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Atlas,Brasileiro,Anderson Santamaría (Atlas)
Edgar Zaldívar,MEX,MF,27,5.6,0,3,2,66.7,0.54,0.36,0.0,0.0,17.6,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Atlas,Brasileiro,Edgar Zaldívar (Atlas)
Eduardo Aguirre,MEX,"FW,MF",25,6.8,1,19,4,21.1,2.81,0.59,0.05,0.25,17.0,0.0,0,0,1.8,1.8,0.09,-0.8,-0.8,Atlas,Brasileiro,Eduardo Aguirre (Atlas)
Jorge Guzmán,MEX,FW,20,6.3,0,4,3,75.0,0.64,0.48,0.0,0.0,13.6,0.0,0,0,0.5,0.5,0.13,-0.5,-0.5,Atlas,Brasileiro,Jorge Guzmán (Atlas)
Jaziel Martínez,MEX,MF,23,6.1,1,9,1,11.1,1.49,0.17,0.11,1.0,23.9,0.0,0,0,0.3,0.3,0.03,0.7,0.7,Atlas,Brasileiro,Jaziel Martínez (Atlas)
José Lozano,MEX,"DF,FW",25,5.2,0,3,1,33.3,0.58,0.19,0.0,0.0,15.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Atlas,Brasileiro,José Lozano (Atlas)
Brian Lozano,URU,FW,29,4.6,0,17,5,29.4,3.67,1.08,0.0,0.0,28.7,6.0,0,0,0.5,0.5,0.03,-0.5,-0.5,Atlas,Brasileiro,Brian Lozano (Atlas)
Gaddi Aguirre,MEX,DF,27,5.2,0,2,0,0.0,0.38,0.0,0.0,0.0,26.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Atlas,Brasileiro,Gaddi Aguirre (Atlas)
Carlos Robles,MEX,DF,23,4.3,0,2,1,50.0,0.46,0.23,0.0,0.0,10.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Atlas,Brasileiro,Carlos Robles (Atlas)
Mateo García,ARG,"MF,FW",27,5.4,0,5,3,60.0,0.93,0.56,0.0,0.0,14.9,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6,Atlas,Brasileiro,Mateo García (Atlas)
Abraham Bass,MEX,MF,22,2.7,0,4,0,0.0,1.47,0.0,0.0,0.0,22.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Atlas,Brasileiro,Abraham Bass (Atlas)
Julio Furch,ARG,FW,34,2.0,0,6,2,33.3,3.05,1.02,0.0,0.0,12.5,0.0,0,0,1.6,1.6,0.26,-1.6,-1.6,Atlas,Brasileiro,Julio Furch (Atlas)
Mauro Manotas,COL,"FW,MF",28,2.3,0,10,2,20.0,4.27,0.85,0.0,0.0,14.2,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,Atlas,Brasileiro,Mauro Manotas (Atlas)
