Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,2.0,1,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0,2.0,12.0,2.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,9.0,7,3.0,4.0,2.0,0.0,6.0,0.0,6.0,12.0,1.0,11.0,4,13.0,7.0,0.0,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,8.0,5,1.0,3.0,4.0,5.0,16.0,31.3,11.0,4.0,0.0,4.0,3,11.0,5.0,0.0,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,23.0,14,6.0,11.0,6.0,12.0,25.0,48.0,13.0,17.0,1.0,16.0,14,37.0,9.0,0.0,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,15.0,9,9.0,6.0,0.0,9.0,25.0,36.0,16.0,17.0,4.0,13.0,15,30.0,9.0,1.0,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,10.0,8,4.0,5.0,1.0,5.0,17.0,29.4,12.0,12.0,1.0,11.0,6,16.0,3.0,0.0,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,14.0,9,12.0,2.0,0.0,6.0,14.0,42.9,8.0,15.0,7.0,8.0,14,28.0,64.0,1.0,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,7.0,5,3.0,2.0,2.0,4.0,10.0,40.0,6.0,7.0,5.0,2.0,7,14.0,52.0,0.0,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,31.0,16,21.0,9.0,1.0,22.0,31.0,71.0,9.0,13.0,4.0,9.0,13,44.0,30.0,0.0,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,13.0,7,5.0,8.0,0.0,5.0,12.0,41.7,7.0,11.0,5.0,6.0,6,19.0,24.0,0.0,Arouca,Brasileiro,Eboue Kouassi (Arouca)
