Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,335.0,499.0,67.1,8889.0,6828.0,72.0,73.0,98.6,159.0,164.0,97.0,103.0,260.0,39.6,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,153.0,195.0,78.5,1952.0,233.0,109.0,127.0,85.8,32.0,45.0,71.1,7.0,9.0,77.8,0,0.6,0.3,-0.6,11.0,3.0,3.0,0.0,10.0,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,279.0,384.0,72.7,4078.0,1065.0,160.0,190.0,84.2,96.0,128.0,75.0,12.0,26.0,46.2,2,2.0,2.5,0.0,19.0,31.0,16.0,2.0,54.0,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,450.0,554.0,81.2,7708.0,2062.0,203.0,227.0,89.4,192.0,223.0,86.1,42.0,72.0,58.3,4,1.5,1.5,2.5,23.0,52.0,13.0,1.0,67.0,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,609.0,771.0,79.0,11577.0,3901.0,254.0,289.0,87.9,262.0,307.0,85.3,87.0,147.0,59.2,3,2.2,1.5,0.8,19.0,73.0,8.0,3.0,92.0,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,310.0,443.0,70.0,5230.0,1573.0,152.0,175.0,86.9,118.0,163.0,72.4,29.0,62.0,46.8,1,1.2,1.5,-0.2,16.0,20.0,13.0,4.0,41.0,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,572.0,704.0,81.3,11587.0,3954.0,170.0,195.0,87.2,314.0,345.0,91.0,84.0,149.0,56.4,0,0.0,0.1,0.0,1.0,44.0,3.0,0.0,45.0,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,533.0,607.0,87.8,10725.0,3806.0,160.0,172.0,93.0,300.0,319.0,94.0,69.0,104.0,66.3,1,0.5,0.2,0.5,2.0,28.0,1.0,0.0,33.0,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,518.0,693.0,74.7,9281.0,3694.0,219.0,262.0,83.6,235.0,297.0,79.1,53.0,92.0,57.6,2,1.9,1.5,0.1,14.0,38.0,8.0,5.0,56.0,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,299.0,348.0,85.9,5068.0,1359.0,143.0,162.0,88.3,128.0,142.0,90.1,22.0,32.0,68.8,0,0.3,0.6,-0.3,4.0,24.0,4.0,0.0,26.0,Arouca,Brasileiro,Eboue Kouassi (Arouca)
