Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,0.0,0,1.07,22.0,20.0,2.0,0.13,0.0,20.3,18.3,2.0,0.13,0.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,15,1210.0,81.0,89.6,13.4,14,84.0,8,1,32.0,0,1.07,18.0,16.0,2.0,0.15,0.15,18.6,15.5,3.1,0.23,0.95,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,15,1154.0,77.0,85.5,12.8,14,81.0,6,1,24.0,0,1.07,19.0,16.0,3.0,0.23,0.69,18.1,14.1,3.9,0.31,1.21,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,14,1084.0,77.0,80.3,12.0,14,77.0,5,0,0.0,0,0.93,14.0,18.0,-4.0,-0.33,-2.36,16.1,14.9,1.2,0.1,-0.18,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,14,1084.0,77.0,80.3,12.0,13,80.0,3,1,45.0,0,1.14,19.0,12.0,7.0,0.58,2.27,17.3,11.0,6.3,0.52,1.97,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,15,1063.0,71.0,78.7,11.8,13,77.0,2,2,34.0,0,1.07,17.0,14.0,3.0,0.25,0.57,15.8,13.2,2.6,0.22,0.4,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12,1077.0,90.0,79.8,12.0,12,90.0,11,0,0.0,0,0.92,15.0,14.0,1.0,0.08,-0.25,16.8,15.9,0.9,0.07,-0.29,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,12,1064.0,89.0,78.8,11.8,12,89.0,11,0,0.0,3,1.33,21.0,15.0,6.0,0.51,1.77,17.2,14.9,2.4,0.2,0.32,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,13,1034.0,80.0,76.6,11.5,12,84.0,8,1,21.0,0,1.23,21.0,16.0,5.0,0.44,1.29,15.6,13.9,1.7,0.15,0.08,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,11,682.0,62.0,50.5,7.6,8,83.0,6,3,7.0,3,1.36,15.0,10.0,5.0,0.66,1.06,13.4,11.2,2.2,0.29,0.32,Arouca,Brasileiro,Eboue Kouassi (Arouca)
Weverson,BRA,"DF,MF",23,9,623.0,69.0,46.1,6.9,8,76.0,4,1,14.0,0,0.89,8.0,8.0,0.0,0.0,-0.25,6.3,9.3,-3.0,-0.43,-1.04,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,9,669.0,74.0,49.6,7.4,7,89.0,6,2,22.0,0,0.89,5.0,10.0,-5.0,-0.67,-1.6,8.4,7.8,0.6,0.08,-0.1,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,12,611.0,51.0,45.3,6.8,7,66.0,0,5,29.0,2,0.75,6.0,9.0,-3.0,-0.44,-1.05,8.4,9.8,-1.4,-0.21,-0.62,Arouca,Brasileiro,Alfonso Trezza (Arouca)
Bogdan Milovanov,UKR,"DF,MF",25,11,563.0,51.0,41.7,6.3,6,72.0,3,5,26.0,1,0.82,9.0,6.0,3.0,0.48,0.59,11.6,7.5,4.1,0.65,0.89,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,11,233.0,21.0,17.3,2.6,2,45.0,0,9,16.0,4,1.09,5.0,3.0,2.0,0.77,0.77,3.2,3.9,-0.7,-0.27,-0.48,Arouca,Brasileiro,Pedro Santos (Arouca)
Oriol Busquets,ESP,MF,24,6,227.0,38.0,16.8,2.5,2,68.0,1,4,23.0,6,1.17,3.0,5.0,-2.0,-0.79,-1.11,1.7,2.9,-1.1,-0.45,-0.7,Arouca,Brasileiro,Oriol Busquets (Arouca)
