Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Alisson,BRA,GK,Liverpool,eng Premier League,31-098,1992,18.0,0.83,0.06,0.0,0.11,0.06,0.93,0.26,0.16,0.16,2.56,7.39,34.6,36.5,4.78,14.9,24.9,5.28,36.8,34.5,11.6,0.67,5.8,1.28,1.28,17.3,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
2,Alphonse Areola,FRA,GK,West Ham,eng Premier League,30-315,1993,17.0,1.41,0.18,0.0,0.06,0.06,1.66,0.27,0.31,0.31,5.82,15.2,38.4,21.4,4.71,45.6,36.9,8.29,65.2,46.0,16.2,0.82,5.1,0.18,0.18,9.5,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,Big 5 combined
3,Kepa Arrizabalaga,ESP,GK,Real Madrid,es La Liga,29-097,1994,11.0,0.64,0.0,0.0,0.0,0.09,0.75,0.27,0.2,0.2,2.09,6.27,33.3,28.7,4.27,17.7,27.1,4.91,24.1,29.1,12.0,0.18,1.5,0.64,0.64,14.5,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Big 5 combined
4,Noah Atubolu,GER,GK,Freiburg,de Bundesliga,21-228,2002,16.0,1.63,0.13,0.0,0.13,0.06,1.35,0.34,-0.21,-0.21,5.06,15.9,31.9,32.6,4.94,32.1,33.3,7.38,73.7,55.1,12.3,0.56,4.6,0.63,0.63,13.0,https://fbref.com/en/players/dbd1b101/Noah-Atubolu,dbd1b101,Big 5 combined
5,Francisco Barbosa,ESP,GK,Betis,es La Liga,24-246,1999,2.5,1.6,0.0,0.4,0.0,0.0,1.48,0.26,-0.12,-0.13,4.0,14.0,28.6,23.2,6.0,39.7,36.2,9.6,50.0,44.3,20.4,0.8,3.9,0.8,0.8,12.3,https://fbref.com/en/players/2ae958ab/Francisco-Barbosa,2ae958ab,Big 5 combined
6,Augusto Batalla,ARG,GK,Granada,es La Liga,27-253,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.4,5.0,10.0,50.0,22.0,6.0,40.9,41.0,3.0,33.3,31.3,18.0,2.0,11.1,0.0,0.0,12.3,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Big 5 combined
7,Daniel Batz,GER,GK,Mainz 05,de Bundesliga,32-361,1991,4.0,0.75,0.0,0.25,0.0,0.0,0.6,0.15,-0.15,-0.15,4.5,14.5,31.0,33.0,3.5,38.6,34.7,5.25,33.3,34.8,9.5,1.0,10.5,0.5,0.5,11.3,https://fbref.com/en/players/ec759ba1/Daniel-Batz,ec759ba1,Big 5 combined
8,Oliver Baumann,GER,GK,Hoffenheim,de Bundesliga,33-220,1990,16.0,1.88,0.06,0.06,0.19,0.06,1.99,0.3,0.18,0.18,5.63,15.5,36.3,32.3,4.63,34.1,33.8,7.75,58.1,46.7,16.6,1.0,6.0,2.25,2.25,16.8,https://fbref.com/en/players/47064058/Oliver-Baumann,47064058,Big 5 combined
9,Daniel Bentley,ENG,GK,Wolves,eng Premier League,30-179,1993,2.8,1.07,0.0,0.0,0.0,0.0,0.89,0.25,-0.18,-0.2,3.21,12.1,26.5,22.1,2.5,35.5,32.9,8.93,48.0,36.0,13.9,0.0,0.0,0.36,0.36,10.6,https://fbref.com/en/players/68db6358/Daniel-Bentley,68db6358,Big 5 combined
10,Etrit Berisha,ALB,GK,Empoli,it Serie A,34-304,1989,14.0,1.79,0.14,0.0,0.36,0.07,1.48,0.24,-0.24,-0.24,3.14,13.1,23.9,28.6,5.36,34.8,33.0,6.43,50.0,40.8,16.9,0.79,4.7,0.71,0.71,12.4,https://fbref.com/en/players/ee833569/Etrit-Berisha,ee833569,Big 5 combined
