Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Federico Lanzillota,ARG,GK,30.0,14.0,15.0,2.0,1.0,1.0,0.0,12.6,0.27,-2.4,-0.17,49.0,109.0,45.0,333.0,45.0,23.7,28.8,90.0,33.3,30.5,160.0,3.0,1.9,20.0,1.43,17.1,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13.0,7.0,3.0,0.0,1.0,0.0,10.5,0.18,3.5,0.27,43.0,96.0,44.8,296.0,72.0,23.0,28.2,98.0,28.6,28.2,146.0,5.0,3.4,20.0,1.54,17.5,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alejandro Medina,ARG,GK,35.0,27.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Alejandro Medina (Arsenal)
Facundo Cambeses,ARG,GK,25.0,27.0,32.0,2.0,0.0,6.0,1.0,29.9,0.27,-1.1,-0.04,123.0,330.0,37.3,396.0,81.0,49.0,39.8,206.0,66.0,49.5,385.0,14.0,3.6,9.0,0.33,11.8,Banfield,Brasileiro,Facundo Cambeses (Banfield)
Andrés Desábato,ARG,GK,32.0,24.0,24.0,2.0,0.0,4.0,1.0,27.8,0.27,4.8,0.2,133.0,393.0,33.8,572.0,93.0,46.2,39.6,194.0,66.5,49.5,365.0,27.0,7.4,36.0,1.5,15.3,Barracas Central,Brasileiro,Andrés Desábato (Barracas Central)
Guido Villar,ARG,GK,27.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Guido Villar (Barracas Central)
Sergio Romero,ARG,GK,35.0,23.0,20.0,3.0,0.0,3.0,2.0,28.9,0.28,10.9,0.48,78.0,220.0,35.5,459.0,108.0,32.2,33.8,163.0,44.2,39.3,269.0,16.0,5.9,12.0,0.52,11.8,Boca Juniors,Brasileiro,Sergio Romero (Boca Juniors)
Javier Hernán García,ARG,GK,36.0,4.0,4.0,0.0,0.0,0.0,0.0,2.6,0.26,-1.4,-0.34,12.0,42.0,28.6,88.0,15.0,36.4,33.5,23.0,43.5,36.0,33.0,4.0,12.1,3.0,0.75,16.1,Boca Juniors,Brasileiro,Javier Hernán García (Boca Juniors)
Lucas Chávez,ARG,GK,27.0,25.0,26.0,2.0,0.0,3.0,1.0,23.9,0.25,-1.1,-0.05,159.0,398.0,39.9,720.0,93.0,42.5,37.3,146.0,63.0,48.7,298.0,26.0,8.7,53.0,2.12,19.6,CA Huracán,Brasileiro,Lucas Chávez (CA Huracán)
Dante Campisi,ARG,GK,26.0,2.0,3.0,0.0,0.0,1.0,0.0,2.6,0.32,-0.4,-0.21,17.0,36.0,47.2,50.0,7.0,46.0,37.9,18.0,72.2,55.4,40.0,2.0,5.0,2.0,1.0,12.5,CA Huracán,Brasileiro,Dante Campisi (CA Huracán)
