Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
Federico Lanzillota,ARG,GK,30.0,14,14,1260.0,14.0,15.0,1.07,40.0,25.0,67.5,5.0,3.0,6.0,6.0,42.9,2.0,2.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13,13,1170.0,13.0,7.0,0.54,37.0,29.0,89.2,6.0,4.0,3.0,7.0,53.8,4.0,3.0,1.0,0.0,25.0,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alejandro Medina,ARG,GK,35.0,27,27,2430.0,27.0,34.0,1.26,124.0,95.0,76.6,6.0,4.0,17.0,5.0,18.5,5.0,5.0,0.0,0.0,0.0,Arsenal,Brasileiro,Alejandro Medina (Arsenal)
Facundo Cambeses,ARG,GK,25.0,27,27,2430.0,27.0,32.0,1.19,103.0,72.0,70.9,7.0,9.0,11.0,12.0,44.4,3.0,2.0,0.0,1.0,0.0,Banfield,Brasileiro,Facundo Cambeses (Banfield)
Andrés Desábato,ARG,GK,32.0,24,24,2160.0,24.0,24.0,1.0,98.0,75.0,77.6,7.0,10.0,7.0,10.0,41.7,2.0,2.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Andrés Desábato (Barracas Central)
Guido Villar,ARG,GK,27.0,3,3,270.0,3.0,6.0,2.0,16.0,10.0,62.5,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Guido Villar (Barracas Central)
Sergio Romero,ARG,GK,35.0,23,23,2070.0,23.0,20.0,0.87,83.0,62.0,79.5,11.0,4.0,8.0,10.0,43.5,6.0,3.0,3.0,0.0,50.0,Boca Juniors,Brasileiro,Sergio Romero (Boca Juniors)
Javier Hernán García,ARG,GK,36.0,4,4,360.0,4.0,4.0,1.0,10.0,6.0,60.0,2.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Boca Juniors,Brasileiro,Javier Hernán García (Boca Juniors)
Lucas Chávez,ARG,GK,27.0,25,25,2250.0,25.0,26.0,1.04,85.0,59.0,71.8,6.0,6.0,13.0,7.0,28.0,3.0,2.0,1.0,0.0,33.3,CA Huracán,Brasileiro,Lucas Chávez (CA Huracán)
Dante Campisi,ARG,GK,26.0,2,2,180.0,2.0,3.0,1.5,8.0,5.0,62.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Huracán,Brasileiro,Dante Campisi (CA Huracán)
