Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,23.8,1807.0,1691.0,109.0,65.0,2.0,29.0,45,41.0,3.0,0.0,3.0,0.0,1379.0,7.0,25.0,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,19.7,490.0,448.0,35.0,0.0,2.0,0.0,9,0.0,0.0,0.0,0.0,0.0,303.0,7.0,18.0,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,19.2,1256.0,1023.0,231.0,22.0,0.0,5.0,17,209.0,0.0,0.0,0.0,0.0,947.0,2.0,20.0,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,17.6,620.0,571.0,44.0,13.0,1.0,1.0,40,6.0,25.0,4.0,10.0,1.0,470.0,5.0,15.0,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,17.3,731.0,677.0,50.0,6.0,3.0,4.0,132,16.0,28.0,0.0,24.0,0.0,475.0,4.0,38.0,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,18.0,848.0,640.0,205.0,19.0,0.0,13.0,104,155.0,31.0,2.0,24.0,1.0,557.0,3.0,52.0,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,17.4,1113.0,1036.0,76.0,50.0,1.0,7.0,42,2.0,24.0,1.0,22.0,0.0,965.0,1.0,3.0,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,13.8,970.0,896.0,74.0,71.0,0.0,12.0,10,3.0,0.0,0.0,0.0,0.0,806.0,0.0,2.0,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,14.5,514.0,505.0,3.0,0.0,2.0,2.0,7,1.0,0.0,0.0,0.0,0.0,385.0,6.0,17.0,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14.0,423.0,307.0,116.0,25.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Federico Redondo,ARG,MF,20.0,14.2,881.0,866.0,15.0,11.0,2.0,4.0,4,3.0,1.0,0.0,1.0,0.0,768.0,0.0,7.0,Argentinos Jun,Brasileiro,Federico Redondo (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13.0,394.0,282.0,112.0,14.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alan Rodríguez,URU,MF,23.0,12.9,530.0,521.0,7.0,2.0,0.0,1.0,11,2.0,3.0,0.0,0.0,0.0,399.0,2.0,19.0,Argentinos Jun,Brasileiro,Alan Rodríguez (Argentinos Jun)
Marco Di Cesare,ARG,DF,22.0,12.1,854.0,806.0,47.0,43.0,0.0,5.0,0,2.0,0.0,0.0,0.0,0.0,687.0,1.0,5.0,Argentinos Jun,Brasileiro,Marco Di Cesare (Argentinos Jun)
Thiago Nuss,ARG,"FW,MF",21.0,10.1,198.0,192.0,5.0,1.0,0.0,0.0,33,2.0,2.0,0.0,1.0,0.0,114.0,1.0,13.0,Argentinos Jun,Brasileiro,Thiago Nuss (Argentinos Jun)
Luciano Sánchez,ARG,"DF,FW",29.0,9.5,513.0,414.0,97.0,12.0,0.0,5.0,15,84.0,1.0,1.0,0.0,0.0,399.0,2.0,15.0,Argentinos Jun,Brasileiro,Luciano Sánchez (Argentinos Jun)
Rodrigo Cabral,ARG,"DF,MF",22.0,8.7,262.0,249.0,11.0,2.0,0.0,3.0,49,4.0,5.0,4.0,0.0,0.0,168.0,2.0,16.0,Argentinos Jun,Brasileiro,Rodrigo Cabral (Argentinos Jun)
Fabricio Domínguez,URU,"MF,DF",24.0,8.6,342.0,317.0,21.0,11.0,2.0,3.0,41,1.0,9.0,2.0,7.0,0.0,226.0,4.0,14.0,Argentinos Jun,Brasileiro,Fabricio Domínguez (Argentinos Jun)
Leonardo Heredia,ARG,"FW,MF",27.0,7.3,256.0,241.0,11.0,1.0,0.0,3.0,9,0.0,3.0,0.0,3.0,0.0,191.0,4.0,8.0,Argentinos Jun,Brasileiro,Leonardo Heredia (Argentinos Jun)
Matías Vera,ARG,MF,27.0,5.8,333.0,324.0,8.0,6.0,0.0,2.0,1,1.0,1.0,0.0,0.0,0.0,292.0,1.0,4.0,Argentinos Jun,Brasileiro,Matías Vera (Argentinos Jun)
Leonel González,ARG,DF,28.0,4.3,318.0,289.0,28.0,10.0,0.0,3.0,3,18.0,0.0,0.0,0.0,0.0,253.0,1.0,6.0,Argentinos Jun,Brasileiro,Leonel González (Argentinos Jun)
Mariano Bíttolo,ARG,"DF,MF",32.0,3.9,182.0,148.0,33.0,2.0,0.0,0.0,11,29.0,2.0,0.0,2.0,0.0,130.0,1.0,3.0,Argentinos Jun,Brasileiro,Mariano Bíttolo (Argentinos Jun)
Pablo Minissale,ARG,DF,22.0,4.1,288.0,247.0,41.0,10.0,0.0,2.0,3,31.0,0.0,0.0,0.0,0.0,229.0,0.0,5.0,Argentinos Jun,Brasileiro,Pablo Minissale (Argentinos Jun)
José Herrera,ARG,"DF,FW",17.0,3.5,127.0,120.0,7.0,1.0,0.0,0.0,16,2.0,4.0,3.0,0.0,0.0,91.0,0.0,5.0,Argentinos Jun,Brasileiro,José Herrera (Argentinos Jun)
Facundo Ferreyra,ARG,"FW,MF",31.0,2.1,66.0,61.0,5.0,1.0,2.0,0.0,1,1.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0,Argentinos Jun,Brasileiro,Facundo Ferreyra (Argentinos Jun)
Román Riquelme,ARG,DF,20.0,0.5,34.0,33.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,Argentinos Jun,Brasileiro,Román Riquelme (Argentinos Jun)
