Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Luis Ángel Malagón,mx MEX,GK,26-303,13.5,2,0,0,0,4,0,0,0,0,0,0,0,16,3,0,100.0,Matches
Kevin Álvarez,mx MEX,DF,24-349,13.2,5,1,1,24,10,1,42,10,14,0,0,0,54,12,10,54.5,Matches
Álvaro Fidalgo,es ESP,MF,26-265,13.0,1,0,0,2,24,0,9,10,12,0,0,0,95,2,3,40.0,Matches
Jonathan dos Santos,mx MEX,MF,33-248,12.8,3,0,0,13,5,0,1,27,24,0,0,0,98,9,9,50.0,Matches
Julián Quiñones,co COL,"FW,MF",26-281,11.8,3,0,0,13,19,7,7,4,5,0,0,0,43,10,23,30.3,Matches
Luis Fernando Fuentes,mx MEX,DF,37-107,11.1,1,0,0,15,14,1,17,5,12,0,0,0,55,15,11,57.7,Matches
Brian Rodríguez,uy URU,FW,23-224,10.0,0,0,0,8,14,1,37,2,4,0,0,0,44,1,3,25.0,Matches
Diego Valdés,cl CHI,"MF,FW",29-334,8.8,0,0,0,10,18,2,13,8,1,1,0,0,28,9,16,36.0,Matches
Alejandro Zendejas,us USA,"FW,MF",25-326,9.5,2,0,0,13,18,2,22,12,20,0,0,0,48,3,12,20.0,Matches
Igor Lichnovsky,cl CHI,DF,29-298,8.8,5,0,0,8,3,0,0,17,6,0,0,0,37,29,13,69.0,Matches
Richard Sánchez,py PAR,MF,27-276,9.2,3,0,0,9,5,1,31,5,7,0,0,0,60,1,6,14.3,Matches
Ramón Juárez,mx MEX,DF,22-235,8.2,1,0,0,11,0,0,0,10,6,0,0,0,31,29,20,59.2,Matches
Sebastián Cáceres,uy URU,DF,24-134,7.9,3,0,0,7,4,0,0,8,5,0,0,0,37,18,9,66.7,Matches
Leonardo Suárez,ar ARG,"FW,MF",27-275,7.2,3,0,0,3,11,1,34,5,9,0,0,0,33,1,2,33.3,Matches
Henry Martín,mx MEX,FW,31-042,7.0,1,0,0,8,9,2,0,3,5,0,0,0,19,14,19,42.4,Matches
Jonathan Rodríguez,uy URU,"FW,MF",30-177,6.7,2,0,0,7,5,3,2,1,3,1,0,0,20,4,11,26.7,Matches
Miguel Layún,mx MEX,"DF,FW",35-188,5.8,0,0,0,1,4,0,22,5,5,0,0,0,35,1,0,100.0,Matches
Salvador Reyes Chávez,mx MEX,DF,25-240,5.9,1,0,0,7,4,2,13,8,10,0,0,0,22,8,9,47.1,Matches
Israel Reyes,mx MEX,DF,23-221,5.0,0,0,0,2,4,0,0,11,2,0,0,0,22,4,9,30.8,Matches
Oscar Jiménez,mx MEX,GK,35-079,3.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Emilio Lara,mx MEX,DF,21-226,2.5,1,0,0,2,1,0,2,7,3,0,0,0,17,6,3,66.7,Matches
Néstor Araujo,mx MEX,DF,32-123,2.0,0,0,0,3,0,0,0,4,1,0,0,0,17,1,3,25.0,Matches
Santiago Naveda,mx MEX,MF,22-258,1.5,0,0,0,1,2,0,1,5,2,0,0,0,7,3,2,60.0,Matches
Román Martínez,mx MEX,FW,21-134,0.7,0,0,0,2,0,2,1,0,0,0,0,0,1,1,1,50.0,Matches
Patricio Salas,mx MEX,"FW,MF",19-316,0.3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,100.0,Matches
Juan Cantú,mx MEX,FW,19-292,0.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,Matches
Mauro Laínez,mx MEX,FW,27-235,0.3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,100.0,Matches
Bruce El-Mesmari,mx MEX,"FW,DF",21-251,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Sergio De los Ríos,mx MEX,FW,20-185,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
Sebastián Martínez,mx MEX,MF,20-249,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.1,17.0,37,1,1,173,178,27,255,168,156,2,0,0,847,186,195,48.8,
Opponent Total,,,28.1,17.0,44,4,1,188,164,22,292,158,180,0,3,0,811,195,186,51.2,
