Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Luis Ángel Malagón,mx MEX,GK,26-303,13.5,293,398,73.6,7725,5677,47,47,100.0,145,146,99.3,88,192,45.8,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Kevin Álvarez,mx MEX,DF,24-349,13.2,563,709,79.4,9215,2746,290,329,88.1,222,263,84.4,40,76,52.6,2,1.8,1.9,0.2,17,36,18,11,43,Matches
Álvaro Fidalgo,es ESP,MF,26-265,13.0,1083,1184,91.5,18409,5721,508,535,95.0,458,481,95.2,90,127,70.9,1,0.6,1.6,0.4,14,151,25,2,139,Matches
Jonathan dos Santos,mx MEX,MF,33-248,12.8,1002,1061,94.4,16423,4436,499,514,97.1,394,418,94.3,77,90,85.6,1,0.4,0.7,0.6,8,94,2,1,79,Matches
Julián Quiñones,co COL,"FW,MF",26-281,11.8,243,325,74.8,3716,683,128,159,80.5,79,98,80.6,22,33,66.7,5,4.3,2.2,0.7,21,18,13,1,32,Matches
Luis Fernando Fuentes,mx MEX,DF,37-107,11.1,579,672,86.2,9177,4163,299,315,94.9,239,281,85.1,28,57,49.1,0,0.3,0.5,-0.3,4,51,7,3,46,Matches
Brian Rodríguez,uy URU,FW,23-224,10.0,292,384,76.0,4244,711,180,198,90.9,84,112,75.0,15,40,37.5,1,2.6,2.6,-1.6,16,13,11,4,19,Matches
Diego Valdés,cl CHI,"MF,FW",29-334,8.8,328,397,82.6,6021,1790,146,164,89.0,128,150,85.3,42,58,72.4,2,1.2,2.7,0.8,13,55,19,2,71,Matches
Alejandro Zendejas,us USA,"FW,MF",25-326,9.5,360,447,80.5,5320,1576,196,220,89.1,117,146,80.1,24,41,58.5,3,1.6,1.5,1.4,13,40,16,2,47,Matches
Igor Lichnovsky,cl CHI,DF,29-298,8.8,405,443,91.4,6983,2818,171,180,95.0,189,199,95.0,32,48,66.7,1,0.1,0.3,0.9,2,27,2,0,24,Matches
Richard Sánchez,py PAR,MF,27-276,9.2,667,741,90.0,11133,4004,295,312,94.6,286,308,92.9,58,83,69.9,4,2.8,3.0,1.2,20,79,27,5,88,Matches
Ramón Juárez,mx MEX,DF,22-235,8.2,289,332,87.0,5118,1999,109,114,95.6,165,180,91.7,12,26,46.2,0,0.0,0.0,0.0,0,4,0,0,8,Matches
Sebastián Cáceres,uy URU,DF,24-134,7.9,375,438,85.6,6968,3196,130,142,91.5,215,239,90.0,25,46,54.3,0,0.0,0.0,0.0,0,8,0,0,9,Matches
Leonardo Suárez,ar ARG,"FW,MF",27-275,7.2,352,428,82.2,6008,1709,180,199,90.5,128,145,88.3,36,66,54.5,3,2.2,2.0,0.8,22,41,13,6,50,Matches
Henry Martín,mx MEX,FW,31-042,7.0,131,179,73.2,1778,400,71,91,78.0,48,58,82.8,2,6,33.3,4,3.1,1.6,0.9,16,11,6,0,15,Matches
Jonathan Rodríguez,uy URU,"FW,MF",30-177,6.7,120,152,78.9,1506,403,82,98,83.7,31,37,83.8,2,3,66.7,0,0.4,1.0,-0.4,4,5,9,1,18,Matches
Miguel Layún,mx MEX,"DF,FW",35-188,5.8,299,351,85.2,5226,1574,154,170,90.6,115,129,89.1,25,42,59.5,0,0.8,0.6,-0.8,7,31,4,3,24,Matches
Salvador Reyes Chávez,mx MEX,DF,25-240,5.9,263,318,82.7,3921,1146,143,156,91.7,107,122,87.7,5,22,22.7,1,0.6,0.1,0.4,2,13,2,2,15,Matches
Israel Reyes,mx MEX,DF,23-221,5.0,313,341,91.8,6011,2249,112,117,95.7,154,158,97.5,41,57,71.9,0,0.0,0.1,0.0,0,13,1,0,12,Matches
Oscar Jiménez,mx MEX,GK,35-079,3.5,77,86,89.5,1493,1173,19,19,100.0,35,35,100.0,13,22,59.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Emilio Lara,mx MEX,DF,21-226,2.5,119,140,85.0,1998,750,57,60,95.0,58,67,86.6,4,12,33.3,0,0.0,0.1,0.0,0,6,2,1,10,Matches
Néstor Araujo,mx MEX,DF,32-123,2.0,114,129,88.4,2210,1148,42,44,95.5,61,68,89.7,11,16,68.8,0,0.3,0.0,-0.3,1,6,0,0,5,Matches
Santiago Naveda,mx MEX,MF,22-258,1.5,55,67,82.1,952,252,26,31,83.9,22,25,88.0,6,9,66.7,0,0.0,0.2,0.0,0,3,0,0,6,Matches
Román Martínez,mx MEX,FW,21-134,0.7,15,16,93.8,176,21,8,8,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,1,0,1,1,0,Matches
Patricio Salas,mx MEX,"FW,MF",19-316,0.3,8,9,88.9,103,24,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches
