Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
José Abella,mx MEX,DF,29-323,17.0,35,20,18,10,7,20,41,48.8,21,10,3,7,21,56,38,0,Matches
Hugo Nervo,ar ARG,DF,32-358,17.0,22,16,18,3,1,14,18,77.8,4,20,15,5,24,46,64,0,Matches
Camilo Vargas,co COL,GK,34-296,17.0,1,0,1,0,0,0,0,,0,0,0,0,1,2,5,1,Matches
Luis Ricardo Reyes,mx MEX,DF,32-271,15.8,39,26,22,11,6,18,30,60.0,12,12,6,6,22,61,31,0,Matches
Jordy Caicedo,ec ECU,FW,26-042,12.8,5,3,2,1,2,3,8,37.5,5,3,1,2,3,8,14,0,Matches
Aldo Rocha,mx MEX,MF,31-054,12.2,19,10,10,5,4,9,20,45.0,11,8,1,7,6,25,15,0,Matches
Juan Zapata,co COL,MF,23-225,11.2,24,15,7,13,4,10,18,55.6,8,14,1,13,7,31,6,0,Matches
Augusto Solari,ar ARG,"FW,MF",31-361,7.9,17,10,6,10,1,10,31,32.3,21,13,1,12,5,22,6,0,Matches
Ángel Márquez,mx MEX,MF,23-192,8.4,17,11,8,8,1,9,20,45.0,11,9,0,9,11,28,1,0,Matches
Anderson Santamaría,pe PER,DF,31-354,8.0,23,14,15,8,0,10,14,71.4,4,12,6,6,16,39,33,0,Matches
Edgar Zaldívar,mx MEX,MF,27-074,5.6,7,5,2,4,1,3,15,20.0,12,3,0,3,6,13,8,0,Matches
Eduardo Aguirre,mx MEX,"FW,MF",25-149,6.8,6,2,0,5,1,0,5,0.0,5,12,1,11,4,10,7,0,Matches
Jorge Guzmán,mx MEX,FW,20-017,6.3,10,6,3,6,1,3,7,42.9,4,4,0,4,4,14,6,0,Matches
Jaziel Martínez,mx MEX,MF,23-088,6.1,10,5,2,8,0,5,16,31.3,11,11,4,7,7,17,11,0,Matches
José Lozano,mx MEX,"DF,FW",25-086,5.2,10,6,8,2,0,7,9,77.8,2,4,1,3,4,14,11,0,Matches
Brian Lozano,uy URU,FW,29-310,4.6,11,8,5,4,2,6,10,60.0,4,7,0,7,3,14,1,0,Matches
Gaddi Aguirre,mx MEX,DF,27-274,5.2,7,3,4,1,2,4,5,80.0,1,6,4,2,13,20,17,0,Matches
Carlos Robles,mx MEX,DF,23-172,4.3,7,6,5,2,0,2,3,66.7,1,6,3,3,10,17,12,0,Matches
Mateo García,ar ARG,"MF,FW",27-111,5.4,14,10,7,5,2,6,14,42.9,8,12,0,12,2,16,3,0,Matches
Abraham Bass,mx MEX,MF,22-143,2.7,8,5,3,4,1,3,7,42.9,4,2,0,2,7,15,6,0,Matches
Julio Furch,ar ARG,FW,34-154,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Mauro Manotas,co COL,"FW,MF",28-168,2.3,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
Christopher Trejo,mx MEX,"FW,MF",24-028,2.5,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,1,0,Matches
Israel Larios,mx MEX,MF,20-233,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
Squad Total,,,28.8,17.0,293,182,146,111,36,143,297,48.1,154,170,47,123,178,471,298,1,
Opponent Total,,,28.1,17.0,282,188,140,122,20,134,243,55.1,109,171,47,124,162,444,334,4,
