Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
José Abella,mx MEX,DF,29-323,17,1530.0,90.0,100.0,17.0,17,90.0,17,0,,0,1.0,14.0,24.0,-10.0,-0.59,,19.1,22.1,-2.9,-0.17,,Matches
Hugo Nervo,ar ARG,DF,32-358,17,1530.0,90.0,100.0,17.0,17,90.0,17,0,,0,1.0,14.0,24.0,-10.0,-0.59,,19.1,22.1,-2.9,-0.17,,Matches
Camilo Vargas,co COL,GK,34-296,17,1530.0,90.0,100.0,17.0,17,90.0,17,0,,0,1.0,14.0,24.0,-10.0,-0.59,,19.1,22.1,-2.9,-0.17,,Matches
Luis Ricardo Reyes,mx MEX,DF,32-271,16,1423.0,89.0,93.0,15.8,16,89.0,14,0,,0,1.0,14.0,22.0,-8.0,-0.51,1.18,18.5,19.5,-0.9,-0.06,1.38,Matches
Jordy Caicedo,ec ECU,FW,26-042,14,1148.0,82.0,75.0,12.8,14,82.0,6,0,,0,0.93,12.0,20.0,-8.0,-0.63,-0.16,13.9,18.1,-4.2,-0.33,-0.62,Matches
Aldo Rocha,mx MEX,MF,31-054,14,1096.0,78.0,71.6,12.2,12,88.0,9,2,21.0,0,1.14,12.0,15.0,-3.0,-0.25,1.21,14.1,15.1,-1.0,-0.08,0.32,Matches
Juan Zapata,co COL,MF,23-225,15,1012.0,67.0,66.1,11.2,12,78.0,4,3,27.0,0,0.93,12.0,19.0,-7.0,-0.62,-0.1,11.8,16.3,-4.5,-0.4,-0.68,Matches
Augusto Solari,ar ARG,"FW,MF",31-361,11,708.0,64.0,46.3,7.9,11,64.0,1,0,,3,1.09,10.0,11.0,-1.0,-0.13,0.86,8.7,9.3,-0.6,-0.08,0.18,Matches
Ángel Márquez,mx MEX,MF,23-192,15,760.0,51.0,49.7,8.4,9,71.0,2,6,20.0,2,1.07,4.0,10.0,-6.0,-0.71,-0.24,10.7,10.3,0.4,0.05,0.44,Matches
Anderson Santamaría,pe PER,DF,31-354,9,724.0,80.0,47.3,8.0,9,80.0,6,0,,4,1.11,5.0,9.0,-4.0,-0.5,0.17,7.5,11.1,-3.6,-0.44,-0.51,Matches
Edgar Zaldívar,mx MEX,MF,27-074,12,501.0,42.0,32.7,5.6,7,67.0,0,5,7.0,5,1.42,3.0,6.0,-3.0,-0.54,0.07,6.4,5.1,1.4,0.24,0.62,Matches
Eduardo Aguirre,mx MEX,"FW,MF",25-149,12,608.0,51.0,39.7,6.8,6,74.0,1,6,27.0,0,0.75,4.0,9.0,-5.0,-0.74,-0.25,8.1,8.0,0.1,0.02,0.31,Matches
Jorge Guzmán,mx MEX,FW,20-017,12,563.0,47.0,36.8,6.3,6,70.0,1,6,24.0,3,0.75,7.0,11.0,-4.0,-0.64,-0.08,8.0,7.0,1.1,0.17,0.54,Matches
Jaziel Martínez,mx MEX,MF,23-088,14,545.0,39.0,35.6,6.1,6,64.0,0,8,20.0,2,1.21,9.0,10.0,-1.0,-0.17,0.66,8.0,7.2,0.8,0.13,0.47,Matches
José Lozano,mx MEX,"DF,FW",25-086,11,467.0,42.0,30.5,5.2,6,65.0,0,5,15.0,6,0.82,2.0,8.0,-6.0,-1.16,-0.82,4.2,7.0,-2.8,-0.54,-0.52,Matches
Brian Lozano,uy URU,FW,29-310,6,417.0,70.0,27.3,4.6,5,81.0,2,1,13.0,0,1.5,4.0,2.0,2.0,0.43,1.4,5.8,4.9,0.9,0.19,0.5,Matches
Gaddi Aguirre,mx MEX,DF,27-274,8,472.0,59.0,30.8,5.2,4,90.0,4,4,28.0,8,1.5,7.0,8.0,-1.0,-0.19,0.57,5.5,7.0,-1.5,-0.28,-0.16,Matches
Carlos Robles,mx MEX,DF,23-172,7,388.0,55.0,25.4,4.3,4,90.0,4,3,9.0,10,1.43,2.0,8.0,-6.0,-1.39,-1.08,6.4,4.9,1.5,0.34,0.69,Matches
Mateo García,ar ARG,"MF,FW",27-111,12,485.0,40.0,31.7,5.4,3,66.0,0,9,32.0,2,0.67,3.0,8.0,-5.0,-0.93,-0.5,4.9,8.0,-3.1,-0.57,-0.58,Matches
Abraham Bass,mx MEX,MF,22-143,5,245.0,49.0,16.0,2.7,3,74.0,0,2,11.0,3,0.4,0.0,3.0,-3.0,-1.1,-0.61,2.6,4.4,-1.8,-0.66,-0.58,Matches
Julio Furch,ar ARG,FW,34-154,2,177.0,89.0,11.6,2.0,2,89.0,1,0,,0,1.5,2.0,1.0,1.0,0.51,1.24,3.8,1.4,2.4,1.2,1.56,Matches
Mauro Manotas,co COL,"FW,MF",28-168,9,211.0,23.0,13.8,2.3,1,7.0,0,8,26.0,3,0.67,0.0,3.0,-3.0,-1.28,-0.8,2.3,2.6,-0.4,-0.16,0.02,Matches
Christopher Trejo,mx MEX,"FW,MF",24-028,10,221.0,22.0,14.4,2.5,0,,0,10,22.0,5,0.6,0.0,6.0,-6.0,-2.44,-2.17,1.4,7.0,-5.6,-2.27,-2.45,Matches
Israel Larios,mx MEX,MF,20-233,1,26.0,26.0,1.7,0.3,0,,0,1,26.0,7,0.0,0.0,1.0,-1.0,-3.46,-2.92,0.5,0.4,0.1,0.25,0.42,Matches
José Santiago Hernández,mx MEX,GK,26-243,0,,,0.0,0.0,0,,0,0,,16,0.0,1.0,4.0,-3.0,,,,,,,,Matches
Leonardo Correa,mx MEX,FW,21-356,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Idekel Domínguez,mx MEX,DF,23-211,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Víctor Ríos,mx MEX,MF,19-322,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,28.8,17,1530.0,90.0,100.0,17.0,187,81.0,106,79,22.0,89,1.0,14.0,24.0,-10.0,-0.59,,19.1,22.1,-2.9,-0.17,,
Opponent Total,,,28.1,17,1530.0,90.0,100.0,17.0,187,81.0,115,71,23.0,99,1.71,24.0,14.0,10.0,0.59,,22.1,19.1,2.9,0.17,,
