Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
José Abella,mx MEX,DF,29-323,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.2,1.5,12.0,85.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.09,0.01,0.09,Matches
Hugo Nervo,ar ARG,DF,32-358,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches
Camilo Vargas,co COL,GK,34-296,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Ricardo Reyes,mx MEX,DF,32-271,16,16,1423.0,15.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.1,2.5,16.0,60.0,43.0,0.0,0.13,0.13,0.0,0.13,0.03,0.13,0.16,0.03,0.16,Matches
Jordy Caicedo,ec ECU,FW,26-042,14,14,1148.0,12.8,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,6.4,6.4,0.9,7.3,17.0,7.0,68.0,0.39,0.0,0.39,0.39,0.39,0.5,0.07,0.57,0.5,0.57,Matches
Aldo Rocha,mx MEX,MF,31-054,14,12,1096.0,12.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,1.3,1.3,0.2,1.5,12.0,75.0,9.0,0.16,0.0,0.16,0.16,0.16,0.11,0.02,0.12,0.11,0.12,Matches
Juan Zapata,co COL,MF,23-225,15,12,1012.0,11.2,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,2.3,2.3,0.7,3.0,8.0,48.0,31.0,0.36,0.0,0.36,0.36,0.36,0.21,0.06,0.27,0.21,0.27,Matches
Augusto Solari,ar ARG,"FW,MF",31-361,11,11,708.0,7.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,16.0,16.0,42.0,0.13,0.13,0.25,0.13,0.25,0.05,0.05,0.1,0.05,0.1,Matches
Ángel Márquez,mx MEX,MF,23-192,15,9,760.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,12.0,25.0,44.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.16,0.12,0.16,Matches
Anderson Santamaría,pe PER,DF,31-354,9,9,724.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.7,0.8,1.0,19.0,0.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,Matches
Edgar Zaldívar,mx MEX,MF,27-074,12,7,501.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,3.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Eduardo Aguirre,mx MEX,"FW,MF",25-149,12,6,608.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.3,2.1,7.0,13.0,46.0,0.15,0.0,0.15,0.15,0.15,0.26,0.05,0.31,0.26,0.31,Matches
Jorge Guzmán,mx MEX,FW,20-017,12,6,563.0,6.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,1.0,16.0,15.0,43.0,0.0,0.32,0.32,0.0,0.32,0.08,0.07,0.16,0.08,0.16,Matches
Jaziel Martínez,mx MEX,MF,23-088,14,6,545.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,2.0,2.3,9.0,42.0,12.0,0.17,0.33,0.5,0.17,0.5,0.05,0.33,0.37,0.05,0.37,Matches
José Lozano,mx MEX,"DF,FW",25-086,11,6,467.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,9.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.02,0.15,Matches
Brian Lozano,uy URU,FW,29-310,6,5,417.0,4.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.5,0.5,2.1,2.6,13.0,21.0,41.0,0.0,0.43,0.43,0.0,0.43,0.12,0.45,0.57,0.12,0.57,Matches
Gaddi Aguirre,mx MEX,DF,27-274,8,4,472.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Carlos Robles,mx MEX,DF,23-172,7,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,7.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Mateo García,ar ARG,"MF,FW",27-111,12,3,485.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.3,0.9,18.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,Matches
Abraham Bass,mx MEX,MF,22-143,5,3,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.4,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13,Matches
Julio Furch,ar ARG,FW,34-154,2,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.2,1.7,2.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.8,0.08,0.88,0.8,0.88,Matches
Mauro Manotas,co COL,"FW,MF",28-168,9,1,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,6.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.32,0.01,0.34,0.32,0.34,Matches
Christopher Trejo,mx MEX,"FW,MF",24-028,10,0,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,8.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2,Matches
Israel Larios,mx MEX,MF,20-233,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches
José Santiago Hernández,mx MEX,GK,26-243,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,Matches
Leonardo Correa,mx MEX,FW,21-356,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Idekel Domínguez,mx MEX,DF,23-211,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Víctor Ríos,mx MEX,MF,19-322,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.8,17,187,1530.0,17.0,14.0,10.0,24.0,14.0,0.0,0.0,50.0,4.0,19.1,19.1,13.8,32.9,199.0,591.0,581.0,0.82,0.59,1.41,0.82,1.41,1.13,0.81,1.94,1.13,1.94,
Opponent Total,,,28.1,17,187,1530.0,17.0,24.0,17.0,41.0,20.0,4.0,4.0,40.0,2.0,22.1,18.9,14.3,33.3,277.0,580.0,570.0,1.41,1.0,2.41,1.18,2.18,1.3,0.84,2.14,1.11,1.96,
