Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Unai Bilbao,es ESP,DF,29-329,17,1465.0,86.0,95.8,16.3,17,86.0,14,0,,0,1.5,30.0,25.0,5.0,0.31,0.31,22.0,20.5,1.5,0.09,0.12,Matches
Dieter Villalpando,mx MEX,"MF,FW",32-148,17,1414.0,83.0,92.4,15.7,17,83.0,8,0,,0,1.5,29.0,22.0,7.0,0.45,2.0,21.1,19.1,2.0,0.13,0.52,Matches
Jhon Murillo,ve VEN,"FW,MF",28-039,17,1318.0,78.0,86.1,14.6,17,78.0,3,0,,0,1.43,26.0,20.0,6.0,0.41,0.83,18.3,16.0,2.3,0.16,0.49,Matches
Javier Güemez,mx MEX,MF,32-074,16,1375.0,86.0,89.9,15.3,16,86.0,12,0,,0,1.57,28.0,22.0,6.0,0.39,0.97,20.2,18.6,1.6,0.11,0.19,Matches
Rodrigo Dourado,br BRA,MF,29-196,16,1365.0,85.0,89.2,15.2,16,85.0,12,0,,0,1.57,29.0,23.0,6.0,0.4,0.94,20.5,19.3,1.2,0.08,-0.08,Matches
Ricardo Chávez Soto,mx MEX,DF,29-041,16,1330.0,83.0,86.9,14.8,16,83.0,11,0,,0,1.52,24.0,22.0,2.0,0.14,-1.21,20.5,18.4,2.1,0.14,0.43,Matches
Julio Domínguez,mx MEX,DF,36-052,16,1326.0,83.0,86.7,14.7,16,83.0,12,0,,0,1.5,29.0,22.0,7.0,0.48,1.36,17.8,18.1,-0.3,-0.02,-0.8,Matches
Juan Sanabria,uy URU,DF,23-276,16,1395.0,87.0,91.2,15.5,15,90.0,15,1,45.0,0,1.52,29.0,23.0,6.0,0.39,1.05,18.7,18.9,-0.2,-0.01,-1.15,Matches
Léo Bonatini,br BRA,FW,29-277,16,1115.0,70.0,72.9,12.4,15,74.0,2,1,7.0,0,1.52,18.0,14.0,4.0,0.32,0.11,12.6,13.0,-0.5,-0.04,-0.47,Matches
Mateo Klimowicz,de GER,"FW,MF",23-177,16,730.0,46.0,47.7,8.1,10,66.0,0,6,11.0,0,1.44,12.0,8.0,4.0,0.49,0.38,8.5,9.8,-1.3,-0.16,-0.48,Matches
Andrés Sánchez,mx MEX,GK,26-088,9,810.0,90.0,52.9,9.0,9,90.0,9,0,,3,1.29,15.0,16.0,-1.0,-0.11,-0.86,11.7,10.4,1.4,0.15,0.14,Matches
Diego Urtiaga,mx MEX,GK,25-082,8,720.0,90.0,47.1,8.0,8,90.0,8,0,,9,1.88,16.0,10.0,6.0,0.75,0.86,11.3,11.2,0.1,0.02,-0.14,Matches
Vitinho,br BRA,"FW,MF",22-251,17,854.0,50.0,55.8,9.5,7,84.0,3,10,27.0,0,1.43,22.0,20.0,2.0,0.21,-0.19,15.5,13.2,2.2,0.24,0.34,Matches
Ángel Zaldívar,mx MEX,FW,29-325,10,234.0,23.0,15.3,2.6,2,53.0,0,8,16.0,4,1.31,5.0,5.0,0.0,0.0,-0.35,6.4,4.7,1.7,0.64,0.65,Matches
Uziel García,mx MEX,"DF,FW",22-265,6,189.0,32.0,12.4,2.1,2,68.0,1,4,14.0,5,1.17,5.0,4.0,1.0,0.48,0.21,5.0,4.1,0.9,0.43,0.39,Matches
Sebastien Salles-Lamonge,fr FRA,"FW,MF",27-336,8,260.0,33.0,17.0,2.9,1,74.0,0,7,27.0,6,1.77,4.0,5.0,-1.0,-0.35,-0.77,2.8,4.3,-1.5,-0.54,-0.75,Matches
Iker Moreno,mx MEX,DF,20-107,6,161.0,27.0,10.5,1.8,1,71.0,0,5,18.0,11,1.43,3.0,3.0,0.0,0.0,-0.33,1.8,1.9,-0.1,-0.05,-0.16,Matches
Jordan Silva,mx MEX,"DF,FW",29-153,2,151.0,76.0,9.9,1.7,1,90.0,1,1,61.0,13,1.4,2.0,4.0,-2.0,-1.19,-1.65,4.0,2.8,1.2,0.69,0.67,Matches
Eduardo Águila,mx MEX,"DF,FW",21-227,6,96.0,16.0,6.3,1.1,1,45.0,0,5,10.0,10,2.5,1.0,1.0,0.0,0.0,-0.31,1.8,1.4,0.4,0.42,0.35,Matches
Jürgen Damm,mx MEX,FW,31-053,12,223.0,19.0,14.6,2.5,0,,0,12,19.0,3,1.53,7.0,5.0,2.0,0.81,0.6,6.4,5.3,1.1,0.45,0.42,Matches
Juan David Castro,mx MEX,"FW,MF",32-009,7,105.0,15.0,6.9,1.2,0,,0,7,15.0,10,1.27,4.0,6.0,-2.0,-1.71,-2.16,3.3,3.3,0.0,0.0,-0.1,Matches
Andrés Iniestra,mx MEX,MF,27-294,4,30.0,8.0,2.0,0.3,0,,0,4,8.0,6,1.5,1.0,1.0,0.0,0.0,-0.3,1.2,0.5,0.7,2.09,2.05,Matches
Benjamín Galdames,mx MEX,FW,22-309,2,26.0,13.0,1.7,0.3,0,,0,2,13.0,8,3.0,0.0,0.0,0.0,0.0,-0.3,0.5,0.2,0.3,0.99,0.92,Matches
Diego Abitia,mx MEX,FW,20-258,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.3,-0.3,-30.14,-30.24,Matches
Daniel Guillén,mx MEX,FW,22-147,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Cesar López,mx MEX,GK,23-203,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Juan Martínez,mx MEX,DF,24-329,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.8,17,1530.0,90.0,100.0,17.0,187,82.0,111,74,18.0,96,1.35,31.0,26.0,5.0,0.29,,23.0,21.6,1.5,0.09,,
Opponent Total,,,27.8,17,1530.0,90.0,100.0,17.0,187,82.0,109,76,21.0,93,1.53,26.0,31.0,-5.0,-0.29,,21.6,23.0,-1.5,-0.09,,
