Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-07-01,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,0.0,2.0,Atlas,0.6,3.1,45.0,20169.0,Carlos Salcedo,4-2-3-1,Víctor Cáceres,Match Report,
2023-07-08,18:50,Liga MX,Apertura 2023 Regular Season,Sat,Home,L,0.0,2.0,Toluca,0.5,2.1,44.0,15939.0,Juan Escobar,3-4-3,Ismael Lopez,Match Report,
2023-07-14,20:10,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,1.0,2.0,Tijuana,0.8,0.7,50.0,28333.0,Carlos Salcedo,4-2-3-1,Edgar Morales,Match Report,
2023-08-20,18:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,D,2.0,2.0,Santos,2.3,2.5,59.0,11053.0,Juan Escobar,3-4-3,Marco Antonio Ortíz,Match Report,
2023-08-23,20:06,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,0.0,1.0,Pachuca,1.4,0.8,68.0,8242.0,Juan Escobar,3-4-3,Jesus Lopez,Match Report,
2023-08-27,21:05,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,2.0,1.0,Monterrey,1.3,1.4,46.0,42313.0,Juan Escobar,3-4-3,César Arturo Ramos,Match Report,
2023-09-02,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,L,2.0,3.0,América,1.2,0.6,52.0,36500.0,Juan Escobar,3-4-3,Daniel Quintero,Match Report,
2023-09-15,18:50,Liga MX,Apertura 2023 Regular Season,Fri,Away,D,2.0,2.0,Mazatlán,1.6,2.2,58.0,11002.0,Juan Escobar,3-4-3,Marco Antonio Ortíz,Match Report,
2023-09-24,17:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,1.0,3.0,Querétaro,2.4,1.9,68.0,23790.0,Juan Escobar,3-4-3,Abraham Quirarte,Match Report,
2023-09-29,22:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,2.0,1.0,Atlético,1.2,1.9,37.0,21180.0,Juan Escobar,3-4-3,Adonai Escobedo,Match Report,
2023-10-04,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,W,3.0,1.0,Necaxa,2.2,1.3,58.0,10923.0,Juan Escobar,3-4-3,Fernando Guerrero,Match Report,
2023-10-07,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Home,L,1.0,4.0,UNAM,2.0,1.5,61.0,28878.0,Juan Escobar,5-4-1,César Arturo Ramos,Match Report,
