Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Willer Ditta,co COL,DF,26-341,15.0,24,17,17,7,0,10,22,45.5,12,23,10,13,16,40,33,0,Matches
Carlos Salcedo,mx MEX,DF,30-092,13.3,10,7,7,3,0,7,14,50.0,7,13,11,2,13,23,50,1,Matches
Uriel Antuna,mx MEX,"MF,FW",26-131,13.6,7,4,1,5,1,3,5,60.0,2,10,1,9,8,15,4,0,Matches
Juan Escobar,py PAR,DF,28-180,13.6,25,17,18,7,0,17,29,58.6,12,15,8,7,22,47,59,1,Matches
Carlos Rotondi,ar ARG,"DF,MF",26-293,13.5,46,34,21,22,3,22,43,51.2,21,28,0,28,12,58,37,0,Matches
Ignacio Rivero,uy URU,"DF,MF",31-264,13.6,33,16,21,11,1,23,56,41.1,33,29,6,23,9,42,28,0,Matches
Andrés Gudiño,mx MEX,GK,26-337,13.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,1,Matches
Erik Lira,mx MEX,MF,23-236,12.5,24,12,12,11,1,12,33,36.4,21,10,2,8,11,35,11,0,Matches
Rodrigo Huescas,mx MEX,DF,20-103,11.9,17,9,11,4,2,11,19,57.9,8,12,3,9,10,27,11,1,Matches
Charly Rodríguez,mx MEX,MF,26-361,11.6,15,8,4,10,1,4,20,20.0,16,5,0,5,13,28,3,0,Matches
Moises,br BRA,"MF,FW",27-119,9.5,4,2,2,1,1,3,8,37.5,5,5,0,5,1,5,2,0,Matches
Diber Cambindo,co COL,"FW,MF",27-316,9.2,4,1,1,1,2,2,5,40.0,3,9,2,7,1,5,9,0,Matches
Kevin Castaño,co COL,MF,23-092,8.5,15,10,8,5,2,7,20,35.0,13,7,1,6,5,20,6,1,Matches
Ángel Sepúlveda,mx MEX,FW,32-318,7.2,3,3,0,3,0,1,3,33.3,2,1,0,1,0,3,4,0,Matches
Sebastián Jurado,mx MEX,GK,26-093,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rafael Guerrero,mx MEX,DF,20-351,5.2,12,9,10,2,0,8,11,72.7,3,6,4,2,16,28,7,0,Matches
Christian Tabó,uy URU,"FW,MF",30-037,2.4,5,4,2,1,2,1,3,33.3,2,3,1,2,2,7,1,0,Matches
Alexis Gutiérrez,mx MEX,"MF,FW",23-307,2.0,3,3,2,1,0,2,5,40.0,3,2,0,2,1,4,0,0,Matches
Augusto Lotti,it ITA,FW,27-203,1.5,2,1,0,2,0,2,3,66.7,1,1,0,1,0,2,0,0,Matches
Cristian Jiménez,mx MEX,"DF,MF",21-165,1.0,3,2,2,1,0,3,4,75.0,1,0,0,0,3,6,0,0,Matches
Alan Zubiri,mx MEX,DF,22-362,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,3,4,6,0,Matches
Luis Iturbide,mx MEX,DF,21-236,0.5,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0,Matches
Jesús Dueñas,mx MEX,"MF,FW",34-289,0.9,2,2,0,2,0,0,1,0.0,1,2,1,1,0,2,0,0,Matches
Alonso Escoboza,mx MEX,DF,30-342,0.9,1,0,0,1,0,0,0,,0,0,0,0,1,2,4,0,Matches
Josué Díaz,mx MEX,"DF,MF",19-105,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Raymundo Rubio,mx MEX,"DF,FW",22-320,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Amaury Morales,mx MEX,"MF,DF",18-027,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.9,17.0,256,162,140,100,16,139,307,45.3,168,182,50,132,151,407,283,5,
Opponent Total,,,28.2,17.0,275,181,111,125,39,100,243,41.2,143,155,46,109,158,433,310,4,
