Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Willer Ditta,co COL,DF,26-341,15.0,4,0,0,16,7,1,6,16,17,0,1,0,123,18,30,37.5,Matches
Carlos Salcedo,mx MEX,DF,30-092,13.3,3,0,0,6,6,1,5,13,7,0,0,0,65,43,15,74.1,Matches
Uriel Antuna,mx MEX,"MF,FW",26-131,13.6,2,0,0,5,23,5,46,8,4,1,0,0,54,6,15,28.6,Matches
Juan Escobar,py PAR,DF,28-180,13.6,6,0,0,18,17,2,4,22,17,0,1,0,84,39,19,67.2,Matches
Carlos Rotondi,ar ARG,"DF,MF",26-293,13.5,5,0,0,25,6,2,56,12,34,0,0,0,66,18,10,64.3,Matches
Ignacio Rivero,uy URU,"DF,MF",31-264,13.6,5,0,0,20,23,1,103,9,16,0,1,0,62,16,23,41.0,Matches
Andrés Gudiño,mx MEX,GK,26-337,13.5,3,0,0,1,2,0,0,0,0,0,1,0,11,2,0,100.0,Matches
Erik Lira,mx MEX,MF,23-236,12.5,0,0,0,5,20,0,1,11,12,0,0,0,99,11,17,39.3,Matches
Rodrigo Huescas,mx MEX,DF,20-103,11.9,2,0,0,7,11,1,27,10,9,0,0,0,61,16,12,57.1,Matches
Charly Rodríguez,mx MEX,MF,26-361,11.6,3,1,0,11,13,0,27,13,8,0,0,0,74,0,8,0.0,Matches
Moises,br BRA,"MF,FW",27-119,9.5,0,0,0,5,5,1,15,1,2,0,0,0,30,8,16,33.3,Matches
Diber Cambindo,co COL,"FW,MF",27-316,9.2,4,0,0,30,5,10,2,1,1,0,0,1,28,24,44,35.3,Matches
Kevin Castaño,co COL,MF,23-092,8.5,2,0,0,11,11,0,4,5,10,0,0,0,61,6,11,35.3,Matches
Ángel Sepúlveda,mx MEX,FW,32-318,7.2,2,0,0,10,6,4,6,0,3,0,0,0,16,36,27,57.1,Matches
Sebastián Jurado,mx MEX,GK,26-093,3.4,1,1,0,1,1,0,0,0,0,0,0,0,6,1,0,100.0,Matches
Rafael Guerrero,mx MEX,DF,20-351,5.2,4,0,0,9,5,0,2,16,9,0,1,0,24,16,6,72.7,Matches
Christian Tabó,uy URU,"FW,MF",30-037,2.4,0,0,0,2,7,3,1,2,4,0,0,0,10,3,16,15.8,Matches
Alexis Gutiérrez,mx MEX,"MF,FW",23-307,2.0,0,0,0,3,3,0,5,1,3,0,0,0,12,1,3,25.0,Matches
Augusto Lotti,it ITA,FW,27-203,1.5,0,0,0,0,1,0,0,0,1,0,0,0,4,3,6,33.3,Matches
Cristian Jiménez,mx MEX,"DF,MF",21-165,1.0,1,0,0,4,0,0,0,3,2,0,0,0,9,0,0,,Matches
Alan Zubiri,mx MEX,DF,22-362,1.0,0,0,0,1,0,0,0,3,1,0,0,0,2,3,3,50.0,Matches
Luis Iturbide,mx MEX,DF,21-236,0.5,1,0,0,2,0,0,0,3,0,0,0,0,1,2,1,66.7,Matches
Jesús Dueñas,mx MEX,"MF,FW",34-289,0.9,0,0,0,1,2,0,2,0,2,0,0,0,10,1,3,25.0,Matches
Alonso Escoboza,mx MEX,DF,30-342,0.9,0,0,0,1,1,0,7,1,0,0,0,0,7,0,0,,Matches
Josué Díaz,mx MEX,"DF,MF",19-105,0.5,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,,Matches
Raymundo Rubio,mx MEX,"DF,FW",22-320,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0,Matches
Amaury Morales,mx MEX,"MF,DF",18-027,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,26.9,17.0,48,2,0,197,177,31,321,151,162,1,5,1,920,274,287,48.8,
Opponent Total,,,28.2,17.0,46,1,1,194,181,25,306,158,181,4,3,0,907,287,274,51.2,
