Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-06-30,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,2.0,1.0,América,0.7,0.9,39.0,13391.0,Alfredo Talavera,4-4-1-1,Ismael Lopez,Match Report,
2023-07-08,18:06,Liga MX,Apertura 2023 Regular Season,Sat,Home,D,1.0,1.0,UANL,1.1,1.9,40.0,9663.0,Alfredo Talavera,4-4-1-1,Jesus Lopez,Match Report,
2023-07-16,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,4.0,2.0,Toluca,1.9,2.0,54.0,22931.0,Alfredo Talavera,4-4-2,Charles Terrazas,Match Report,
2023-08-18,21:10,Liga MX,Apertura 2023 Regular Season,Fri,Home,D,1.0,1.0,Guadalajara,1.5,1.1,58.0,14976.0,Alfredo Talavera,4-2-3-1,Fernando Hernández,Match Report,
2023-08-22,21:06,Liga MX,Apertura 2023 Regular Season,Tue,Home,W,4.0,1.0,UNAM,1.9,1.7,37.0,10430.0,Alfredo Talavera,4-2-3-1,Iván López,Match Report,
2023-08-25,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,0.0,1.0,Puebla,0.5,1.3,56.0,7806.0,Alfredo Talavera,4-2-3-1,Diego Montaño,Match Report,
2023-09-01,19:06,Liga MX,Apertura 2023 Regular Season,Fri,Home,W,3.0,1.0,Mazatlán,1.4,1.5,43.0,11066.0,Alfredo Talavera,4-4-2,Adonai Escobedo,Match Report,
2023-09-16,18:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,1.0,1.0,Necaxa,0.4,1.4,57.0,7195.0,Alfredo Talavera,4-2-3-1,Brian Gonzalez,Match Report,
2023-09-22,19:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,1.0,2.0,Atlas,1.9,1.4,57.0,13802.0,Alfredo Talavera,4-4-2,Víctor Cáceres,Match Report,
2023-09-29,20:10,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,1.0,5.0,Tijuana,0.8,2.2,48.0,17333.0,Alfredo Talavera,4-4-2,Fernando Hernández,Match Report,
2023-10-07,18:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,1.0,3.0,Monterrey,1.5,2.0,42.0,34921.0,Alfredo Talavera,5-3-2,Daniel Quintero,Match Report,
2023-10-20,19:06,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,0.0,1.0,Pachuca,1.7,1.4,47.0,12078.0,Alfredo Talavera,4-2-3-1,Fernando Guerrero,Match Report,
2023-10-25,21:06,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,3.0,2.0,Atlético,0.7,0.7,36.0,7091.0,Alfredo Talavera,4-2-3-1,Oscar Mejia,Match Report,
2023-10-29,19:05,Liga MX,Apertura 2023 Regular Season,Sun,Away,L,1.0,5.0,Santos,0.9,1.9,62.0,9037.0,Alfredo Talavera,4-4-2,Diego Montaño,Match Report,
2023-11-01,19:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,0.0,2.0,Cruz Azul,0.2,1.2,40.0,9358.0,Alfredo Talavera,4-2-3-1,Daniel Quintero,Match Report,
2023-11-05,19:06,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,0.0,3.0,Querétaro,0.9,2.2,57.0,8640.0,Alfredo Talavera,4-4-2,Marco Antonio Ortíz,Match Report,
2023-11-12,20:05,Liga MX,Apertura 2023 Regular Season,Sun,Away,L,1.0,2.0,León,0.3,2.0,35.0,25288.0,Alfredo Talavera,4-1-4-1,Ismael Lopez,Match Report,
2024-01-14,12:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,UNAM,,,,,,,,Head-to-Head,
2024-01-19,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Cruz Azul,,,,,,,,Head-to-Head,
2024-01-24,20:00,Liga MX,Clausura 2024 Regular Season,Wed,Home,,,,América,,,,,,,,Head-to-Head,
2024-01-28,16:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,Atlas,,,,,,,,Head-to-Head,
2024-02-03,16:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,Necaxa,,,,,,,,Head-to-Head,
2024-02-10,17:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Guadalajara,,,,,,,,Head-to-Head,
2024-02-17,16:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,Puebla,,,,,,,,Head-to-Head,
2024-02-23,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Monterrey,,,,,,,,Head-to-Head,
2024-02-28,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,,,,UANL,,,,,,,,Head-to-Head,
2024-03-02,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Pachuca,,,,,,,,Head-to-Head,
2024-03-08,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Toluca,,,,,,,,Head-to-Head,
2024-03-15,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Querétaro,,,,,,,,Head-to-Head,
2024-03-31,21:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Santos,,,,,,,,Head-to-Head,
2024-04-07,19:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,Atlético,,,,,,,,Head-to-Head,
2024-04-14,20:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Tijuana,,,,,,,,Head-to-Head,
2024-04-19,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Mazatlán,,,,,,,,Head-to-Head,
2024-04-27,17:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,León,,,,,,,,Head-to-Head,
