Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Fernando Beltrán,mx MEX,MF,25-236,15.9,35,21,10,22,3,19,36,52.8,17,10,1,9,15,50,2,0,Matches
Miguel Jiménez Ponce,mx MEX,GK,33-291,15.8,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0,Matches
Ricardo Marín,mx MEX,FW,25-287,12.7,9,4,0,5,4,3,12,25.0,9,8,0,8,5,14,3,0,Matches
Gilberto Sepúlveda,mx MEX,DF,24-329,14.4,13,12,11,2,0,5,9,55.6,4,19,15,4,26,39,39,0,Matches
Alan Mozo,mx MEX,DF,26-269,14.3,56,28,30,19,7,37,51,72.5,14,12,4,8,14,70,22,0,Matches
Roberto Alvarado,mx MEX,"FW,MF",25-114,12.6,13,7,6,5,2,4,14,28.6,10,9,3,6,8,21,7,0,Matches
Fernando Rubén González,mx MEX,MF,29-337,12.1,37,23,20,14,3,11,25,44.0,14,11,2,9,20,57,24,0,Matches
Jesús Orozco,mx MEX,DF,21-314,11.1,19,11,12,5,2,5,10,50.0,5,20,10,10,11,30,26,0,Matches
Cristian Calderón,mx MEX,DF,26-220,11.2,26,18,16,8,2,21,30,70.0,9,8,3,5,7,33,18,0,Matches
Antonio Briseño,mx MEX,DF,29-328,9.5,5,4,4,1,0,3,5,60.0,2,9,7,2,13,18,48,1,Matches
Víctor Guzmán,mx MEX,MF,28-330,8.5,20,10,8,10,2,10,22,45.5,12,6,0,6,1,21,7,0,Matches
Isaác Brizuela,mx MEX,"FW,MF",33-124,7.5,7,3,3,2,2,2,6,33.3,4,7,1,6,4,11,4,0,Matches
Erick Gutiérrez,mx MEX,MF,28-198,7.0,31,20,10,19,2,14,20,70.0,6,7,1,6,3,34,8,0,Matches
Jonathan Padilla,mx MEX,"MF,FW",18-011,6.3,21,10,8,11,2,12,27,44.4,15,16,2,14,3,24,2,0,Matches
Alejandro Mayorga,mx MEX,DF,26-215,4.4,7,6,5,2,0,6,12,50.0,6,4,3,1,4,11,11,0,Matches
Alexis Vega,mx MEX,FW,26-035,4.3,2,1,2,0,0,2,2,100.0,0,3,0,3,1,3,0,0,Matches
Ronaldo Cisneros,mx MEX,"FW,MF",26-356,4.5,1,1,0,1,0,0,5,0.0,5,1,0,1,0,1,1,0,Matches
Raúl Martínez,mx MEX,DF,20-300,3.0,4,2,2,2,0,1,2,50.0,1,5,3,2,3,7,15,0,Matches
Jesús Sánchez García,mx MEX,DF,34-121,2.6,17,9,6,9,2,8,18,44.4,10,3,0,3,2,19,5,0,Matches
Juan Brigido,mx MEX,"FW,DF",22-092,3.0,5,2,2,1,2,2,3,66.7,1,5,0,5,0,5,0,0,Matches
Pavel Pérez,mx MEX,"FW,MF",25-187,2.1,6,3,1,4,1,1,6,16.7,5,3,1,2,0,6,1,0,Matches
José Rangel Aguilar,mx MEX,GK,23-308,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Alan Torres,mx MEX,MF,23-314,1.8,2,1,1,1,0,1,3,33.3,2,6,3,3,3,5,2,0,Matches
Daniel Armando Ríos,mx MEX,"FW,DF",28-311,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Zahid Muñoz,mx MEX,MF,22-335,0.2,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Hiram Mier,mx MEX,MF,34-127,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
Squad Total,,,27.0,17.0,338,196,158,144,36,168,321,52.3,153,173,60,113,144,482,251,1,
Opponent Total,,,28.1,17.0,287,191,145,101,41,137,284,48.2,147,151,43,108,178,465,342,1,
