Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Rodolfo Cota,mx MEX,GK,36-180,16.0,352,420,83.8,8881,6013,59,60,98.3,191,197,97.0,99,157,63.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Adonis Frías,ar ARG,DF,25-288,16.0,751,891,84.3,15209,6170,226,258,87.6,436,466,93.6,87,148,58.8,0,0.2,0.4,-0.2,7,91,10,2,87,Matches
Ángel Mena,ec ECU,"FW,MF",35-343,13.7,683,812,84.1,11273,2936,358,383,93.5,224,253,88.5,77,128,60.2,3,5.5,5.8,-2.5,45,51,30,8,87,Matches
Iván Moreno,mx MEX,"DF,MF",25-347,12.0,514,649,79.2,7494,2364,306,340,90.0,174,224,77.7,23,45,51.1,3,1.0,1.5,2.0,13,31,17,9,44,Matches
Osvaldo Rodríguez del Portal,mx MEX,DF,27-111,11.5,541,644,84.0,9675,3884,243,271,89.7,231,264,87.5,61,91,67.0,0,0.6,0.5,-0.6,6,30,6,1,37,Matches
Lucas Romero,ar ARG,MF,29-256,10.8,599,690,86.8,10623,3371,254,280,90.7,257,281,91.5,70,96,72.9,1,1.0,1.3,0.0,19,72,11,2,67,Matches
José Iván Rodríguez,mx MEX,MF,27-196,11.2,496,578,85.8,8912,2614,206,236,87.3,227,257,88.3,55,69,79.7,0,0.1,0.5,-0.1,3,65,5,3,51,Matches
William Tesillo,co COL,DF,33-331,10.8,491,672,73.1,10565,4987,147,172,85.5,250,296,84.5,86,175,49.1,0,1.2,1.2,-1.2,10,42,9,3,34,Matches
Alfonso Alvarado,mx MEX,"FW,MF",23-292,9.9,157,208,75.5,2468,572,85,101,84.2,55,72,76.4,13,19,68.4,1,0.2,0.8,0.8,4,18,5,0,25,Matches
Federico Viñas,uy URU,FW,25-183,8.8,104,140,74.3,1512,335,55,66,83.3,40,49,81.6,2,5,40.0,1,0.7,0.8,0.3,11,13,2,0,16,Matches
Elías Hernández,mx MEX,"MF,DF",35-245,7.8,349,438,79.7,6245,1997,159,176,90.3,140,165,84.8,39,66,59.1,3,1.7,2.1,1.3,18,25,15,10,44,Matches
Nicolás López,uy URU,"FW,MF",30-090,7.7,230,330,69.7,3863,1026,118,138,85.5,78,106,73.6,26,58,44.8,1,2.1,1.7,-1.1,25,19,15,6,28,Matches
Fidel Ambríz,mx MEX,MF,20-284,7.8,409,467,87.6,7412,1873,174,194,89.7,181,199,91.0,44,51,86.3,0,1.2,0.9,-1.2,12,42,5,0,37,Matches
Jaine Barreiro,co COL,DF,29-194,7.0,332,411,80.8,6662,3062,141,147,95.9,143,167,85.6,44,79,55.7,1,0.4,0.6,0.6,6,50,7,0,48,Matches
Paul Bellón,mx MEX,DF,26-209,6.5,306,344,89.0,6051,2680,92,103,89.3,180,191,94.2,33,47,70.2,0,0.0,0.0,0.0,0,10,0,0,12,Matches
José David Ramírez,mx MEX,"DF,MF",28-016,6.4,335,398,84.2,5372,1492,170,187,90.9,136,158,86.1,24,38,63.2,0,0.6,0.9,-0.6,13,21,19,4,33,Matches
Brian Rubio,mx MEX,FW,27-051,4.9,110,142,77.5,1769,228,57,72,79.2,41,50,82.0,9,14,64.3,1,0.2,0.5,0.8,5,8,1,0,10,Matches
Borja Sánchez Laborde,es ESP,"MF,DF",27-307,3.9,159,209,76.1,3311,741,62,72,86.1,61,76,80.3,33,54,61.1,0,0.2,0.5,-0.2,6,22,3,1,23,Matches
Víctor Dávila,cl CHI,FW,26-056,2.8,103,154,66.9,1727,477,54,67,80.6,36,46,78.3,11,22,50.0,1,0.4,0.6,0.6,7,15,5,0,20,Matches
Omar Fernández Frasica,co COL,"MF,FW",30-322,4.0,242,284,85.2,3858,909,126,136,92.6,91,103,88.3,20,30,66.7,1,1.0,1.1,0.0,10,22,12,2,28,Matches
Jesús Angulo,mx MEX,MF,26-313,1.8,86,102,84.3,1268,360,53,59,89.8,21,25,84.0,8,10,80.0,1,0.9,0.2,0.1,2,8,3,0,10,Matches
Héctor Uribe,mx MEX,"MF,DF",19-209,1.5,33,45,73.3,442,85,22,25,88.0,10,14,71.4,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,5,Matches
Sebastian Santos,mx MEX,"FW,MF",20-343,1.4,42,51,82.4,568,156,25,26,96.2,13,16,81.3,1,2,50.0,0,0.0,0.0,0.0,0,4,1,0,4,Matches
Alfonso Blanco Antúnez,mx MEX,GK,36-152,1.0,21,22,95.5,518,392,4,4,100.0,11,11,100.0,6,7,85.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Luís Cervantes,mx MEX,DF,22-324,0.4,26,32,81.3,308,141,18,18,100.0,5,10,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Oscar Villa,mx MEX,DF,22-309,0.4,17,21,81.0,295,122,5,6,83.3,11,13,84.6,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Squad Total,,,29.0,17.0,7488,9154,81.8,136281,48987,3219,3597,89.5,3243,3709,87.4,874,1418,61.6,18,19.4,21.7,-1.4,222,665,181,51,753,
Opponent Total,,,28.1,17.0,5065,6583,76.9,97039,40302,2028,2309,87.8,2263,2689,84.2,649,1259,51.5,16,13.2,12.7,2.8,153,431,113,28,554,
