Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Rodolfo Cota,mx MEX,GK,36-180,16.0,420,272,145,24,0,0,0,0,0,0,0,0,352,3,0,Matches
Adonis Frías,ar ARG,DF,25-288,16.0,891,862,26,21,2,3,9,4,0,0,0,0,751,3,9,Matches
Ángel Mena,ec ECU,"FW,MF",35-343,13.7,812,698,109,30,1,6,83,23,56,25,15,0,683,5,11,Matches
Iván Moreno,mx MEX,"DF,MF",25-347,12.0,649,528,119,6,0,2,44,110,3,0,1,0,514,2,23,Matches
Osvaldo Rodríguez del Portal,mx MEX,DF,27-111,11.5,644,539,104,15,0,9,15,89,0,0,0,0,541,1,13,Matches
Lucas Romero,ar ARG,MF,29-256,10.8,690,656,31,23,1,4,7,2,0,0,0,0,599,3,2,Matches
José Iván Rodríguez,mx MEX,MF,27-196,11.2,578,559,17,14,1,3,10,1,0,0,0,0,496,2,6,Matches
William Tesillo,co COL,DF,33-331,10.8,672,608,63,23,1,15,26,39,0,0,0,0,491,1,15,Matches
Alfonso Alvarado,mx MEX,"FW,MF",23-292,9.9,208,202,6,2,2,2,5,3,0,0,0,0,157,0,9,Matches
Federico Viñas,uy URU,FW,25-183,8.8,140,129,9,0,0,0,0,1,0,0,0,0,104,2,7,Matches
Elías Hernández,mx MEX,"MF,DF",35-245,7.8,438,373,63,13,1,3,55,11,28,7,7,0,349,2,13,Matches
Nicolás López,uy URU,"FW,MF",30-090,7.7,330,295,30,7,0,2,50,4,17,5,10,0,230,5,12,Matches
Fidel Ambríz,mx MEX,MF,20-284,7.8,467,452,14,6,3,2,3,4,1,0,0,0,409,1,6,Matches
Jaine Barreiro,co COL,DF,29-194,7.0,411,380,29,22,1,16,9,7,0,0,0,0,332,2,6,Matches
Paul Bellón,mx MEX,DF,26-209,6.5,344,322,21,9,0,0,0,8,0,0,0,0,306,1,0,Matches
José David Ramírez,mx MEX,"DF,MF",28-016,6.4,398,347,50,5,0,4,24,43,1,0,0,0,335,1,8,Matches
Brian Rubio,mx MEX,FW,27-051,4.9,142,137,3,0,0,1,2,1,0,0,0,0,110,2,0,Matches
Borja Sánchez Laborde,es ESP,"MF,DF",27-307,3.9,209,195,12,2,0,9,14,7,3,2,0,0,159,2,1,Matches
Víctor Dávila,cl CHI,FW,26-056,2.8,154,146,6,0,0,0,14,1,3,3,0,0,103,2,10,Matches
Omar Fernández Frasica,co COL,"MF,FW",30-322,4.0,284,259,22,7,0,1,13,8,6,5,1,0,242,3,5,Matches
Jesús Angulo,mx MEX,MF,26-313,1.8,102,98,4,2,0,1,1,2,0,0,0,0,86,0,1,Matches
Héctor Uribe,mx MEX,"MF,DF",19-209,1.5,45,44,1,1,0,0,6,0,0,0,0,0,33,0,2,Matches
Sebastian Santos,mx MEX,"FW,MF",20-343,1.4,51,50,1,0,0,0,3,1,0,0,0,0,42,0,2,Matches
Alfonso Blanco Antúnez,mx MEX,GK,36-152,1.0,22,16,6,1,0,0,0,0,0,0,0,0,21,0,0,Matches
Luís Cervantes,mx MEX,DF,22-324,0.4,32,27,5,0,0,0,0,5,0,0,0,0,26,0,1,Matches
Oscar Villa,mx MEX,DF,22-309,0.4,21,16,5,0,0,0,0,5,0,0,0,0,17,0,0,Matches
Squad Total,,,29.0,17.0,9154,8210,901,233,13,83,393,379,118,47,34,0,7488,43,162,
Opponent Total,,,28.1,17.0,6583,5715,842,201,18,48,251,348,71,18,37,1,5065,26,114,
