Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Rodolfo Cota,mx MEX,GK,36-180,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adonis Frías,ar ARG,DF,25-288,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.6,1.6,0.2,1.8,20.0,87.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11,Matches
Ángel Mena,ec ECU,"FW,MF",35-343,17,15,1232.0,13.7,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,5.5,7.2,74.0,87.0,127.0,0.15,0.22,0.37,0.15,0.37,0.12,0.41,0.52,0.12,0.52,Matches
Iván Moreno,mx MEX,"DF,MF",25-347,15,14,1082.0,12.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.0,1.9,40.0,44.0,100.0,0.08,0.25,0.33,0.08,0.33,0.07,0.09,0.16,0.07,0.16,Matches
Osvaldo Rodríguez del Portal,mx MEX,DF,27-111,16,12,1034.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.6,1.6,7.0,37.0,31.0,0.09,0.0,0.09,0.09,0.09,0.08,0.06,0.14,0.08,0.14,Matches
Lucas Romero,ar ARG,MF,29-256,14,12,976.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.0,2.0,10.0,67.0,13.0,0.0,0.09,0.09,0.0,0.09,0.09,0.1,0.18,0.09,0.18,Matches
José Iván Rodríguez,mx MEX,MF,27-196,17,11,1005.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,14.0,51.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
William Tesillo,co COL,DF,33-331,11,11,968.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.2,1.5,12.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.02,0.14,Matches
Alfonso Alvarado,mx MEX,"FW,MF",23-292,15,10,894.0,9.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,0.2,2.1,7.0,25.0,36.0,0.2,0.1,0.3,0.2,0.3,0.19,0.02,0.21,0.19,0.21,Matches
Federico Viñas,uy URU,FW,25-183,12,10,792.0,8.8,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.1,4.1,0.7,4.9,8.0,16.0,48.0,0.68,0.11,0.8,0.68,0.8,0.47,0.08,0.55,0.47,0.55,Matches
