Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-06-30,19:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,D,1.0,1.0,Pachuca,1.3,4.2,46.0,8479.0,Néstor Vidrio,4-4-2,Jesus Lopez,Match Report,
2023-07-09,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,0.0,0.0,UNAM,0.8,1.1,45.0,20844.0,Néstor Vidrio,4-2-3-1,Óscar Macias,Match Report,
2023-07-14,19:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,0.0,3.0,Monterrey,0.3,2.6,38.0,11462.0,Néstor Vidrio,4-2-3-1,Brian Gonzalez,Match Report,
2023-08-18,20:06,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,1.0,2.0,León,1.9,1.4,42.0,23703.0,Néstor Vidrio,4-2-3-1,Maximiliano Quintero,Match Report,
2023-08-22,19:00,Liga MX,Apertura 2023 Regular Season,Tue,Home,W,1.0,0.0,Puebla,1.2,0.5,44.0,7429.0,Jefferson Intriago,4-2-3-1,Luis Enrique Santander,Match Report,
2023-08-25,20:10,Liga MX,Apertura 2023 Regular Season,Fri,Away,D,1.0,1.0,Tijuana,0.4,0.8,41.0,18333.0,Jefferson Intriago,4-4-2,Fernando Guerrero,Match Report,
2023-09-01,19:06,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,1.0,3.0,FC Juárez,1.5,1.4,57.0,11066.0,Jefferson Intriago,4-4-2,Adonai Escobedo,Match Report,
2023-09-15,18:50,Liga MX,Apertura 2023 Regular Season,Fri,Home,D,2.0,2.0,Cruz Azul,2.2,1.6,42.0,11002.0,Jefferson Intriago,4-2-3-1,Marco Antonio Ortíz,Match Report,
2023-09-22,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,2.0,3.0,Atlético,2.2,1.4,41.0,14381.0,Jefferson Intriago,4-2-3-1,Fernando Hernández,Match Report,
2023-09-26,20:05,Liga MX,Apertura 2023 Regular Season,Tue,Away,W,3.0,1.0,Guadalajara,1.5,0.5,50.0,23581.0,Jefferson Intriago,4-2-3-1,Edgar Morales,Match Report,
2023-09-30,19:06,Liga MX,Apertura 2023 Regular Season,Sat,Home,L,2.0,3.0,UANL,1.8,2.0,58.0,13503.0,Jefferson Intriago,4-2-3-1,Jesus Lopez,Match Report,
2023-10-06,21:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,1.0,2.0,América,0.5,2.3,40.0,18000.0,Jefferson Intriago,4-2-3-1,Oscar Mejia,Match Report,
2023-10-20,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,3.0,1.0,Atlas,1.7,2.5,34.0,13006.0,Jefferson Intriago,4-4-2,Marco Antonio Ortíz,Match Report,
