Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Facundo Almada,ar ARG,DF,25-173,17.0,18,14,13,5,0,8,13,61.5,5,20,15,5,16,34,61,0,Matches
Jefferson Intriago,ec ECU,MF,27-209,17.0,30,18,10,15,5,19,32,59.4,13,13,3,10,9,39,14,1,Matches
Hugo González Durán,mx MEX,GK,33-151,15.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,5,0,Matches
Bryan Colula,mx MEX,DF,27-268,11.5,31,21,19,7,5,24,37,64.9,13,7,5,2,5,36,35,0,Matches
Josué Colmán,py PAR,"MF,FW",25-158,10.9,12,4,5,7,0,6,17,35.3,11,3,0,3,6,18,8,1,Matches
Luis Amarilla,py PAR,FW,28-127,9.5,13,8,9,3,1,5,14,35.7,9,8,0,8,1,14,15,0,Matches
Jair Díaz,mx MEX,DF,25-131,9.0,26,16,16,9,1,16,31,51.6,15,5,4,1,8,34,21,0,Matches
Édgar Yoel Bárcenas,pa PAN,"FW,MF",30-068,8.9,11,8,4,5,2,4,16,25.0,12,2,1,1,6,17,3,0,Matches
Sergio Adrián Flores,mx MEX,MF,28-321,10.3,31,17,17,12,2,18,31,58.1,13,15,4,11,9,40,22,1,Matches
Luis Olivas,mx MEX,DF,23-323,9.5,14,9,11,2,1,9,15,60.0,6,10,6,4,9,23,31,1,Matches
Alan Medina,mx MEX,"FW,MF",26-133,7.5,9,6,1,6,2,2,9,22.2,7,2,0,2,3,12,0,0,Matches
Arnaud Ake,ci CIV,FW,25-273,5.9,4,1,0,2,2,2,5,40.0,3,3,0,3,0,4,6,0,Matches
Nicolás Benedetti,co COL,"MF,FW",26-249,5.9,8,5,4,3,1,4,10,40.0,6,3,0,3,1,9,0,0,Matches
Andres Montaño,mx MEX,MF,21-222,4.7,5,3,2,3,0,2,4,50.0,2,6,2,4,3,8,5,0,Matches
Eduard Bello,ve VEN,"FW,MF",28-132,7.2,15,6,6,8,1,7,12,58.3,5,9,3,6,6,21,16,0,Matches
José Madueña,mx MEX,DF,33-215,5.5,9,8,4,2,3,3,6,50.0,3,2,0,2,4,13,10,0,Matches
José Joaquín Esquivel,mx MEX,MF,25-357,5.2,8,3,4,4,0,2,7,28.6,5,7,2,5,8,16,11,0,Matches
Ventura Alvarado,us USA,DF,31-136,4.5,6,3,6,0,0,4,7,57.1,3,6,3,3,6,12,17,0,Matches
Francisco Eduardo Venegas,mx MEX,DF,25-167,4.5,15,8,7,5,3,7,9,77.8,2,3,0,3,6,21,8,0,Matches
Néstor Vidrio,mx MEX,DF,34-283,3.2,5,3,5,0,0,4,6,66.7,2,6,3,3,3,8,23,0,Matches
Lucas Merolla,ar ARG,DF,28-186,3.1,5,2,4,1,0,2,4,50.0,2,6,4,2,5,10,22,0,Matches
Ramiro Árciga,mx MEX,"MF,FW",19-122,2.4,12,6,9,2,1,5,7,71.4,2,3,0,3,3,15,1,0,Matches
Raúl Camacho,mx MEX,FW,21-286,2.0,0,0,0,0,0,0,2,0.0,2,4,0,4,0,0,6,0,Matches
Ricardo Gutiérrez,mx MEX,GK,26-196,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Roberto Meraz,mx MEX,MF,24-148,1.1,4,3,1,2,1,3,3,100.0,0,3,1,2,1,5,0,0,Matches
Miguel Sansores,mx MEX,"FW,MF",32-246,0.8,2,0,1,1,0,0,2,0.0,2,1,0,1,0,2,2,0,Matches
Omar Moreno,mx MEX,"FW,DF",18-334,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Edson Mata,mx MEX,DF,20-282,0.3,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,Matches
Squad Total,,,27.5,17.0,295,173,160,104,31,157,301,52.2,144,148,56,92,118,413,344,4,
Opponent Total,,,28.0,17.0,295,183,124,139,32,140,303,46.2,163,171,52,119,144,439,222,3,
