Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Alexis Francisco Peña,mx MEX,DF,27-351,17.0,8,0.47,6,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Bryan Garnica,mx MEX,MF,27-217,14.9,68,4.56,36,15,7,3,7,0,7,0.47,3,1,1,0,2,0,Matches
Alán Montes,mx MEX,DF,23-065,14.6,13,0.89,12,0,0,1,0,0,2,0.14,2,0,0,0,0,0,Matches
Facundo Batista,uy URU,FW,24-348,12.3,22,1.8,15,0,3,2,2,0,2,0.16,2,0,0,0,0,0,Matches
Fernando Arce Jr.,us USA,MF,27-033,10.9,14,1.29,10,0,1,1,1,1,1,0.09,1,0,0,0,0,0,Matches
Raúl Gudiño,mx MEX,GK,27-252,9.5,2,0.21,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jorge Rodríguez,mx MEX,DF,22-118,9.5,17,1.8,9,5,0,2,0,1,1,0.11,0,1,0,0,0,0,Matches
Édgar Méndez,es ESP,"FW,MF",33-362,8.5,14,1.65,10,0,1,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Heriberto Jurado,mx MEX,MF,18-361,6.6,16,2.44,7,4,3,1,1,0,3,0.46,1,2,0,0,0,0,Matches
Jair Cortés,mx MEX,"DF,MF",23-039,8.3,13,1.56,9,4,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emilio Martínez González,mx MEX,DF,20-331,7.5,11,1.46,7,2,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Ezequiel Unsain,ar ARG,GK,28-296,7.5,1,0.13,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ricardo Monreal,mx MEX,FW,22-323,6.3,29,4.6,25,0,2,0,1,1,6,0.95,6,0,0,0,0,0,Matches
Agustín Oliveros,uy URU,DF,25-135,6.0,11,1.83,10,0,1,0,0,0,2,0.33,2,0,0,0,0,0,Matches
Vicente Poggi,uy URU,MF,21-172,5.8,13,2.24,10,0,2,0,0,1,1,0.17,1,0,0,0,0,0,Matches
Andrés Colorado,co COL,MF,25-029,5.7,7,1.24,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Alejandro Andrade,mx MEX,MF,22-136,4.3,5,1.17,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Cristian González Bautista,mx MEX,"DF,MF",25-307,4.4,14,3.18,7,4,2,1,0,0,1,0.23,1,0,0,0,0,0,Matches
Jhon Chancellor,ve VEN,DF,31-362,4.3,3,0.7,3,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Diego Gómez,mx MEX,"MF,FW",20-111,3.4,5,1.48,5,0,0,0,0,0,1,0.3,1,0,0,0,0,0,Matches
José Joaquín Esquivel,mx MEX,MF,25-357,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabricio Formiliano,uy URU,DF,30-350,2.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Braian Samudio,py PAR,"MF,FW",28-007,3.8,14,3.65,12,0,0,2,0,0,1,0.26,1,0,0,0,0,0,Matches
Daniel Mantilla,co COL,"MF,FW",27-005,3.0,5,1.65,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rogelio Cortéz Pineda,mx MEX,MF,19-176,2.1,4,1.88,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Maximiliano Silvera,uy URU,FW,26-116,1.2,3,2.41,0,0,0,1,0,2,0,0.0,0,0,0,0,0,0,Matches
Alfredo Gutierrez,mx MEX,DF,20-249,0.9,2,2.2,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Misael Domínguez,mx MEX,"MF,DF",24-064,1.2,10,8.11,6,2,1,0,1,0,1,0.81,1,0,0,0,0,0,Matches
Waldo Madrid,mx MEX,"DF,FW",20-127,0.5,3,6.59,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arath Moreno,mx MEX,MF,18-041,0.4,1,2.25,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
César López,mx MEX,FW,21-298,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alek Álvarez,mx MEX,DF,20-272,0.1,2,25.71,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.5,17.0,332,19.53,224,40,24,17,18,9,30,1.76,23,4,1,0,2,0,
Opponent Total,,,28.2,17.0,435,25.59,301,56,28,24,22,4,41,2.41,35,2,1,3,0,0,
