Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Alexis Francisco Peña,mx MEX,DF,27-351,17.0,500,612,81.7,10955,4336,117,133,88.0,293,321,91.3,87,145,60.0,0,0.3,0.1,-0.3,2,32,0,0,48,Matches
Bryan Garnica,mx MEX,MF,27-217,14.9,317,494,64.2,6270,2512,138,169,81.7,114,155,73.5,57,129,44.2,3,4.4,4.3,-1.4,40,27,31,22,45,Matches
Alán Montes,mx MEX,DF,23-065,14.6,436,603,72.3,9901,4358,125,152,82.2,222,253,87.7,84,175,48.0,1,0.4,0.4,0.6,5,61,6,1,50,Matches
Facundo Batista,uy URU,FW,24-348,12.3,105,159,66.0,1557,271,59,81,72.8,35,56,62.5,6,9,66.7,1,0.7,0.6,0.3,9,6,3,1,10,Matches
Fernando Arce Jr.,us USA,MF,27-033,10.9,268,357,75.1,5132,1695,109,129,84.5,123,152,80.9,34,59,57.6,0,0.1,0.2,-0.1,2,33,4,2,41,Matches
Raúl Gudiño,mx MEX,GK,27-252,9.5,179,294,60.9,6143,5002,25,26,96.2,76,79,96.2,76,185,41.1,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Jorge Rodríguez,mx MEX,DF,22-118,9.5,235,363,64.7,4038,2034,110,135,81.5,94,147,63.9,20,59,33.9,0,0.3,0.8,-0.3,5,21,6,5,19,Matches
Édgar Méndez,es ESP,"FW,MF",33-362,8.5,107,177,60.5,1684,269,48,69,69.6,37,52,71.2,10,27,37.0,0,0.1,0.4,-0.1,1,9,0,0,15,Matches
Heriberto Jurado,mx MEX,MF,18-361,6.6,93,154,60.4,1435,325,54,63,85.7,27,48,56.3,9,28,32.1,3,1.3,1.0,1.7,8,4,2,2,8,Matches
Jair Cortés,mx MEX,"DF,MF",23-039,8.3,218,342,63.7,3964,1763,98,122,80.3,97,141,68.8,21,56,37.5,0,0.0,0.3,0.0,1,31,2,2,35,Matches
Emilio Martínez González,mx MEX,DF,20-331,7.5,187,290,64.5,3526,1595,69,84,82.1,96,144,66.7,20,48,41.7,0,0.4,0.6,-0.4,4,19,7,4,36,Matches
Ezequiel Unsain,ar ARG,GK,28-296,7.5,119,206,57.8,4371,3465,13,13,100.0,47,48,97.9,59,145,40.7,0,0.0,0.0,0.0,1,7,1,0,0,Matches
Ricardo Monreal,mx MEX,FW,22-323,6.3,119,177,67.2,1870,458,61,78,78.2,35,53,66.0,11,18,61.1,3,1.4,1.2,1.6,16,13,4,1,13,Matches
Agustín Oliveros,uy URU,DF,25-135,6.0,130,198,65.7,2634,1488,52,65,80.0,55,78,70.5,23,46,50.0,1,0.4,0.7,0.6,7,27,6,3,18,Matches
Vicente Poggi,uy URU,MF,21-172,5.8,185,227,81.5,3360,1020,76,86,88.4,88,104,84.6,18,25,72.0,1,0.2,0.2,0.8,6,24,2,1,29,Matches
Andrés Colorado,co COL,MF,25-029,5.7,149,178,83.7,2781,590,60,67,89.6,71,79,89.9,17,27,63.0,0,0.0,0.1,0.0,2,17,1,0,24,Matches
Alejandro Andrade,mx MEX,MF,22-136,4.3,78,120,65.0,1388,430,28,40,70.0,39,55,70.9,8,17,47.1,0,0.1,0.1,-0.1,2,8,1,0,7,Matches
Cristian González Bautista,mx MEX,"DF,MF",25-307,4.4,102,158,64.6,2101,962,39,46,84.8,44,61,72.1,18,38,47.4,1,0.4,0.7,0.6,6,13,7,5,7,Matches
Jhon Chancellor,ve VEN,DF,31-362,4.3,114,139,82.0,2491,1198,37,39,94.9,53,57,93.0,22,38,57.9,0,0.0,0.0,0.0,1,9,0,0,11,Matches
Diego Gómez,mx MEX,"MF,FW",20-111,3.4,63,85,74.1,957,357,34,48,70.8,19,21,90.5,6,9,66.7,1,0.6,0.4,0.4,4,10,1,0,8,Matches
José Joaquín Esquivel,mx MEX,MF,25-357,3.0,65,86,75.6,1124,334,27,34,79.4,31,40,77.5,4,6,66.7,0,0.0,0.0,0.0,0,7,0,0,9,Matches
Fabricio Formiliano,uy URU,DF,30-350,2.8,82,100,82.0,1901,817,17,19,89.5,41,47,87.2,23,31,74.2,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Braian Samudio,py PAR,"MF,FW",28-007,3.8,118,170,69.4,1953,408,56,73,76.7,47,63,74.6,10,18,55.6,0,0.5,0.6,-0.5,7,9,6,3,14,Matches
Daniel Mantilla,co COL,"MF,FW",27-005,3.0,58,81,71.6,856,229,39,47,83.0,14,24,58.3,4,6,66.7,0,0.1,0.5,-0.1,2,2,2,2,4,Matches
Rogelio Cortéz Pineda,mx MEX,MF,19-176,2.1,44,58,75.9,750,231,16,19,84.2,23,28,82.1,4,10,40.0,0,0.1,0.0,-0.1,3,6,0,0,5,Matches
Maximiliano Silvera,uy URU,FW,26-116,1.2,11,13,84.6,165,14,7,8,87.5,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Alfredo Gutierrez,mx MEX,DF,20-249,0.9,17,23,73.9,325,122,3,5,60.0,13,15,86.7,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches
Misael Domínguez,mx MEX,"MF,DF",24-064,1.2,55,70,78.6,816,438,32,34,94.1,19,24,79.2,3,8,37.5,0,0.3,0.4,-0.3,6,8,9,0,19,Matches
Waldo Madrid,mx MEX,"DF,FW",20-127,0.5,7,16,43.8,85,44,4,6,66.7,3,5,60.0,0,3,0.0,0,0.0,0.0,0.0,0,0,1,0,2,Matches
Arath Moreno,mx MEX,MF,18-041,0.4,11,18,61.1,164,70,7,10,70.0,3,4,75.0,1,3,33.3,0,0.0,0.1,0.0,1,1,0,0,1,Matches
César López,mx MEX,FW,21-298,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Alek Álvarez,mx MEX,DF,20-272,0.1,7,7,100.0,140,24,2,2,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,1,Matches
Squad Total,,,25.5,17.0,4179,5975,69.9,84837,36859,1562,1902,82.1,1866,2362,79.0,658,1372,48.0,15,12.0,14.0,3.0,143,415,103,55,482,
Opponent Total,,,28.2,17.0,7665,9427,81.3,144278,53806,3104,3463,89.6,3618,4105,88.1,833,1470,56.7,18,17.8,18.6,0.2,187,671,158,44,777,
