Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Alexis Francisco Peña,mx MEX,DF,27-351,17,1530.0,90.0,100.0,17.0,17,90.0,17,0,,0,0.88,18.0,27.0,-9.0,-0.53,,16.1,23.1,-7.0,-0.41,,Matches
Bryan Garnica,mx MEX,MF,27-217,17,1341.0,79.0,87.6,14.9,17,79.0,8,0,,0,0.88,17.0,23.0,-6.0,-0.4,1.03,13.9,19.4,-5.4,-0.37,0.38,Matches
Alán Montes,mx MEX,DF,23-065,17,1315.0,77.0,85.9,14.6,14,87.0,13,3,33.0,0,0.88,16.0,24.0,-8.0,-0.55,-0.13,14.4,20.5,-6.1,-0.42,-0.05,Matches
Facundo Batista,uy URU,FW,24-348,15,1103.0,74.0,72.1,12.3,12,82.0,7,3,40.0,0,0.73,13.0,22.0,-9.0,-0.73,-0.73,11.1,18.3,-7.2,-0.59,-0.64,Matches
Fernando Arce Jr.,us USA,MF,27-033,12,980.0,82.0,64.1,10.9,10,89.0,9,2,44.0,1,1.08,15.0,15.0,0.0,0.0,1.47,11.6,14.9,-3.3,-0.31,0.29,Matches
Raúl Gudiño,mx MEX,GK,27-252,10,855.0,86.0,55.9,9.5,10,86.0,9,0,,7,0.8,7.0,15.0,-8.0,-0.84,-0.71,9.9,13.0,-3.1,-0.33,0.19,Matches
Jorge Rodríguez,mx MEX,DF,22-118,12,851.0,71.0,55.6,9.5,9,80.0,4,3,43.0,4,1.08,13.0,10.0,3.0,0.32,1.91,9.3,12.1,-2.9,-0.3,0.24,Matches
Édgar Méndez,es ESP,"FW,MF",33-362,15,763.0,51.0,49.9,8.5,9,68.0,0,6,25.0,1,0.87,8.0,10.0,-2.0,-0.24,0.59,8.4,8.6,-0.3,-0.03,0.76,Matches
Heriberto Jurado,mx MEX,MF,18-361,12,590.0,49.0,38.6,6.6,8,59.0,0,4,30.0,0,1.08,10.0,13.0,-3.0,-0.46,0.12,7.2,10.6,-3.4,-0.52,-0.18,Matches
Jair Cortés,mx MEX,"DF,MF",23-039,14,751.0,54.0,49.1,8.3,7,87.0,6,7,20.0,1,1.0,11.0,19.0,-8.0,-0.96,-0.84,8.4,12.3,-4.0,-0.48,-0.12,Matches
Emilio Martínez González,mx MEX,DF,20-331,9,676.0,75.0,44.2,7.5,7,84.0,4,2,43.0,6,0.78,7.0,12.0,-5.0,-0.67,-0.24,6.5,7.8,-1.3,-0.18,0.42,Matches
Ezequiel Unsain,ar ARG,GK,28-296,8,675.0,84.0,44.1,7.5,7,90.0,7,1,45.0,8,1.25,11.0,12.0,-1.0,-0.13,0.71,6.3,10.2,-3.9,-0.52,-0.19,Matches
Ricardo Monreal,mx MEX,FW,22-323,9,568.0,63.0,37.1,6.3,7,74.0,2,2,27.0,3,1.0,10.0,9.0,1.0,0.16,1.09,7.3,9.5,-2.2,-0.35,0.1,Matches
Agustín Oliveros,uy URU,DF,25-135,7,541.0,77.0,35.4,6.0,7,77.0,5,0,,0,0.57,4.0,9.0,-5.0,-0.83,-0.47,5.2,7.4,-2.1,-0.35,0.09,Matches
Vicente Poggi,uy URU,MF,21-172,9,523.0,58.0,34.2,5.8,6,67.0,1,3,40.0,2,0.44,3.0,8.0,-5.0,-0.86,-0.5,5.6,6.9,-1.4,-0.23,0.27,Matches
Andrés Colorado,co COL,MF,25-029,10,509.0,51.0,33.3,5.7,6,67.0,1,4,27.0,1,0.9,6.0,9.0,-3.0,-0.53,0.0,4.3,7.5,-3.2,-0.57,-0.23,Matches
Alejandro Andrade,mx MEX,MF,22-136,6,385.0,64.0,25.2,4.3,6,64.0,1,0,,1,1.0,9.0,8.0,1.0,0.23,1.02,4.9,9.0,-4.1,-0.96,-0.74,Matches
Cristian González Bautista,mx MEX,"DF,MF",25-307,7,396.0,57.0,25.9,4.4,5,72.0,3,2,19.0,5,0.57,1.0,6.0,-5.0,-1.14,-0.82,3.5,7.0,-3.5,-0.81,-0.53,Matches
Jhon Chancellor,ve VEN,DF,31-362,5,384.0,77.0,25.1,4.3,5,77.0,4,0,,1,1.0,4.0,6.0,-2.0,-0.47,0.08,2.9,5.7,-2.9,-0.67,-0.35,Matches
Diego Gómez,mx MEX,"MF,FW",20-111,6,306.0,51.0,20.0,3.4,3,71.0,0,3,31.0,3,1.33,3.0,4.0,-1.0,-0.29,0.29,2.6,3.0,-0.4,-0.12,0.37,Matches
José Joaquín Esquivel,mx MEX,MF,25-357,3,270.0,90.0,17.6,3.0,3,90.0,3,0,,0,0.67,1.0,3.0,-2.0,-0.67,-0.17,2.9,3.9,-1.0,-0.33,0.1,Matches
Fabricio Formiliano,uy URU,DF,30-350,3,253.0,84.0,16.5,2.8,3,84.0,2,0,,0,0.67,1.0,2.0,-1.0,-0.36,0.21,2.8,3.5,-0.7,-0.24,0.2,Matches
Braian Samudio,py PAR,"MF,FW",28-007,11,345.0,31.0,22.5,3.8,2,45.0,0,9,28.0,2,0.82,5.0,6.0,-1.0,-0.26,0.35,3.8,4.1,-0.3,-0.09,0.41,Matches
Daniel Mantilla,co COL,"MF,FW",27-005,7,272.0,39.0,17.8,3.0,2,65.0,0,5,28.0,2,0.71,1.0,6.0,-5.0,-1.65,-1.37,2.5,4.5,-2.0,-0.67,-0.31,Matches
Rogelio Cortéz Pineda,mx MEX,MF,19-176,7,189.0,27.0,12.4,2.1,2,55.0,0,5,16.0,8,0.71,1.0,6.0,-5.0,-2.38,-2.11,1.0,4.3,-3.2,-1.53,-1.27,Matches
Maximiliano Silvera,uy URU,FW,26-116,3,112.0,37.0,7.3,1.2,2,53.0,0,1,7.0,0,0.67,0.0,1.0,-1.0,-0.8,-0.3,1.3,1.6,-0.4,-0.28,0.14,Matches
Alfredo Gutierrez,mx MEX,DF,20-249,1,82.0,82.0,5.4,0.9,1,82.0,0,0,,1,0.0,0.0,3.0,-3.0,-3.29,-2.92,1.0,1.4,-0.3,-0.38,0.03,Matches
Misael Domínguez,mx MEX,"MF,DF",24-064,5,111.0,22.0,7.3,1.2,0,,0,5,22.0,4,0.6,1.0,2.0,-1.0,-0.81,-0.3,1.4,2.2,-0.8,-0.61,-0.21,Matches
Waldo Madrid,mx MEX,"DF,FW",20-127,5,41.0,8.0,2.7,0.5,0,,0,5,8.0,5,1.2,1.0,2.0,-1.0,-2.2,-1.71,0.9,1.0,-0.1,-0.15,0.27,Matches
Arath Moreno,mx MEX,MF,18-041,2,40.0,20.0,2.6,0.4,0,,0,2,20.0,2,0.0,0.0,2.0,-2.0,-4.5,-4.08,0.0,0.2,-0.2,-0.36,0.06,Matches
César López,mx MEX,FW,21-298,2,12.0,6.0,0.8,0.1,0,,0,2,6.0,2,2.0,1.0,0.0,1.0,7.5,8.09,0.3,0.0,0.3,2.28,2.71,Matches
Alek Álvarez,mx MEX,DF,20-272,1,7.0,7.0,0.5,0.1,0,,0,1,7.0,3,0.0,0.0,1.0,-1.0,-12.86,-12.38,0.1,0.4,-0.3,-3.54,-3.14,Matches
Jesús Alcantar Rodríguez,mx MEX,DF,20-153,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ángel Chávez,mx MEX,DF,18-314,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Javier Orantes,mx MEX,GK,18-191,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
