Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Miguel Rodríguez,mx MEX,DF,20-253,16.7,48,2.87,33,9,2,1,2,1,1,0.06,1,0,0,0,0,0,Matches
Gustavo Cabral,ar ARG,DF,38-077,16.0,15,0.94,12,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergio Barreto,ar ARG,DF,24-254,15.3,8,0.52,6,0,0,2,0,0,1,0.07,1,0,0,0,0,0,Matches
Carlos Moreno,mx MEX,GK,25-335,14.0,5,0.36,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Erick Sánchez,mx MEX,"MF,FW",24-094,12.8,64,5.0,41,8,4,3,8,0,7,0.55,4,0,3,0,0,0,Matches
Lucas Di Yorio,ar ARG,FW,27-038,11.3,34,3.0,17,0,3,8,4,2,0,0.0,0,0,0,0,0,0,Matches
Elias Montiel,mx MEX,MF,18-084,10.0,35,3.51,29,2,2,0,1,1,2,0.2,2,0,0,0,0,0,Matches
Roberto de la Rosa,mx MEX,"FW,MF",23-360,8.7,29,3.35,23,1,1,4,0,0,0,0.0,0,0,0,0,0,0,Matches
José Castillo Pérez,mx MEX,DF,22-028,8.3,20,2.4,14,3,1,2,0,0,2,0.24,2,0,0,0,0,0,Matches
Marino Hinestroza,co COL,"MF,FW",21-175,7.7,44,5.72,23,3,10,3,5,0,4,0.52,3,0,1,0,0,0,Matches
David Terans,uy URU,"MF,FW",29-141,6.1,32,5.21,19,5,5,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Byron Castillo,ec ECU,DF,25-050,7.3,16,2.2,12,0,1,0,3,0,1,0.14,1,0,0,0,0,0,Matches
Jesús Hernández,mx MEX,"MF,FW",22-151,5.9,29,4.9,20,5,2,1,1,0,2,0.34,2,0,0,0,0,0,Matches
Celso Ortiz,py PAR,MF,34-338,5.6,8,1.43,6,0,0,0,1,1,1,0.18,1,0,0,0,0,0,Matches
Jorge Berlanga,mx MEX,DF,20-165,5.3,3,0.57,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bryan González,mx MEX,"MF,FW",20-264,3.9,10,2.54,6,2,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Pedraza,mx MEX,MF,23-244,5.2,7,1.34,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Oussama Idrissi,ma MAR,"FW,MF",27-307,3.6,14,3.87,9,1,2,0,0,2,1,0.28,1,0,0,0,0,0,Matches
Óscar Ustari,ar ARG,GK,37-180,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Illian Hernandez,mx MEX,FW,23-262,4.5,7,1.55,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Francisco Antonio Figueroa,mx MEX,"MF,FW",24-200,2.2,9,4.01,6,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jahaziel Marchand,mx MEX,MF,22-093,2.2,6,2.74,5,0,0,0,1,0,1,0.46,1,0,0,0,0,0,Matches
Alexei Dominguez,mx MEX,"MF,FW",18-361,2.0,14,7.0,12,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulino,es ESP,MF,26-186,1.4,4,2.79,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Israel Luna,mx MEX,MF,21-282,1.2,3,2.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Javier Eduardo López,mx MEX,"MF,FW",29-104,2.9,22,7.47,16,5,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
René López,mx MEX,DF,21-360,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Sánchez,mx MEX,DF,23-241,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Owen González,mx MEX,"MF,FW",20-163,1.6,7,4.32,6,0,1,0,0,0,1,0.62,1,0,0,0,0,0,Matches
Fernando Ovelar,py PAR,"MF,FW",19-358,0.4,2,5.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.4,17.0,497,29.24,343,49,39,32,26,8,24,1.41,20,0,4,0,0,0,
Opponent Total,,,28.0,17.0,402,23.65,300,37,22,22,18,3,51,3.0,39,2,3,1,6,0,
