Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Miguel Rodríguez,mx MEX,DF,20-253,16.7,804,600,202,23,2,8,55,163,16,7,7,0,562,2,41,Matches
Gustavo Cabral,ar ARG,DF,38-077,16.0,732,694,36,32,0,9,1,4,0,0,0,0,628,2,6,Matches
Sergio Barreto,ar ARG,DF,24-254,15.3,610,585,24,18,0,5,1,6,0,0,0,0,456,1,7,Matches
Carlos Moreno,mx MEX,GK,25-335,14.0,403,225,178,33,0,0,0,0,0,0,0,0,237,0,0,Matches
Erick Sánchez,mx MEX,"MF,FW",24-094,12.8,710,665,44,38,1,16,8,0,6,1,1,0,560,1,15,Matches
Lucas Di Yorio,ar ARG,FW,27-038,11.3,205,196,8,0,0,0,12,0,0,0,0,0,126,1,11,Matches
Elias Montiel,mx MEX,MF,18-084,10.0,457,447,10,2,1,16,7,4,4,1,1,0,407,0,10,Matches
Roberto de la Rosa,mx MEX,"FW,MF",23-360,8.7,264,243,20,1,3,8,10,0,0,0,0,0,181,1,9,Matches
José Castillo Pérez,mx MEX,DF,22-028,8.3,524,406,116,9,0,2,38,107,0,0,0,0,385,2,24,Matches
Marino Hinestroza,co COL,"MF,FW",21-175,7.7,245,236,8,0,0,2,21,1,7,5,0,0,186,1,4,Matches
David Terans,uy URU,"MF,FW",29-141,6.1,217,182,35,6,1,4,24,3,18,5,8,0,158,0,8,Matches
Byron Castillo,ec ECU,DF,25-050,7.3,341,269,72,5,0,1,34,67,0,0,0,0,255,0,12,Matches
Jesús Hernández,mx MEX,"MF,FW",22-151,5.9,224,197,26,4,2,1,21,3,19,6,3,0,174,1,8,Matches
Celso Ortiz,py PAR,MF,34-338,5.6,262,254,7,6,0,4,1,1,0,0,0,0,211,1,6,Matches
Jorge Berlanga,mx MEX,DF,20-165,5.3,281,243,38,5,0,2,1,33,0,0,0,0,229,0,2,Matches
Bryan González,mx MEX,"MF,FW",20-264,3.9,113,106,6,0,0,1,12,2,3,2,0,0,87,1,2,Matches
Pedro Pedraza,mx MEX,MF,23-244,5.2,248,242,6,6,1,1,1,0,0,0,0,0,218,0,4,Matches
Oussama Idrissi,ma MAR,"FW,MF",27-307,3.6,160,146,14,2,0,7,21,2,9,7,1,0,123,0,3,Matches
Óscar Ustari,ar ARG,GK,37-180,3.0,87,52,35,6,0,0,0,0,0,0,0,0,57,0,0,Matches
Illian Hernandez,mx MEX,FW,23-262,4.5,108,101,6,0,0,2,0,2,0,0,0,0,69,1,2,Matches
Francisco Antonio Figueroa,mx MEX,"MF,FW",24-200,2.2,69,66,3,2,0,0,16,0,1,0,0,0,48,0,2,Matches
Jahaziel Marchand,mx MEX,MF,22-093,2.2,95,88,7,7,0,1,0,0,0,0,0,0,80,0,1,Matches
Alexei Dominguez,mx MEX,"MF,FW",18-361,2.0,67,67,0,0,1,0,5,0,0,0,0,0,55,0,0,Matches
Paulino,es ESP,MF,26-186,1.4,83,75,8,3,0,3,5,1,4,2,2,0,65,0,0,Matches
Israel Luna,mx MEX,MF,21-282,1.2,55,51,4,2,0,4,1,2,0,0,0,0,48,0,1,Matches
Javier Eduardo López,mx MEX,"MF,FW",29-104,2.9,144,122,22,8,1,0,17,1,12,7,4,0,110,0,6,Matches
René López,mx MEX,DF,21-360,0.8,38,34,4,0,0,0,4,4,0,0,0,0,21,0,4,Matches
Luis Sánchez,mx MEX,DF,23-241,0.7,25,20,5,0,0,0,1,5,0,0,0,0,20,0,0,Matches
Owen González,mx MEX,"MF,FW",20-163,1.6,64,63,1,0,0,0,2,1,0,0,0,0,46,0,2,Matches
Fernando Ovelar,py PAR,"MF,FW",19-358,0.4,14,13,1,1,0,0,0,0,0,0,0,0,12,0,0,Matches
Squad Total,,,25.4,17.0,7649,6688,946,219,13,97,319,412,99,43,27,0,5814,15,190,
Opponent Total,,,28.0,17.0,8384,7391,974,233,34,98,310,446,83,26,39,0,6360,19,203,
