Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Miguel Rodríguez,mx MEX,DF,20-253,17,17,1503.0,16.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,3.0,3.3,41.0,48.0,66.0,0.0,0.06,0.06,0.0,0.06,0.02,0.18,0.2,0.02,0.2,Matches
Gustavo Cabral,ar ARG,DF,38-077,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.1,0.3,0.1,0.4,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.07,0.02,0.02,Matches
Sergio Barreto,ar ARG,DF,24-254,16,15,1380.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.4,1.0,5.0,44.0,1.0,0.0,0.07,0.07,0.0,0.07,0.04,0.03,0.07,0.04,0.07,Matches
Carlos Moreno,mx MEX,GK,25-335,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erick Sánchez,mx MEX,"MF,FW",24-094,14,13,1152.0,12.8,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,1.5,1.5,1.7,3.2,31.0,134.0,37.0,0.31,0.16,0.47,0.31,0.47,0.11,0.13,0.25,0.11,0.25,Matches
Lucas Di Yorio,ar ARG,FW,27-038,15,12,1021.0,11.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.2,5.2,2.0,7.2,25.0,15.0,71.0,0.18,0.0,0.18,0.18,0.18,0.46,0.18,0.63,0.46,0.63,Matches
Elias Montiel,mx MEX,MF,18-084,11,10,897.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,19.0,85.0,21.0,0.0,0.2,0.2,0.0,0.2,0.02,0.05,0.07,0.02,0.07,Matches
Roberto de la Rosa,mx MEX,"FW,MF",23-360,15,10,781.0,8.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,1.8,5.2,15.0,28.0,76.0,0.12,0.12,0.23,0.12,0.23,0.4,0.2,0.6,0.4,0.6,Matches
José Castillo Pérez,mx MEX,DF,22-028,9,9,750.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.2,1.9,20.0,42.0,40.0,0.0,0.12,0.12,0.0,0.12,0.09,0.14,0.23,0.09,0.23,Matches
Marino Hinestroza,co COL,"MF,FW",21-175,13,9,692.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.7,1.8,21.0,20.0,61.0,0.13,0.13,0.26,0.13,0.26,0.14,0.09,0.23,0.14,0.23,Matches
David Terans,uy URU,"MF,FW",29-141,11,8,551.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.1,2.1,0.4,2.5,13.0,29.0,34.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.41,0.34,0.41,Matches
Byron Castillo,ec ECU,DF,25-050,10,7,655.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.5,0.7,16.0,23.0,45.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches
Jesús Hernández,mx MEX,"MF,FW",22-151,10,6,534.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,1.7,27.0,16.0,50.0,0.17,0.0,0.17,0.17,0.17,0.14,0.15,0.28,0.14,0.28,Matches
Celso Ortiz,py PAR,MF,34-338,11,6,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
