Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-07-01,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,1.0,1.0,UANL,0.6,2.4,42.0,41615.0,Federico Mancuello,4-4-2,Óscar Macias,Match Report,
2023-07-07,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,2.0,3.0,Santos,1.5,3.2,60.0,11526.0,Federico Mancuello,4-4-2,Brian Gonzalez,Match Report,
2023-07-15,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,0.0,3.0,América,0.9,3.6,40.0,32294.0,Federico Mancuello,4-1-3-2,Víctor Cáceres,Match Report,
2023-08-18,22:06,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,1.0,2.0,Atlético,1.1,1.8,53.0,8700.0,Diego De Buen,4-5-1,Ismael Lopez,Match Report,
2023-08-22,19:00,Liga MX,Apertura 2023 Regular Season,Tue,Away,L,0.0,1.0,Mazatlán,0.5,1.2,56.0,7429.0,Diego De Buen,5-4-1,Luis Enrique Santander,Match Report,
2023-08-25,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,W,1.0,0.0,FC Juárez,1.3,0.5,44.0,7806.0,Diego De Buen,4-4-2,Diego Montaño,Match Report,
2023-09-01,22:10,Liga MX,Apertura 2023 Regular Season,Fri,Home,W,3.0,0.0,Tijuana,1.1,1.5,54.0,7700.0,Diego De Buen,4-4-2,César Arturo Ramos,Match Report,
2023-09-17,18:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,1.0,1.0,Querétaro,1.8,1.7,70.0,8380.0,Diego De Buen,4-4-2,Víctor Cáceres,Match Report,
2023-09-22,22:10,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,0.0,2.0,UNAM,0.7,2.0,58.0,20696.0,Diego De Buen,4-4-2,Guillermo Pacheco,Match Report,
2023-09-28,21:00,Liga MX,Apertura 2023 Regular Season,Thu,Away,W,3.0,2.0,Atlas,1.5,1.0,39.0,16390.0,Diego De Buen,4-4-2,Ismael Lopez,Match Report,
2023-10-03,20:00,Liga MX,Apertura 2023 Regular Season,Tue,Home,D,1.0,1.0,Monterrey,0.6,2.2,43.0,10263.0,Diego De Buen,4-4-2,Erick Miranda,Match Report,
2023-10-08,18:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,2.0,1.0,Necaxa,1.1,1.7,47.0,7463.0,Diego De Buen,4-4-2,Guillermo Pacheco,Match Report,
2023-10-20,22:10,Liga MX,Apertura 2023 Regular Season,Fri,Home,L,0.0,2.0,Guadalajara,1.5,1.1,50.0,29026.0,Diego De Buen,4-4-2,Víctor Cáceres,Match Report,
2023-10-28,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,D,1.0,1.0,Pachuca,1.2,2.5,47.0,7876.0,Diego De Buen,4-4-2,Jorge Camacho,Match Report,
2023-10-31,19:00,Liga MX,Apertura 2023 Regular Season,Tue,Away,W,1.0,0.0,Toluca,1.4,1.2,42.0,23808.0,Diego De Buen,4-4-2,Óscar Macias,Match Report,
2023-11-03,21:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,W,5.0,4.0,León,1.4,3.1,47.0,12254.0,Diego De Buen,4-4-2,Edgar Morales,Match Report,
2023-11-12,18:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,W,2.0,1.0,Cruz Azul,1.3,2.2,45.0,18653.0,Diego De Buen,4-4-2,Luis Enrique Santander,Match Report,
2023-11-30,19:00,Liga MX,Apertura — Quarter-finals,Thu,Home,D,2.0,2.0,UANL,,,43.0,28984.0,Diego De Buen,4-4-2,Oscar Mejia,Match Report,Leg 1 of 2
2023-12-03,20:10,Liga MX,Apertura — Quarter-finals,Sun,Away,L,0.0,3.0,UANL,1.7,1.8,43.0,,Diego De Buen,4-4-2,Adonai Escobedo,Match Report,Leg 2 of 2; UANL won
2024-01-13,21:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Monterrey,,,,,,,,Head-to-Head,
2024-01-19,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Necaxa,,,,,,,,Head-to-Head,
2024-01-26,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Toluca,,,,,,,,Head-to-Head,
2024-01-31,20:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,,,,Santos,,,,,,,,Head-to-Head,
2024-02-02,21:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Mazatlán,,,,,,,,Head-to-Head,
2024-02-11,12:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,UNAM,,,,,,,,Head-to-Head,
2024-02-17,16:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,FC Juárez,,,,,,,,Head-to-Head,
2024-02-20,19:00,Liga MX,Clausura 2024 Regular Season,Tue,Home,,,,Pachuca,,,,,,,,Head-to-Head,
2024-02-23,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Querétaro,,,,,,,,Head-to-Head,
2024-03-01,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Atlético,,,,,,,,Head-to-Head,
2024-03-08,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Atlas,,,,,,,,Head-to-Head,
2024-03-16,18:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,León,,,,,,,,Head-to-Head,
2024-03-29,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,UANL,,,,,,,,Head-to-Head,
2024-04-06,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Guadalajara,,,,,,,,Head-to-Head,
2024-04-12,22:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,Cruz Azul,,,,,,,,Head-to-Head,
2024-04-19,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Tijuana,,,,,,,,Head-to-Head,
2024-04-26,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Home,,,,América,,,,,,,,Head-to-Head,
