Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Diego De Buen,mx MEX,"MF,DF",32-180,17.0,29.0,17,12.0,14.0,3.0,12.0,32.0,37.5,20.0,17.0,9.0,8.0,23,52.0,42.0,0.0,Matches
Jesús Rodríguez,mx MEX,GK,30-223,17.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,6.0,3.0,Matches
Gastón Silva,uy URU,DF,29-300,17.0,37.0,23,26.0,10.0,1.0,25.0,41.0,61.0,16.0,30.0,14.0,16.0,16,53.0,79.0,0.0,Matches
Brayan Angulo,co COL,"DF,MF",34-058,16.8,30.0,20,17.0,12.0,1.0,17.0,33.0,51.5,16.0,10.0,2.0,8.0,18,48.0,24.0,0.0,Matches
Guillermo Martínez Ayala,mx MEX,FW,28-290,15.0,6.0,1,1.0,3.0,2.0,2.0,7.0,28.6,5.0,9.0,3.0,6.0,1,7.0,17.0,0.0,Matches
Gustavo Ferrareis,br BRA,DF,27-362,14.4,30.0,17,18.0,10.0,2.0,16.0,33.0,48.5,17.0,13.0,2.0,11.0,16,46.0,35.0,0.0,Matches
Pablo González Díaz,mx MEX,MF,31-176,14.3,28.0,21,20.0,8.0,0.0,14.0,22.0,63.6,8.0,18.0,13.0,5.0,26,54.0,39.0,0.0,Matches
Kevin Velasco,co COL,MF,26-244,13.1,22.0,12,13.0,7.0,2.0,5.0,14.0,35.7,9.0,10.0,0.0,10.0,6,28.0,5.0,0.0,Matches
Sebastián Olmedo,py PAR,DF,22-192,14.0,30.0,19,22.0,8.0,0.0,15.0,28.0,53.6,13.0,23.0,14.0,9.0,24,54.0,65.0,5.0,Matches
Daniel Álvarez López,mx MEX,"MF,FW",29-161,9.4,9.0,7,1.0,7.0,1.0,5.0,15.0,33.3,10.0,10.0,3.0,7.0,5,14.0,6.0,0.0,Matches
Martín Barragán,mx MEX,FW,32-169,9.3,3.0,1,0.0,0.0,3.0,1.0,4.0,25.0,3.0,9.0,2.0,7.0,2,5.0,7.0,0.0,Matches
Carlos Baltazar,mx MEX,MF,26-309,6.1,11.0,8,1.0,9.0,1.0,4.0,6.0,66.7,2.0,5.0,1.0,4.0,3,14.0,6.0,0.0,Matches
Luis García,mx MEX,"DF,MF",30-280,4.0,4.0,2,3.0,1.0,0.0,3.0,8.0,37.5,5.0,1.0,0.0,1.0,4,8.0,4.0,0.0,Matches
Ángel Robles,mx MEX,"FW,MF",22-042,3.2,5.0,3,1.0,3.0,1.0,2.0,7.0,28.6,5.0,5.0,0.0,5.0,0,5.0,0.0,0.0,Matches
Miguel Sansores,mx MEX,"FW,MF",32-246,3.5,9.0,6,3.0,5.0,1.0,4.0,9.0,44.4,5.0,3.0,1.0,2.0,2,11.0,4.0,0.0,Matches
Federico Mancuello,ar ARG,MF,34-279,3.0,4.0,2,1.0,3.0,0.0,1.0,4.0,25.0,3.0,3.0,1.0,2.0,3,7.0,5.0,0.0,Matches
Alberto Herrera,mx MEX,"DF,MF",22-310,1.5,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,0.0,5.0,1,2.0,5.0,0.0,Matches
Efraín Orona,mx MEX,"DF,MF",24-311,1.2,3.0,3,2.0,1.0,0.0,3.0,3.0,100.0,0.0,4.0,3.0,1.0,4,7.0,8.0,0.0,Matches
Diego Zago,mx MEX,MF,21-250,1.0,3.0,3,1.0,2.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,1,4.0,5.0,0.0,Matches
Gabriel Carabajal,ar ARG,"MF,FW",32-021,1.6,6.0,6,0.0,3.0,3.0,1.0,3.0,33.3,2.0,2.0,0.0,2.0,0,6.0,2.0,0.0,Matches
Lucas de los Santos,uy URU,"MF,FW",22-157,1.5,5.0,2,3.0,1.0,1.0,1.0,2.0,50.0,1.0,4.0,0.0,4.0,0,5.0,10.0,0.0,Matches
Daniel Aguilar,mx MEX,"FW,MF",25-327,1.3,2.0,0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1,3.0,3.0,0.0,Matches
Facundo Waller,uy URU,MF,26-265,0.9,2.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0.0,Matches
Fernando Arce Jr.,us USA,"MF,DF",27-033,0.7,2.0,2,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,2.0,1.0,0.0,Matches
S. González,mx MEX,FW,20-173,0.1,,0,,,,,,,,,,,0,,,,Matches
Squad Total,,,29.5,17.0,281.0,178,149.0,109.0,23.0,134.0,285.0,47.0,151.0,183.0,68.0,115.0,156,437.0,380.0,8.0,
Opponent Total,,,28.2,17.0,331.0,189,147.0,141.0,43.0,157.0,324.0,48.5,167.0,177.0,48.0,129.0,160,491.0,283.0,3.0,
