Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Diego De Buen,mx MEX,"MF,DF",32-180,17.0,976.0,81.0,373.0,515.0,94.0,14.0,976.0,14.0,7.0,50.0,7.0,50.0,471.0,2115.0,1089.0,11.0,10.0,1.0,17.0,7.0,617.0,10.0,Matches
Jesús Rodríguez,mx MEX,GK,30-223,17.0,699.0,554.0,696.0,3.0,0.0,0.0,699.0,0.0,0.0,,0.0,,363.0,1875.0,1167.0,0.0,1.0,1.0,0.0,0.0,290.0,0.0,Matches
Gastón Silva,uy URU,DF,29-300,17.0,1086.0,134.0,594.0,451.0,51.0,13.0,1086.0,1.0,1.0,100.0,0.0,0.0,570.0,3043.0,1942.0,12.0,7.0,0.0,6.0,3.0,657.0,4.0,Matches
Brayan Angulo,co COL,"DF,MF",34-058,16.8,1124.0,27.0,307.0,557.0,284.0,28.0,1124.0,98.0,60.0,61.2,36.0,36.7,631.0,4753.0,2637.0,67.0,57.0,12.0,31.0,29.0,697.0,54.0,Matches
Guillermo Martínez Ayala,mx MEX,FW,28-290,15.0,511.0,21.0,36.0,276.0,203.0,77.0,509.0,27.0,12.0,44.4,13.0,48.1,281.0,1169.0,377.0,8.0,10.0,3.0,46.0,35.0,403.0,63.0,Matches
Gustavo Ferrareis,br BRA,DF,27-362,14.4,848.0,59.0,283.0,406.0,166.0,7.0,848.0,19.0,7.0,36.8,11.0,57.9,432.0,2259.0,1137.0,28.0,18.0,1.0,17.0,14.0,483.0,50.0,Matches
Pablo González Díaz,mx MEX,MF,31-176,14.3,775.0,57.0,233.0,504.0,47.0,0.0,775.0,4.0,3.0,75.0,0.0,0.0,380.0,1828.0,777.0,4.0,5.0,0.0,12.0,5.0,444.0,7.0,Matches
Kevin Velasco,co COL,MF,26-244,13.1,631.0,3.0,76.0,301.0,272.0,32.0,631.0,47.0,24.0,51.1,20.0,42.6,432.0,3649.0,1938.0,71.0,61.0,15.0,36.0,18.0,476.0,95.0,Matches
Sebastián Olmedo,py PAR,DF,22-192,14.0,810.0,144.0,530.0,283.0,10.0,2.0,810.0,15.0,9.0,60.0,5.0,33.3,426.0,2040.0,1097.0,3.0,4.0,1.0,9.0,1.0,467.0,1.0,Matches
Daniel Álvarez López,mx MEX,"MF,FW",29-161,9.4,437.0,9.0,44.0,193.0,206.0,25.0,437.0,32.0,11.0,34.4,17.0,53.1,232.0,1603.0,996.0,37.0,22.0,7.0,18.0,5.0,292.0,64.0,Matches
