Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Diego De Buen,mx MEX,"MF,DF",32-180,17,17,1530.0,17.0,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,1.6,1.6,0.9,2.5,11.0,60.0,10.0,0.29,0.06,0.35,0.29,0.35,0.09,0.05,0.14,0.09,0.14,Matches
Jesús Rodríguez,mx MEX,GK,30-223,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gastón Silva,uy URU,DF,29-300,17,17,1530.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.1,1.5,12.0,60.0,4.0,0.06,0.0,0.06,0.06,0.06,0.08,0.01,0.09,0.08,0.09,Matches
Brayan Angulo,co COL,"DF,MF",34-058,17,17,1513.0,16.8,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,2.0,3.2,67.0,84.0,54.0,0.12,0.36,0.48,0.12,0.48,0.07,0.12,0.19,0.07,0.19,Matches
Guillermo Martínez Ayala,mx MEX,FW,28-290,16,15,1354.0,15.0,10.0,1.0,11.0,8.0,2.0,2.0,6.0,0.0,5.9,4.4,1.5,5.9,8.0,31.0,63.0,0.66,0.07,0.73,0.53,0.6,0.39,0.1,0.5,0.29,0.39,Matches
Gustavo Ferrareis,br BRA,DF,27-362,16,15,1295.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.8,1.2,28.0,53.0,50.0,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.08,0.02,0.08,Matches
Pablo González Díaz,mx MEX,MF,31-176,16,15,1285.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,4.0,62.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Kevin Velasco,co COL,MF,26-244,16,15,1182.0,13.1,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.3,2.3,1.6,3.8,71.0,46.0,95.0,0.15,0.08,0.23,0.15,0.23,0.17,0.12,0.29,0.17,0.29,Matches
Sebastián Olmedo,py PAR,DF,22-192,15,14,1264.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,3.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Daniel Álvarez López,mx MEX,"MF,FW",29-161,14,11,850.0,9.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9,3.8,37.0,36.0,64.0,0.0,0.21,0.21,0.0,0.21,0.1,0.31,0.41,0.1,0.41,Matches
Martín Barragán,mx MEX,FW,32-169,16,9,838.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.3,3.3,0.7,4.0,6.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,0.36,0.07,0.43,0.36,0.43,Matches
Carlos Baltazar,mx MEX,MF,26-309,13,7,549.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,14.0,12.0,38.0,0.16,0.16,0.33,0.16,0.33,0.1,0.09,0.19,0.1,0.19,Matches
Luis García,mx MEX,"DF,MF",30-280,13,4,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.9,22.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.02,0.21,0.23,0.02,0.23,Matches
Ángel Robles,mx MEX,"FW,MF",22-042,6,4,285.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1,0.7,5.0,2.0,19.0,0.0,0.32,0.32,0.0,0.32,0.18,0.03,0.22,0.18,0.22,Matches
Miguel Sansores,mx MEX,"FW,MF",32-246,9,3,315.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.0,1.3,1.0,10.0,22.0,0.29,0.29,0.57,0.29,0.57,0.09,0.28,0.37,0.09,0.37,Matches
Federico Mancuello,ar ARG,MF,34-279,3,3,270.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.9,3.0,22.0,10.0,0.33,0.33,0.67,0.33,0.67,0.06,0.25,0.31,0.06,0.31,Matches
Alberto Herrera,mx MEX,"DF,MF",22-310,3,2,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Efraín Orona,mx MEX,"DF,MF",24-311,7,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Diego Zago,mx MEX,MF,21-250,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Gabriel Carabajal,ar ARG,"MF,FW",32-021,6,0,141.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1,0.7,3.0,9.0,12.0,0.0,0.64,0.64,0.0,0.64,0.39,0.05,0.45,0.39,0.45,Matches
