Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Emanuel Gularte,uy URU,DF,26-091,17,1530.0,90.0,100.0,17.0,17,90.0,17,0,,0,1.12,18.0,29.0,-11.0,-0.65,,21.3,27.7,-6.4,-0.38,,Matches
Federico Lértora,ar ARG,MF,33-178,16,1412.0,88.0,92.3,15.7,16,88.0,14,0,,0,1.19,17.0,26.0,-9.0,-0.57,0.95,18.9,23.8,-4.9,-0.31,0.85,Matches
Pablo Barrera,mx MEX,"MF,FW",36-192,17,1336.0,79.0,87.3,14.8,16,82.0,4,1,29.0,0,1.12,15.0,26.0,-11.0,-0.74,-0.74,18.4,24.5,-6.1,-0.41,-0.28,Matches
Kevin Escamilla,mx MEX,MF,29-312,14,1181.0,84.0,77.2,13.1,14,84.0,9,0,,1,1.07,14.0,22.0,-8.0,-0.61,0.16,17.3,22.6,-5.3,-0.4,-0.12,Matches
Óscar Manzanarez,mx MEX,DF,28-250,14,1042.0,74.0,68.1,11.6,13,80.0,11,1,2.0,1,1.07,10.0,24.0,-14.0,-1.21,-1.76,12.3,20.5,-8.3,-0.71,-1.05,Matches
Omar Israel Mendoza,mx MEX,DF,35-063,13,1023.0,79.0,66.9,11.4,13,79.0,9,0,,0,1.15,13.0,16.0,-3.0,-0.26,1.16,14.4,15.6,-1.3,-0.11,0.79,Matches
Raúl Sandoval,mx MEX,"DF,MF",23-346,16,1082.0,68.0,70.7,12.0,12,79.0,4,4,33.0,0,1.19,11.0,20.0,-9.0,-0.75,-0.35,14.6,19.9,-5.4,-0.45,-0.25,Matches
Guillermo Allison,mx MEX,GK,33-096,12,1080.0,90.0,70.6,12.0,12,90.0,12,0,,4,1.25,14.0,17.0,-3.0,-0.25,1.35,16.8,20.0,-3.2,-0.26,0.39,Matches
Jaime Gómez Valencia,mx MEX,"DF,MF",30-166,13,926.0,71.0,60.5,10.3,10,84.0,7,3,29.0,0,1.0,12.0,15.0,-3.0,-0.29,0.9,12.8,14.4,-1.6,-0.15,0.56,Matches
José Zúñiga,co COL,FW,29-170,12,856.0,71.0,55.9,9.5,9,82.0,4,3,38.0,2,1.0,12.0,16.0,-4.0,-0.42,0.51,12.3,18.8,-6.5,-0.69,-0.7,Matches
Miguel Barbieri,ar ARG,DF,30-128,9,772.0,86.0,50.5,8.6,9,86.0,7,0,,3,1.33,10.0,10.0,0.0,0.0,1.31,14.1,13.7,0.5,0.06,0.87,Matches
Jordan Sierra,ec ECU,"MF,FW",26-251,17,806.0,47.0,52.7,9.0,8,72.0,0,9,26.0,0,1.12,9.0,15.0,-6.0,-0.67,-0.05,12.2,13.5,-1.3,-0.14,0.49,Matches
Camilo Sanvezzo,br BRA,"FW,MF",35-162,13,595.0,46.0,38.9,6.6,8,65.0,0,5,15.0,4,1.0,5.0,11.0,-6.0,-0.91,-0.43,9.1,11.0,-1.9,-0.29,0.14,Matches
Ettson Ayon,mx MEX,"FW,MF",22-279,10,489.0,49.0,32.0,5.4,7,57.0,0,3,29.0,2,0.9,2.0,12.0,-10.0,-1.84,-1.75,5.7,9.4,-3.7,-0.68,-0.45,Matches
Fernando Tapia Méndez,mx MEX,GK,22-196,5,450.0,90.0,29.4,5.0,5,90.0,5,0,,3,0.8,4.0,12.0,-8.0,-1.6,-1.35,4.5,7.7,-3.3,-0.65,-0.39,Matches
Ángel Sepúlveda,mx MEX,FW,32-318,4,321.0,80.0,21.0,3.6,4,80.0,2,0,,0,1.75,4.0,4.0,0.0,0.0,0.82,2.9,2.9,0.1,0.02,0.5,Matches
Jonathan Perlaza,ec ECU,DF,26-108,4,280.0,70.0,18.3,3.1,4,70.0,3,0,,0,1.75,4.0,5.0,-1.0,-0.32,0.4,1.7,3.8,-2.1,-0.67,-0.36,Matches
Marco García,mx MEX,MF,23-347,8,279.0,35.0,18.2,3.1,3,59.0,0,5,20.0,9,1.13,4.0,10.0,-6.0,-1.94,-1.58,3.3,8.6,-5.3,-1.7,-1.62,Matches
Nicolás Cordero,ar ARG,FW,24-263,9,314.0,35.0,20.5,3.5,2,82.0,1,7,22.0,1,1.11,5.0,6.0,-1.0,-0.29,0.45,6.5,7.3,-0.9,-0.25,0.16,Matches
Joaquín Montecinos,cl CHI,"FW,MF",28-023,9,236.0,26.0,15.4,2.6,2,62.0,0,7,16.0,7,0.89,2.0,6.0,-4.0,-1.53,-1.04,2.4,3.3,-0.9,-0.33,0.06,Matches
Pablo Ortiz,mx MEX,DF,21-269,5,217.0,43.0,14.2,2.4,2,90.0,2,3,12.0,11,0.8,3.0,1.0,2.0,0.83,1.72,4.7,3.1,1.6,0.67,1.22,Matches
Rodrigo López,mx MEX,MF,36-086,3,148.0,49.0,9.7,1.6,1,72.0,0,2,38.0,0,1.33,1.0,2.0,-1.0,-0.61,0.04,1.4,2.5,-1.1,-0.67,-0.32,Matches
Mauro Laínez,mx MEX,"MF,FW",27-235,8,199.0,25.0,13.0,2.2,0,,0,8,25.0,4,0.88,3.0,6.0,-3.0,-1.36,-0.82,2.2,3.5,-1.3,-0.59,-0.24,Matches
Alberto García Jr.,mx MEX,"MF,FW",30-095,6,20.0,3.0,1.3,0.2,0,,0,6,3.0,11,1.17,1.0,1.0,0.0,0.0,0.66,1.1,1.1,0.0,0.08,0.46,Matches
Paolo Yrizar,mx MEX,MF,26-146,2,20.0,10.0,1.3,0.2,0,,0,2,10.0,12,0.5,1.0,2.0,-1.0,-4.5,-3.9,0.1,0.7,-0.6,-2.66,-2.31,Matches
Jonathan Torres,ar ARG,MF,27-001,1,6.0,6.0,0.4,0.1,0,,0,1,6.0,1,3.0,1.0,0.0,1.0,15.0,15.71,0.1,0.1,0.0,0.66,1.04,Matches
Marco González,mx MEX,MF,21-173,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.65,0.1,0.0,0.1,3.08,3.47,Matches
Alejandro Arana,mx MEX,GK,,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Yahir Del Aguila,mx MEX,DF,19-237,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Aldahir Perez,mx MEX,MF,19-087,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
José Varela,mx MEX,MF,20-304,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Leonardo Vargas,mx MEX,FW,22-289,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
