Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Emanuel Gularte,uy URU,DF,26-091,17.0,707,121,395,275,44,26,707,7,6,85.7,0,0.0,313,1727,1010,8,5,0,9,4,343,6,Matches
Federico Lértora,ar ARG,MF,33-178,15.7,793,50,220,417,172,32,793,20,9,45.0,10,50.0,368,2050,959,23,20,5,20,9,401,18,Matches
Pablo Barrera,mx MEX,"MF,FW",36-192,14.8,714,4,79,318,328,18,713,52,20,38.5,29,55.8,381,2368,1055,35,20,8,25,18,404,96,Matches
Kevin Escamilla,mx MEX,MF,29-312,13.1,498,21,138,299,66,11,498,4,1,25.0,3,75.0,221,1031,450,10,6,2,13,6,251,8,Matches
Óscar Manzanarez,mx MEX,DF,28-250,11.6,451,61,234,176,44,11,451,3,1,33.3,2,66.7,168,683,278,0,1,0,12,1,202,6,Matches
Omar Israel Mendoza,mx MEX,DF,35-063,11.4,536,41,200,236,107,8,536,6,4,66.7,1,16.7,220,939,403,8,5,1,17,6,228,22,Matches
Raúl Sandoval,mx MEX,"DF,MF",23-346,12.0,505,23,126,182,203,15,505,32,12,37.5,20,62.5,235,1756,834,35,18,7,27,20,241,65,Matches
Guillermo Allison,mx MEX,GK,33-096,12.0,390,338,390,0,0,0,390,0,0,,0,,176,1117,779,0,0,0,3,0,104,0,Matches
Jaime Gómez Valencia,mx MEX,"DF,MF",30-166,10.3,490,22,144,228,127,12,490,16,9,56.3,7,43.8,252,1322,519,9,12,2,8,10,272,33,Matches
José Zúñiga,co COL,FW,29-170,9.5,268,4,11,108,153,53,268,18,7,38.9,10,55.6,137,985,357,13,5,11,34,11,190,49,Matches
Miguel Barbieri,ar ARG,DF,30-128,8.6,427,68,251,163,17,10,427,1,1,100.0,0,0.0,173,804,469,1,1,0,8,1,198,2,Matches
Jordan Sierra,ec ECU,"MF,FW",26-251,9.0,411,10,79,204,134,17,411,13,9,69.2,4,30.8,198,902,363,9,7,1,19,5,217,28,Matches
Camilo Sanvezzo,br BRA,"FW,MF",35-162,6.6,212,7,12,99,104,36,211,15,10,66.7,5,33.3,124,638,306,11,8,3,18,10,133,24,Matches
Ettson Ayon,mx MEX,"FW,MF",22-279,5.4,134,7,13,47,78,18,134,17,10,58.8,5,29.4,95,598,226,8,7,3,18,13,106,24,Matches
Fernando Tapia Méndez,mx MEX,GK,22-196,5.0,151,137,150,1,0,0,151,1,1,100.0,0,0.0,73,426,222,0,0,0,0,0,51,1,Matches
Ángel Sepúlveda,mx MEX,FW,32-318,3.6,157,0,10,77,71,16,157,8,5,62.5,3,37.5,88,371,139,2,3,2,12,5,117,19,Matches
Jonathan Perlaza,ec ECU,DF,26-108,3.1,168,15,56,88,27,1,168,6,4,66.7,2,33.3,72,294,110,1,1,0,4,1,66,6,Matches
Marco García,mx MEX,MF,23-347,3.1,153,0,18,93,48,3,153,3,1,33.3,2,66.7,96,580,237,6,5,0,5,5,98,11,Matches
Nicolás Cordero,ar ARG,FW,24-263,3.5,120,7,18,54,49,17,120,4,1,25.0,3,75.0,51,218,59,1,1,1,7,6,85,16,Matches
Joaquín Montecinos,cl CHI,"FW,MF",28-023,2.6,111,1,7,41,66,12,111,8,3,37.5,4,50.0,65,391,181,9,7,3,6,2,70,20,Matches
Pablo Ortiz,mx MEX,DF,21-269,2.4,147,10,68,64,16,1,147,1,1,100.0,0,0.0,50,263,139,3,1,0,1,1,68,3,Matches
Rodrigo López,mx MEX,MF,36-086,1.6,83,2,16,47,23,1,83,4,3,75.0,1,25.0,56,335,124,1,2,0,2,1,56,6,Matches
Mauro Laínez,mx MEX,"MF,FW",27-235,2.2,93,3,22,37,35,3,93,10,5,50.0,5,50.0,64,548,273,8,8,1,7,1,69,10,Matches
Alberto García Jr.,mx MEX,"MF,FW",30-095,0.2,31,0,9,7,15,5,31,1,1,100.0,0,0.0,16,73,47,2,1,0,3,0,23,3,Matches
Paolo Yrizar,mx MEX,MF,26-146,0.2,11,0,3,5,4,1,11,1,1,100.0,0,0.0,5,46,24,1,1,0,1,0,7,1,Matches
Jonathan Torres,ar ARG,MF,27-001,0.1,7,1,2,1,4,1,7,0,0,,0,,4,14,5,0,0,1,2,0,3,1,Matches
Marco González,mx MEX,MF,21-173,0.0,4,0,3,1,0,0,4,0,0,,0,,1,6,1,0,0,0,0,0,1,0,Matches
Squad Total,,,29.8,17.0,7772,953,2674,3268,1935,328,7770,251,125,49.8,116,46.2,3702,20485,9569,204,145,51,281,136,4004,478,
Opponent Total,,,28.0,17.0,11204,943,3125,5521,2667,349,11199,309,163,52.8,124,40.1,6369,33739,17543,332,274,67,325,168,7477,824,
