Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Emanuel Gularte,uy URU,DF,26-091,17.0,1,13,4,30.8,0.76,0.24,0.08,0.25,12.0,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches
Federico Lértora,ar ARG,MF,33-178,15.7,1,17,4,23.5,1.08,0.25,0.06,0.25,15.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
Pablo Barrera,mx MEX,"MF,FW",36-192,14.8,2,18,6,33.3,1.21,0.4,0.06,0.17,23.5,3,1,1,1.8,1.0,0.06,0.2,0.0,Matches
Kevin Escamilla,mx MEX,MF,29-312,13.1,1,16,5,31.3,1.22,0.38,0.06,0.2,22.2,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches
Óscar Manzanarez,mx MEX,DF,28-250,11.6,0,5,0,0.0,0.43,0.0,0.0,,12.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Omar Israel Mendoza,mx MEX,DF,35-063,11.4,0,4,2,50.0,0.35,0.18,0.0,0.0,13.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Raúl Sandoval,mx MEX,"DF,MF",23-346,12.0,1,11,2,18.2,0.91,0.17,0.09,0.5,19.9,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
Guillermo Allison,mx MEX,GK,33-096,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jaime Gómez Valencia,mx MEX,"DF,MF",30-166,10.3,0,8,2,25.0,0.78,0.19,0.0,0.0,20.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
José Zúñiga,co COL,FW,29-170,9.5,6,22,10,45.5,2.31,1.05,0.27,0.6,10.7,0,0,0,4.3,4.3,0.2,1.7,1.7,Matches
Miguel Barbieri,ar ARG,DF,30-128,8.6,0,6,3,50.0,0.7,0.35,0.0,0.0,13.9,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Matches
Jordan Sierra,ec ECU,"MF,FW",26-251,9.0,0,11,3,27.3,1.23,0.33,0.0,0.0,20.6,1,0,0,1.6,1.6,0.15,-1.6,-1.6,Matches
Camilo Sanvezzo,br BRA,"FW,MF",35-162,6.6,2,24,7,29.2,3.63,1.06,0.08,0.29,20.5,7,0,1,3.3,2.5,0.1,-1.3,-0.5,Matches
Ettson Ayon,mx MEX,"FW,MF",22-279,5.4,0,12,1,8.3,2.21,0.18,0.0,0.0,18.5,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
Fernando Tapia Méndez,mx MEX,GK,22-196,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ángel Sepúlveda,mx MEX,FW,32-318,3.6,3,9,4,44.4,2.52,1.12,0.33,0.75,15.5,0,0,0,0.4,0.4,0.05,2.6,2.6,Matches
Jonathan Perlaza,ec ECU,DF,26-108,3.1,0,1,0,0.0,0.32,0.0,0.0,,32.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Marco García,mx MEX,MF,23-347,3.1,0,6,1,16.7,1.94,0.32,0.0,0.0,26.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Nicolás Cordero,ar ARG,FW,24-263,3.5,1,10,2,20.0,2.87,0.57,0.1,0.5,14.5,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
Joaquín Montecinos,cl CHI,"FW,MF",28-023,2.6,0,15,3,20.0,5.72,1.14,0.0,0.0,22.9,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Pablo Ortiz,mx MEX,DF,21-269,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo López,mx MEX,MF,36-086,1.6,0,2,1,50.0,1.22,0.61,0.0,0.0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Mauro Laínez,mx MEX,"MF,FW",27-235,2.2,0,2,1,50.0,0.9,0.45,0.0,0.0,11.4,0,0,0,0.4,0.4,0.2,-0.4,-0.4,Matches
Alberto García Jr.,mx MEX,"MF,FW",30-095,0.2,0,3,1,33.3,13.5,4.5,0.0,0.0,14.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Paolo Yrizar,mx MEX,MF,26-146,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jonathan Torres,ar ARG,MF,27-001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marco González,mx MEX,MF,21-173,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.8,17.0,18,215,62,28.8,12.65,3.65,0.08,0.27,18.2,12,1,2,21.3,19.7,0.09,-3.3,-2.7,
Opponent Total,,,28.0,17.0,28,254,93,36.6,14.94,5.47,0.09,0.25,19.9,12,5,5,27.7,23.8,0.09,0.3,-0.8,
