Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-07-02,20:05,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,0.0,2.0,Querétaro,0.8,0.5,56.0,12433.0,Juan Brunetta,4-2-3-1,Abraham Quirarte,Match Report,
2023-07-07,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,3.0,2.0,Puebla,3.2,1.5,40.0,11526.0,Juan Brunetta,4-2-3-1,Brian Gonzalez,Match Report,
2023-07-13,20:05,Liga MX,Apertura 2023 Regular Season,Thu,Home,D,0.0,0.0,Atlas,0.5,0.3,46.0,13199.0,Juan Brunetta,4-2-3-1,Diego Montaño,Match Report,
2023-08-20,18:00,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,2.0,2.0,Cruz Azul,2.5,2.3,41.0,11053.0,Juan Brunetta,4-2-3-1,Marco Antonio Ortíz,Match Report,
2023-08-26,22:05,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,2.0,1.0,Guadalajara,1.7,0.9,48.0,16176.0,Juan Brunetta,4-2-3-1,Oscar Mejia,Match Report,
2023-08-30,22:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,2.0,3.0,UANL,1.7,2.3,43.0,39134.0,Juan Brunetta,4-2-3-1,Daniel Quintero,Match Report,
2023-09-02,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,2.0,1.0,UNAM,1.8,0.9,41.0,14908.0,Juan Brunetta,4-1-3-2,Fernando Guerrero,Match Report,
2023-09-18,22:00,Liga MX,Apertura 2023 Regular Season,Mon,Away,L,2.0,3.0,Pachuca,1.7,1.4,51.0,4673.0,Juan Brunetta,4-1-3-2,Fernando Hernández,Match Report,
2023-09-24,21:05,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,2.0,5.0,Necaxa,3.2,1.4,64.0,10038.0,Juan Brunetta,4-2-3-1,Oscar Mejia,Match Report,
2023-10-04,22:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,2.0,1.0,Tijuana,2.1,2.0,56.0,7038.0,Juan Brunetta,4-2-3-1,Ismael Lopez,Match Report,
2023-10-08,20:05,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,0.0,2.0,León,0.3,2.1,26.0,7429.0,Juan Brunetta,4-2-3-1,Marco Antonio Ortíz,Match Report,
2023-10-21,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,3.0,4.0,América,0.9,3.1,40.0,39968.0,Carlos Acevedo,4-5-1,César Arturo Ramos,Match Report,
2023-10-29,19:05,Liga MX,Apertura 2023 Regular Season,Sun,Home,W,5.0,1.0,FC Juárez,1.9,0.9,38.0,9037.0,Carlos Acevedo,4-4-2,Diego Montaño,Match Report,
2023-11-01,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,1.0,3.0,Mazatlán,1.4,1.9,45.0,12269.0,Carlos Acevedo,4-2-3-1,Fernando Hernández,Match Report,
2023-11-05,18:10,Liga MX,Apertura 2023 Regular Season,Sun,Home,W,3.0,1.0,Toluca,2.3,1.7,32.0,12367.0,Carlos Acevedo,4-2-3-1,Víctor Cáceres,Match Report,
2023-11-08,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Away,L,0.0,3.0,Monterrey,0.1,2.0,48.0,36678.0,Carlos Acevedo,4-3-3,Fernando Guerrero,Match Report,
2023-11-11,17:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,2.0,0.0,Atlético,1.0,1.3,33.0,14479.0,Carlos Acevedo,4-2-3-1,Marco Antonio Ortíz,Match Report,
2023-11-23,21:10,Liga MX,Apertura — 9/10 match,Thu,Home,W,2.0,1.0,Mazatlán,2.0,1.0,37.0,10101.0,Carlos Acevedo,4-2-3-1,Fernando Guerrero,Match Report,
2023-11-26,20:06,Liga MX,Apertura — 8-seed match,Sun,Away,L,2.0,3.0,León,1.9,1.6,59.0,,Carlos Acevedo,4-2-3-1,César Arturo Ramos,Match Report,
2024-01-13,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Guadalajara,,,,,,,,Head-to-Head,
2024-01-21,20:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Monterrey,,,,,,,,Head-to-Head,
2024-01-27,15:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,León,,,,,,,,Head-to-Head,
2024-01-31,20:00,Liga MX,Clausura 2024 Regular Season,Wed,Home,,,,Puebla,,,,,,,,Head-to-Head,
2024-02-04,17:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,Atlas,,,,,,,,Head-to-Head,
2024-02-10,20:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,UANL,,,,,,,,Head-to-Head,
2024-02-18,18:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,UNAM,,,,,,,,Head-to-Head,
2024-02-21,19:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,,,,Toluca,,,,,,,,Head-to-Head,
2024-02-25,19:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Mazatlán,,,,,,,,Head-to-Head,
2024-03-01,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Querétaro,,,,,,,,Head-to-Head,
2024-03-09,18:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,Cruz Azul,,,,,,,,Head-to-Head,
2024-03-15,20:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Tijuana,,,,,,,,Head-to-Head,
2024-03-31,21:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,FC Juárez,,,,,,,,Head-to-Head,
2024-04-06,20:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,América,,,,,,,,Head-to-Head,
2024-04-12,22:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Necaxa,,,,,,,,Head-to-Head,
2024-04-21,19:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Pachuca,,,,,,,,Head-to-Head,
2024-04-28,19:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Atlético,,,,,,,,Head-to-Head,
