Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Omar Campos,mx MEX,DF,21-163,16.7,4,0,0,12,17,1,25,18,30,0,0,0,81,21,18,53.8,Matches
Harold Preciado,co COL,FW,29-212,15.7,4,0,0,21,30,6,2,1,3,2,0,0,36,45,43,51.1,Matches
Alan Cervantes,mx MEX,MF,25-347,15.4,2,0,0,12,18,0,7,10,13,0,0,0,102,25,26,49.0,Matches
Emerson Rodríguez,co COL,"FW,MF",23-127,13.6,2,0,0,22,13,7,20,3,15,0,0,0,69,6,15,28.6,Matches
Juan Brunetta,ar ARG,"MF,FW",26-232,15.7,5,0,0,10,25,2,123,4,14,0,0,0,87,7,15,31.8,Matches
Félix Torres Caicedo,ec ECU,DF,26-353,15.1,1,1,0,14,5,1,1,39,12,0,1,0,99,63,24,72.4,Matches
Duván Vergara,co COL,"FW,MF",27-112,11.0,3,0,0,17,18,0,22,9,8,0,0,0,72,3,12,20.0,Matches
Pedro Aquino,pe PER,MF,28-261,9.8,6,1,0,29,13,0,0,13,23,0,0,0,90,26,18,59.1,Matches
Gibran Lajud,mx MEX,GK,30-005,9.0,1,0,0,1,0,0,0,0,1,0,1,0,11,3,0,100.0,Matches
Dória,br BRA,DF,29-052,9.0,2,0,0,8,2,1,1,16,7,0,1,0,46,26,22,54.2,Matches
Ismael Govea,mx MEX,DF,26-313,7.8,1,0,0,7,13,1,12,5,14,0,0,0,42,18,7,72.0,Matches
Aldo López,mx MEX,MF,23-221,9.3,2,0,0,7,9,0,1,17,9,0,0,0,61,5,7,41.7,Matches
Raúl López Gómez,mx MEX,DF,30-310,9.1,1,0,0,4,0,0,20,6,13,0,0,0,43,4,8,33.3,Matches
Carlos Acevedo,mx MEX,GK,27-255,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,75.0,Matches
Hugo Isaác Rodríguez,mx MEX,DF,33-205,5.2,2,0,0,8,1,0,0,6,8,0,0,0,26,4,6,40.0,Matches
Ronaldo Prieto,mx MEX,DF,26-302,4.9,2,0,0,10,2,0,1,12,5,0,1,0,23,14,8,63.6,Matches
Diego Medina,mx MEX,"FW,MF",22-293,5.9,3,0,0,10,8,1,26,4,4,0,0,0,35,3,13,18.8,Matches
Héctor Holguín,mx MEX,GK,22-250,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Javier Marcelo Correa,ar ARG,"FW,DF",31-068,1.8,0,2,0,6,1,1,0,0,2,0,0,0,13,2,4,33.3,Matches
Santiago Muñóz,mx MEX,"MF,FW",21-138,1.4,1,0,0,2,5,1,0,1,1,0,0,0,7,2,2,50.0,Matches
Jair González,mx MEX,"FW,MF",21-301,1.0,0,0,0,2,1,0,2,0,1,0,0,0,7,0,0,,Matches
Salvador Mariscal,mx MEX,MF,20-252,0.3,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
Emmanuel Echeverría,mx MEX,DF,20-087,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Alberto Ocejo,mx MEX,"FW,DF",25-197,0.2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,50.0,Matches
Squad Total,,,26.7,17.0,44,4,0,203,182,23,263,164,184,2,4,0,955,281,251,52.8,
Opponent Total,,,27.9,17.0,37,1,1,190,185,22,341,135,229,2,3,1,947,251,281,47.2,
