Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Diego Barbosa,mx MEX,DF,27-096,16.5,36,2.18,29,2,2,1,2,0,5,0.3,4,1,0,0,0,0,Matches
Kevin Balanta,co COL,DF,26-246,15.7,8,0.51,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Christian Rivera,co COL,MF,27-350,15.3,33,2.15,24,1,2,1,1,4,3,0.2,3,0,0,0,0,0,Matches
Carlos González Espínola,py PAR,FW,30-329,15.1,29,1.92,25,0,1,1,2,0,2,0.13,1,0,0,1,0,0,Matches
Nicolás Díaz Huincales,cl CHI,DF,24-224,14.9,16,1.07,12,1,0,1,1,1,1,0.07,0,1,0,0,0,0,Matches
Fernando Madrigal,mx MEX,MF,32-048,12.1,32,2.64,20,1,2,6,3,0,3,0.25,1,0,1,1,0,0,Matches
José Antonio Rodríguez,mx MEX,GK,31-179,14.0,4,0.29,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Rodríguez,ar ARG,"MF,FW",26-247,11.8,33,2.8,23,2,2,2,3,1,5,0.42,4,0,0,0,1,0,Matches
Alejandro Martínez,ar ARG,"MF,FW",26-258,10.7,39,3.65,19,12,5,1,1,1,1,0.09,0,0,0,0,0,1,Matches
Francisco Contreras,mx MEX,DF,24-198,9.7,19,1.96,13,4,1,1,0,0,2,0.21,0,1,0,1,0,0,Matches
Kevin Castañeda,mx MEX,"MF,FW",24-063,8.0,41,5.12,27,8,1,3,2,0,3,0.37,3,0,0,0,0,0,Matches
Domingo Blanco,ar ARG,"MF,FW",28-252,7.8,34,4.37,16,8,3,0,6,1,2,0.26,2,0,0,0,0,0,Matches
Eduardo Armenta,mx MEX,"MF,FW",22-014,4.9,13,2.65,12,0,0,1,0,0,2,0.41,2,0,0,0,0,0,Matches
Rafael Fernández,mx MEX,DF,23-147,4.5,7,1.56,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Jesús Vega,mx MEX,DF,23-287,4.2,7,1.68,4,2,0,0,0,1,1,0.24,1,0,0,0,0,0,Matches
José Corona,mx MEX,GK,42-338,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexis Canelo,ar ARG,FW,31-330,2.7,10,3.7,6,1,1,2,0,0,2,0.74,1,0,0,1,0,0,Matches
Rodrigo Godínez,mx MEX,DF,31-100,2.4,3,1.25,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Cavallini,ca CAN,"FW,MF",31-002,4.2,9,2.15,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Aaron Mejía Montoya,mx MEX,DF,22-207,2.0,5,2.45,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Iván Tona,mx MEX,MF,23-273,2.5,7,2.84,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Vázquez,mx MEX,FW,20-209,0.8,3,3.91,1,0,0,1,0,1,1,1.3,0,0,0,1,0,0,Matches
Efrain Alvarez,mx MEX,MF,21-194,1.4,1,0.7,0,1,0,0,0,0,1,0.7,0,1,0,0,0,0,Matches
Braian Romero,ar ARG,"FW,MF",32-198,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Parra,mx MEX,DF,20-122,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Abraham Flores,mx MEX,DF,21-169,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Galicia,mx MEX,MF,19-319,0.2,1,5.63,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,17.0,392,23.06,268,46,21,23,24,10,34,2.0,22,4,1,5,1,1,
Opponent Total,,,28.2,17.0,394,23.18,272,39,37,27,13,6,42,2.47,28,2,8,3,1,0,
