Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Diego Barbosa,mx MEX,DF,27-096,17,1488.0,88.0,97.3,16.5,17,88.0,14,0,,0,1.18,22.0,26.0,-4.0,-0.24,-2.38,16.5,23.4,-6.9,-0.41,-2.41,Matches
Kevin Balanta,co COL,DF,26-246,16,1410.0,88.0,92.2,15.7,16,88.0,15,0,,0,1.25,21.0,20.0,1.0,0.06,3.06,15.4,21.7,-6.2,-0.4,-0.63,Matches
Christian Rivera,co COL,MF,27-350,16,1379.0,86.0,90.1,15.3,16,86.0,14,0,,0,1.25,22.0,22.0,0.0,0.0,1.79,17.6,20.9,-3.3,-0.22,1.35,Matches
Carlos González Espínola,py PAR,FW,30-329,16,1360.0,85.0,88.9,15.1,16,85.0,12,0,,0,1.25,21.0,22.0,-1.0,-0.07,0.99,16.0,21.1,-5.1,-0.34,0.09,Matches
Nicolás Díaz Huincales,cl CHI,DF,24-224,16,1340.0,84.0,87.6,14.9,16,84.0,14,0,,0,1.25,21.0,21.0,0.0,0.0,1.42,15.7,21.5,-5.8,-0.39,-0.32,Matches
Fernando Madrigal,mx MEX,MF,32-048,16,1092.0,68.0,71.4,12.1,15,70.0,3,1,45.0,1,1.19,16.0,15.0,1.0,0.08,0.9,14.4,16.4,-1.9,-0.16,0.66,Matches
José Antonio Rodríguez,mx MEX,GK,31-179,14,1260.0,90.0,82.4,14.0,14,90.0,14,0,,0,1.14,18.0,21.0,-3.0,-0.21,-0.21,15.2,19.6,-4.4,-0.31,0.21,Matches
Lucas Rodríguez,ar ARG,"MF,FW",26-247,15,1060.0,71.0,69.3,11.8,13,77.0,4,2,28.0,1,1.13,19.0,15.0,4.0,0.34,1.68,13.6,17.6,-4.0,-0.34,0.03,Matches
Alejandro Martínez,ar ARG,"MF,FW",26-258,15,962.0,64.0,62.9,10.7,13,68.0,2,2,37.0,0,1.13,16.0,16.0,0.0,0.0,0.48,11.8,12.7,-0.9,-0.08,0.71,Matches
Francisco Contreras,mx MEX,DF,24-198,12,871.0,73.0,56.9,9.7,10,81.0,2,2,32.0,0,1.33,16.0,11.0,5.0,0.52,1.61,9.8,11.1,-1.3,-0.14,0.49,Matches
Kevin Castañeda,mx MEX,"MF,FW",24-063,15,721.0,48.0,47.1,8.0,8,71.0,2,7,22.0,2,0.93,12.0,10.0,2.0,0.25,0.81,9.2,10.0,-0.8,-0.1,0.47,Matches
