Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Tiago Volpi,br BRA,GK,33-011,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,2,Matches
Andrés Mosquera Guardia,co COL,DF,33-313,15.6,22,14,13,8,1,10,17,58.8,7,13,9,4,15,37,63,0,Matches
Valber Huerta,cl CHI,DF,30-126,15.3,24,14,13,9,2,12,20,60.0,8,12,8,4,15,39,55,1,Matches
Maximiliano Araújo,uy URU,"DF,FW",23-318,13.9,21,13,13,7,1,13,26,50.0,13,29,4,25,10,31,13,0,Matches
Marcel Ruiz,mx MEX,MF,23-065,13.2,33,21,13,18,2,16,32,50.0,16,13,5,8,10,43,18,0,Matches
Brian García,mx MEX,DF,26-060,14.2,25,14,16,6,3,16,32,50.0,16,26,4,22,22,47,29,0,Matches
Juan Domínguez,mx MEX,"FW,MF",25-061,10.9,11,9,0,9,2,3,12,25.0,9,6,2,4,4,15,3,0,Matches
Claudio Baeza,cl CHI,MF,30-007,10.7,29,20,16,12,1,11,30,36.7,19,7,2,5,6,35,13,0,Matches
Jean Meneses,cl CHI,"FW,MF",30-289,10.5,16,11,5,8,3,4,11,36.4,7,10,0,10,6,22,1,1,Matches
Edgar López,mx MEX,"FW,MF",24-253,9.7,7,4,0,5,2,1,3,33.3,2,6,0,6,3,10,4,0,Matches
Robert Morales,py PAR,FW,24-288,8.4,6,4,2,3,1,1,11,9.1,10,7,0,7,2,8,2,0,Matches
Jesús Angulo,mx MEX,"MF,FW",26-313,8.3,13,6,4,7,2,5,9,55.6,4,4,0,4,2,15,1,1,Matches
Jesús Venegas,mx MEX,MF,28-275,6.7,15,10,8,7,0,5,17,29.4,12,9,3,6,13,28,16,0,Matches
Pedro Raul,br BRA,"FW,MF",27-055,5.9,1,1,0,0,1,1,6,16.7,5,5,2,3,0,1,6,0,Matches
Mauricio Isais,mx MEX,"DF,MF",22-265,5.5,7,7,4,3,0,4,10,40.0,6,11,3,8,5,12,18,0,Matches
Tomás Belmonte,ar ARG,MF,25-217,5.5,19,14,12,5,2,11,20,55.0,9,10,2,8,10,29,11,0,Matches
Carlos Orrantía,mx MEX,"DF,MF",32-332,2.9,7,5,4,2,1,4,8,50.0,4,2,0,2,5,12,8,0,Matches
Abraham Villegas,,DF,21-013,2.8,16,10,12,4,0,7,13,53.8,6,5,2,3,1,17,5,0,Matches
Juan Gamboa,mx MEX,"MF,FW",22-318,1.7,4,1,1,2,1,4,5,80.0,1,2,0,2,0,4,1,0,Matches
Jesús Piñuelas,mx MEX,DF,25-278,1.7,3,1,2,0,1,1,2,50.0,1,2,0,2,1,4,7,0,Matches
Adrián Mora,mx MEX,DF,26-137,1.7,0,0,0,0,0,0,1,0.0,1,2,2,0,3,3,7,0,Matches
Everardo Del Villar,mx MEX,DF,18-282,1.2,5,3,2,3,0,2,3,66.7,1,2,0,2,3,8,3,0,Matches
Fernando Navarro Morán,mx MEX,MF,34-256,1.0,4,3,0,3,1,2,4,50.0,2,3,1,2,1,5,2,0,Matches
Isaías Violante,mx MEX,"MF,FW",20-071,1.1,1,1,0,0,1,0,1,0.0,1,1,1,0,0,1,1,0,Matches
Sait Tlaxcalteco,mx MEX,"MF,FW",20-356,0.2,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
Víctor Arteaga,mx MEX,MF,19-307,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,27.7,17.0,291,188,141,122,28,133,293,45.4,160,187,50,137,137,428,300,5,
Opponent Total,,,27.8,17.0,303,195,155,115,33,134,289,46.4,155,181,61,120,159,462,275,7,
