Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Tiago Volpi,br BRA,GK,33-011,17.0,447,585,76.4,12498,8884,71,71,100.0,226,229,98.7,150,284,52.8,0,0.0,0.1,0.0,0,12,2,0,1,Matches
Andrés Mosquera Guardia,co COL,DF,33-313,15.6,959,1057,90.7,18366,7426,311,332,93.7,545,576,94.6,89,127,70.1,1,0.7,0.6,0.3,6,47,7,0,62,Matches
Valber Huerta,cl CHI,DF,30-126,15.3,1024,1149,89.1,21282,8752,285,308,92.5,584,621,94.0,145,199,72.9,1,0.3,0.3,0.7,3,102,7,1,103,Matches
Maximiliano Araújo,uy URU,"DF,FW",23-318,13.9,522,637,81.9,8172,2408,281,318,88.4,207,252,82.1,25,42,59.5,1,2.5,2.7,-1.5,18,24,23,2,62,Matches
Marcel Ruiz,mx MEX,MF,23-065,13.2,648,748,86.6,11150,2668,296,332,89.2,282,303,93.1,54,73,74.0,4,2.2,1.3,1.8,12,76,11,1,80,Matches
Brian García,mx MEX,DF,26-060,14.2,817,983,83.1,14921,4128,374,413,90.6,354,424,83.5,84,126,66.7,0,0.9,1.8,-0.9,13,40,22,6,55,Matches
Juan Domínguez,mx MEX,"FW,MF",25-061,10.9,370,455,81.3,5441,1359,216,241,89.6,126,154,81.8,17,31,54.8,2,1.9,1.7,0.1,19,15,15,2,39,Matches
Claudio Baeza,cl CHI,MF,30-007,10.7,667,731,91.2,12070,3782,276,288,95.8,310,333,93.1,68,82,82.9,0,0.2,0.3,-0.2,8,57,3,0,66,Matches
Jean Meneses,cl CHI,"FW,MF",30-289,10.5,426,566,75.3,7130,2189,205,241,85.1,187,238,78.6,27,56,48.2,3,2.4,3.8,0.6,23,31,31,4,78,Matches
Edgar López,mx MEX,"FW,MF",24-253,9.7,202,254,79.5,2708,478,131,152,86.2,60,74,81.1,5,6,83.3,0,2.7,2.4,-2.7,15,12,6,1,18,Matches
Robert Morales,py PAR,FW,24-288,8.4,126,172,73.3,1650,311,89,105,84.8,27,36,75.0,6,10,60.0,1,1.2,0.7,-0.2,8,12,4,1,16,Matches
Jesús Angulo,mx MEX,"MF,FW",26-313,8.3,437,505,86.5,7207,2043,226,248,91.1,148,159,93.1,45,67,67.2,2,1.6,2.6,0.4,25,64,15,1,68,Matches
Jesús Venegas,mx MEX,MF,28-275,6.7,349,403,86.6,6091,1750,147,161,91.3,178,194,91.8,22,41,53.7,0,0.0,0.1,0.0,0,21,0,0,20,Matches
Pedro Raul,br BRA,"FW,MF",27-055,5.9,85,128,66.4,1130,261,56,71,78.9,23,41,56.1,2,3,66.7,0,0.6,0.5,-0.6,6,8,4,1,11,Matches
Mauricio Isais,mx MEX,"DF,MF",22-265,5.5,252,331,76.1,4393,1313,110,121,90.9,122,154,79.2,17,38,44.7,0,0.1,0.2,-0.1,1,26,4,1,24,Matches
Tomás Belmonte,ar ARG,MF,25-217,5.5,304,351,86.6,4757,1156,149,159,93.7,128,142,90.1,14,27,51.9,1,0.2,0.2,0.8,3,16,3,0,28,Matches
Carlos Orrantía,mx MEX,"DF,MF",32-332,2.9,137,170,80.6,2477,948,62,67,92.5,61,73,83.6,13,25,52.0,0,0.3,0.3,-0.3,3,15,4,4,10,Matches
Abraham Villegas,,DF,21-013,2.8,128,151,84.8,1950,481,68,73,93.2,55,64,85.9,3,6,50.0,0,0.0,0.1,0.0,1,9,1,0,10,Matches
Juan Gamboa,mx MEX,"MF,FW",22-318,1.7,35,50,70.0,464,75,16,18,88.9,14,20,70.0,0,2,0.0,0,0.0,0.3,0.0,0,4,3,0,5,Matches
Jesús Piñuelas,mx MEX,DF,25-278,1.7,94,105,89.5,1621,493,36,39,92.3,54,55,98.2,3,10,30.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Adrián Mora,mx MEX,DF,26-137,1.7,75,86,87.2,1431,596,27,31,87.1,39,40,97.5,8,14,57.1,0,0.0,0.0,0.0,1,1,0,0,0,Matches
Everardo Del Villar,mx MEX,DF,18-282,1.2,56,74,75.7,948,357,30,34,88.2,21,28,75.0,4,9,44.4,0,0.0,0.0,0.0,0,6,1,0,6,Matches
Fernando Navarro Morán,mx MEX,MF,34-256,1.0,76,88,86.4,1263,257,35,38,92.1,34,38,89.5,5,8,62.5,0,0.0,0.1,0.0,0,5,1,0,7,Matches
Isaías Violante,mx MEX,"MF,FW",20-071,1.1,42,54,77.8,642,145,25,30,83.3,12,13,92.3,5,8,62.5,0,0.0,0.1,0.0,0,3,2,0,4,Matches
Sait Tlaxcalteco,mx MEX,"MF,FW",20-356,0.2,8,12,66.7,138,30,4,4,100.0,3,3,100.0,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Víctor Arteaga,mx MEX,MF,19-307,0.0,1,1,100.0,12,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,1,0,1,Matches
Squad Total,,,27.7,17.0,8287,9846,84.2,149912,52299,3527,3896,90.5,3800,4264,89.1,812,1298,62.6,16,17.9,20.5,-1.9,166,607,170,25,777,
Opponent Total,,,27.8,17.0,5646,7249,77.9,106948,42510,2340,2682,87.2,2422,2862,84.6,757,1318,57.4,13,16.1,14.3,-3.1,170,511,125,29,600,
