Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Tiago Volpi,br BRA,GK,33-011,17.0,4,0,0,,0.0,0.0,,,,0,4,4,3.2,0.0,,0.8,0.0,Matches
Andrés Mosquera Guardia,co COL,DF,33-313,15.6,0,7,2,28.6,0.45,0.13,0.0,0.0,10.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Valber Huerta,cl CHI,DF,30-126,15.3,0,13,2,15.4,0.85,0.13,0.0,0.0,22.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Maximiliano Araújo,uy URU,"DF,FW",23-318,13.9,2,22,10,45.5,1.59,0.72,0.09,0.2,14.6,0,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches
Marcel Ruiz,mx MEX,MF,23-065,13.2,1,23,9,39.1,1.74,0.68,0.04,0.11,15.9,0,0,0,2.3,2.3,0.1,-1.3,-1.3,Matches
Brian García,mx MEX,DF,26-060,14.2,0,18,7,38.9,1.27,0.49,0.0,0.0,18.5,4,0,0,2.0,2.0,0.11,-2.0,-2.0,Matches
Juan Domínguez,mx MEX,"FW,MF",25-061,10.9,4,24,11,45.8,2.19,1.01,0.17,0.36,17.2,0,0,0,3.4,3.4,0.14,0.6,0.6,Matches
Claudio Baeza,cl CHI,MF,30-007,10.7,0,2,0,0.0,0.19,0.0,0.0,,24.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Jean Meneses,cl CHI,"FW,MF",30-289,10.5,0,15,2,13.3,1.43,0.19,0.0,0.0,22.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Edgar López,mx MEX,"FW,MF",24-253,9.7,3,16,5,31.3,1.65,0.52,0.19,0.6,13.2,0,0,0,2.6,2.6,0.16,0.4,0.4,Matches
Robert Morales,py PAR,FW,24-288,8.4,3,20,10,50.0,2.38,1.19,0.15,0.3,13.8,1,0,0,2.7,2.7,0.14,0.3,0.3,Matches
Jesús Angulo,mx MEX,"MF,FW",26-313,8.3,2,16,6,37.5,1.94,0.73,0.13,0.33,22.2,0,0,0,1.0,1.0,0.06,1.0,1.0,Matches
Jesús Venegas,mx MEX,MF,28-275,6.7,0,1,0,0.0,0.15,0.0,0.0,,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pedro Raul,br BRA,"FW,MF",27-055,5.9,2,20,6,30.0,3.38,1.01,0.1,0.33,13.6,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches
Mauricio Isais,mx MEX,"DF,MF",22-265,5.5,0,2,1,50.0,0.36,0.18,0.0,0.0,19.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Tomás Belmonte,ar ARG,MF,25-217,5.5,1,8,1,12.5,1.47,0.18,0.13,1.0,12.4,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
Carlos Orrantía,mx MEX,"DF,MF",32-332,2.9,0,3,1,33.3,1.02,0.34,0.0,0.0,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Abraham Villegas,,DF,21-013,2.8,1,3,1,33.3,1.08,0.36,0.33,1.0,16.7,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Juan Gamboa,mx MEX,"MF,FW",22-318,1.7,0,3,0,0.0,1.76,0.0,0.0,,10.8,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
Jesús Piñuelas,mx MEX,DF,25-278,1.7,0,1,0,0.0,0.59,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Adrián Mora,mx MEX,DF,26-137,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Everardo Del Villar,mx MEX,DF,18-282,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernando Navarro Morán,mx MEX,MF,34-256,1.0,0,1,0,0.0,0.97,0.0,0.0,,6.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Isaías Violante,mx MEX,"MF,FW",20-071,1.1,0,2,2,100.0,1.82,1.82,0.0,0.0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Sait Tlaxcalteco,mx MEX,"MF,FW",20-356,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Víctor Arteaga,mx MEX,MF,19-307,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.7,17.0,23,220,76,34.5,12.94,4.47,0.09,0.25,16.9,8,4,4,26.2,23.1,0.11,-3.2,-4.1,
Opponent Total,,,27.8,17.0,19,229,84,36.7,13.47,4.94,0.08,0.21,18.4,6,1,1,22.3,21.6,0.1,-3.3,-3.6,
