Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nahuel Guzmán,ar ARG,GK,37-323,16.0,550,694,79.3,14721,10115,89,91,97.8,283,294,96.3,177,305,58.0,0,0.0,0.0,0.0,0,12,0,0,0,Matches
Javier Aquino,mx MEX,DF,33-322,15.3,869,1081,80.4,14178,5671,426,471,90.4,344,424,81.1,70,134,52.2,0,1.6,1.3,-1.6,17,90,21,9,119,Matches
Jesús Alberto Angulo,mx MEX,DF,25-334,14.6,636,791,80.4,12445,4623,235,254,92.5,315,371,84.9,79,139,56.8,0,0.7,1.0,-0.7,13,78,13,6,68,Matches
Luis Enrique Quiñones,co COL,"FW,MF",32-187,14.6,504,692,72.8,7198,2419,302,362,83.4,154,212,72.6,25,67,37.3,4,2.8,3.1,1.2,26,38,40,12,90,Matches
Rafael Carioca,br BRA,MF,34-195,14.9,878,970,90.5,16952,4980,300,312,96.2,476,509,93.5,92,118,78.0,3,1.2,0.8,1.8,15,96,13,3,115,Matches
Guido Pizarro,ar ARG,DF,33-307,14.6,876,1011,86.6,16427,6083,320,351,91.2,451,493,91.5,93,144,64.6,0,0.4,0.3,-0.4,5,75,3,0,77,Matches
Fernando Gorriarán,uy URU,"MF,FW",29-033,12.9,591,737,80.2,9816,2394,294,323,91.0,221,272,81.3,53,98,54.1,3,2.9,2.8,0.1,30,50,15,5,71,Matches
André-Pierre Gignac,fr FRA,FW,38-025,11.2,180,241,74.7,3195,583,78,96,81.3,68,88,77.3,23,33,69.7,4,1.5,1.3,2.5,10,19,9,3,24,Matches
Francisco Sebastián Córdova,mx MEX,"MF,FW",26-201,8.7,214,286,74.8,3202,929,115,132,87.1,65,84,77.4,17,35,48.6,2,1.5,0.9,0.5,11,30,10,5,30,Matches
Samir Santos,br BRA,DF,29-025,11.6,562,627,89.6,11390,3427,159,167,95.2,340,353,96.3,58,91,63.7,0,0.0,0.1,0.0,0,25,2,0,36,Matches
Diego Reyes,mx MEX,DF,31-102,9.5,418,473,88.4,8216,3067,114,128,89.1,263,285,92.3,39,52,75.0,0,0.1,0.1,-0.1,2,27,0,0,29,Matches
Diego Lainez,mx MEX,FW,23-204,8.0,211,281,75.1,3030,699,120,136,88.2,64,82,78.0,11,20,55.0,2,1.1,0.9,0.9,12,19,7,5,25,Matches
Juan Pablo Vigón,mx MEX,MF,32-163,8.4,362,420,86.2,5615,1609,187,207,90.3,142,160,88.8,19,29,65.5,0,0.9,0.6,-0.9,9,46,6,1,57,Matches
Nicolás Ibáñez,ar ARG,FW,29-129,7.0,89,123,72.4,1276,198,52,61,85.2,32,45,71.1,2,7,28.6,1,1.0,0.5,0.0,7,5,1,1,10,Matches
Raymundo Fulgencio,mx MEX,FW,23-321,5.4,145,189,76.7,2872,688,53,64,82.8,65,77,84.4,23,39,59.0,1,0.4,0.6,0.6,8,22,6,4,18,Matches
Ozziel Herrera,mx MEX,"MF,FW",22-221,3.2,94,121,77.7,1471,362,45,52,86.5,37,44,84.1,8,12,66.7,1,0.2,0.2,0.8,3,10,2,2,9,Matches
Sebastián Fierro,mx MEX,MF,22-135,1.9,108,119,90.8,1971,438,42,47,89.4,56,60,93.3,10,10,100.0,0,0.0,0.0,0.0,1,5,0,0,12,Matches
Marcelo Flores,mx MEX,"FW,MF",20-090,2.0,63,82,76.8,964,133,38,43,88.4,13,20,65.0,7,11,63.6,0,0.1,0.1,-0.1,1,8,1,0,5,Matches
Fernando Ordóñez,mx MEX,DF,22-211,1.7,83,98,84.7,1472,505,35,37,94.6,41,49,83.7,7,10,70.0,0,0.1,0.1,-0.1,1,5,3,1,8,Matches
Jesús Garza,mx MEX,"DF,MF",23-207,1.5,68,77,88.3,1113,504,32,36,88.9,31,33,93.9,3,6,50.0,0,0.0,0.0,0.0,1,3,0,0,5,Matches
Carlos Felipe Rodríguez,mx MEX,GK,34-271,1.0,26,32,81.3,813,582,2,2,100.0,14,14,100.0,10,16,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Vladimir Loroña,mx MEX,DF,25-044,1.1,60,70,85.7,943,371,33,38,86.8,24,29,82.8,3,3,100.0,0,0.1,0.1,-0.1,2,7,1,1,6,Matches
Nicolás López,uy URU,FW,30-090,0.8,28,41,68.3,516,127,15,17,88.2,11,15,73.3,2,6,33.3,0,0.2,0.4,-0.2,2,2,5,1,6,Matches
Fernando González,mx MEX,"FW,MF",22-248,0.4,26,28,92.9,434,111,16,16,100.0,5,6,83.3,4,5,80.0,0,0.1,0.1,-0.1,1,3,0,0,5,Matches
Eugenio Pizzuto,mx MEX,MF,21-231,0.3,23,26,88.5,478,110,7,8,87.5,15,15,100.0,1,3,33.3,0,0.0,0.1,0.0,0,4,1,1,2,Matches
Leonel Prieto,mx MEX,MF,22-138,0.2,8,10,80.0,125,25,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,31.0,17.0,7672,9320,82.3,140833,50753,3113,3455,90.1,3534,4038,87.5,836,1393,60.0,21,16.7,15.6,4.3,177,680,159,60,827,
Opponent Total,,,27.8,17.0,5807,7353,79.0,108002,42844,2394,2759,86.8,2639,3046,86.6,656,1237,53.0,13,14.2,13.2,-1.2,171,506,120,29,570,
