Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-06-30,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,3.0,2.0,Tijuana,2.7,1.2,44.0,26158.0,Adrián Aldrete,4-4-2,Daniel Quintero,Match Report,
2023-07-09,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,D,0.0,0.0,Mazatlán,1.1,0.8,55.0,20844.0,Adrián Aldrete,4-4-2,Óscar Macias,Match Report,
2023-07-16,21:15,Liga MX,Apertura 2023 Regular Season,Sun,Away,D,1.0,1.0,Pachuca,0.7,1.1,47.0,9396.0,Adrián Aldrete,4-2-3-1,Oscar Mejia,Match Report,
2023-08-18,22:00,Liga MX,Apertura 2023 Regular Season,Fri,Home,D,1.0,1.0,Toluca,3.8,0.9,44.0,16970.0,Adrián Aldrete,4-1-4-1,Luis Enrique Santander,Match Report,
2023-08-22,21:06,Liga MX,Apertura 2023 Regular Season,Tue,Away,L,1.0,4.0,FC Juárez,1.7,1.9,63.0,10430.0,Adrián Aldrete,4-1-4-1,Iván López,Match Report,
2023-08-27,19:05,Liga MX,Apertura 2023 Regular Season,Sun,Home,W,2.0,1.0,UANL,1.8,0.4,38.0,17580.0,Juan Ignacio Dinenno,4-4-2,Fernando Hernández,Match Report,
2023-09-02,20:00,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,1.0,2.0,Santos,0.9,1.8,59.0,14908.0,Juan Ignacio Dinenno,4-4-2,Fernando Guerrero,Match Report,
2023-09-17,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,W,3.0,2.0,Atlético,2.1,0.5,57.0,14186.0,Adrián Aldrete,4-4-2,César Arturo Ramos,Match Report,
2023-09-22,22:10,Liga MX,Apertura 2023 Regular Season,Fri,Away,W,2.0,0.0,Puebla,2.0,0.7,42.0,20696.0,Adrián Aldrete,4-2-3-1,Guillermo Pacheco,Match Report,
2023-09-30,19:40,Liga MX,Apertura 2023 Regular Season,Sat,Away,L,0.0,1.0,América,0.6,1.9,51.0,62707.0,Eduardo Salvio,4-2-3-1,Víctor Cáceres,Match Report,
2023-10-04,20:00,Liga MX,Apertura 2023 Regular Season,Wed,Home,W,4.0,0.0,Querétaro,1.9,0.2,68.0,8074.0,Adrián Aldrete,4-2-3-1,Luis Enrique Santander,Match Report,
2023-10-07,22:10,Liga MX,Apertura 2023 Regular Season,Sat,Away,W,4.0,1.0,Cruz Azul,1.5,2.0,39.0,28878.0,Adrián Aldrete,4-4-2,César Arturo Ramos,Match Report,
2023-10-22,13:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,L,0.0,1.0,Monterrey,1.0,0.3,52.0,26885.0,Adrián Aldrete,4-2-3-1,Ismael Lopez,Match Report,
2023-10-27,20:00,Liga MX,Apertura 2023 Regular Season,Fri,Away,L,0.0,1.0,Necaxa,0.5,0.9,51.0,12201.0,Adrián Aldrete,4-2-3-1,Abraham Quirarte,Match Report,
2023-10-31,21:10,Liga MX,Apertura 2023 Regular Season,Tue,Away,D,1.0,1.0,León,0.9,1.3,35.0,22898.0,Adrián Aldrete,4-2-3-1,Adonai Escobedo,Match Report,
2023-11-05,12:00,Liga MX,Apertura 2023 Regular Season,Sun,Home,W,3.0,0.0,Atlas,3.9,0.3,42.0,17297.0,Adrián Aldrete,4-4-2,Fernando Guerrero,Match Report,
2023-11-11,19:00,Liga MX,Apertura 2023 Regular Season,Sat,Home,W,1.0,0.0,Guadalajara,1.1,1.0,47.0,46823.0,Adrián Aldrete,4-2-3-1,Oscar Mejia,Match Report,
2023-11-30,21:05,Liga MX,Apertura — Quarter-finals,Thu,Away,L,0.0,1.0,Guadalajara,,,50.0,,Adrián Aldrete,4-2-3-1,Fernando Hernández,Match Report,Leg 1 of 2
2023-12-03,18:00,Liga MX,Apertura — Quarter-finals,Sun,Home,W,3.0,0.0,Guadalajara,0.4,1.2,51.0,46659.0,Adrián Aldrete,4-2-3-1,César Arturo Ramos,Match Report,Leg 2 of 2; UNAM won
2023-12-07,21:00,Liga MX,Apertura — Semi-finals,Thu,Home,L,0.0,1.0,UANL,0.5,0.6,39.0,,Eduardo Salvio,4-2-3-1,Marco Antonio Ortíz,Match Report,Leg 1 of 2
2023-12-10,20:00,Liga MX,Apertura — Semi-finals,Sun,Away,D,1.0,1.0,UANL,1.6,0.6,47.0,,Adrián Aldrete,4-2-3-1,Fernando Guerrero,Match Report,Leg 2 of 2; UANL won
2024-01-14,12:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,FC Juárez,,,,,,,,Head-to-Head,
2024-01-19,21:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Atlético,,,,,,,,Head-to-Head,
2024-01-28,18:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Pachuca,,,,,,,,Head-to-Head,
2024-01-31,21:00,Liga MX,Clausura 2024 Regular Season,Wed,Home,,,,Necaxa,,,,,,,,Head-to-Head,
2024-02-03,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,UANL,,,,,,,,Head-to-Head,
2024-02-11,12:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Puebla,,,,,,,,Head-to-Head,
2024-02-14,21:00,Liga MX,Clausura 2024 Regular Season,Wed,Away,,,,Atlas,,,,,,,,Head-to-Head,
2024-02-18,18:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Santos,,,,,,,,Head-to-Head,
2024-02-24,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Guadalajara,,,,,,,,Head-to-Head,
2024-03-03,17:00,Liga MX,Clausura 2024 Regular Season,Sun,Away,,,,Monterrey,,,,,,,,Head-to-Head,
2024-03-10,12:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,Tijuana,,,,,,,,Head-to-Head,
2024-03-16,19:00,Liga MX,Clausura 2024 Regular Season,Sat,Away,,,,Toluca,,,,,,,,Head-to-Head,
2024-03-30,21:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,Cruz Azul,,,,,,,,Head-to-Head,
2024-04-05,19:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Mazatlán,,,,,,,,Head-to-Head,
2024-04-14,19:00,Liga MX,Clausura 2024 Regular Season,Sun,Home,,,,León,,,,,,,,Head-to-Head,
2024-04-20,22:00,Liga MX,Clausura 2024 Regular Season,Sat,Home,,,,América,,,,,,,,Head-to-Head,
2024-04-26,22:00,Liga MX,Clausura 2024 Regular Season,Fri,Away,,,,Querétaro,,,,,,,,Head-to-Head,
