Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Julio José González,mx MEX,GK,32-251,17.0,2,0,0,2,3,0,0,1,0,0.0,2.0,0,29.0,7.0,0.0,100.0,Matches
Nathan Silva,br BRA,DF,26-238,15.6,5,0,0,13,3,0,2,15,13,0.0,0.0,1,96.0,27.0,35.0,43.5,Matches
Eduardo Salvio,ar ARG,"FW,MF",33-170,15.0,3,0,0,17,13,2,90,7,9,0.0,2.0,0,83.0,8.0,8.0,50.0,Matches
César Huerta,mx MEX,"MF,FW",23-027,14.0,6,1,0,23,60,1,23,7,30,2.0,0.0,0,91.0,11.0,13.0,45.8,Matches
Lisandro Magallán,ar ARG,DF,30-094,14.0,3,0,0,20,4,0,1,17,17,0.0,0.0,0,72.0,36.0,25.0,59.0,Matches
Gabriel Fernández,uy URU,FW,29-231,12.7,1,0,0,14,23,4,8,1,9,1.0,0.0,1,45.0,54.0,41.0,56.8,Matches
Adrián Aldrete,mx MEX,DF,35-199,12.7,3,0,0,8,7,0,63,18,14,0.0,0.0,0,67.0,20.0,12.0,62.5,Matches
Ulises Rivas,mx MEX,MF,27-339,12.6,1,0,0,10,3,0,4,9,13,0.0,0.0,0,47.0,10.0,12.0,45.5,Matches
José Caicedo,co COL,MF,21-221,9.2,4,0,0,13,14,0,4,20,17,0.0,0.0,0,88.0,14.0,13.0,51.9,Matches
Gustavo Del Prete,ar ARG,"MF,FW",27-201,7.7,2,0,0,14,12,3,4,2,8,0.0,0.0,0,29.0,7.0,12.0,36.8,Matches
Pablo Bennevendo Peña,mx MEX,DF,23-361,9.0,2,0,0,10,8,1,27,11,15,0.0,0.0,0,59.0,4.0,11.0,26.7,Matches
Juan Ignacio Dinenno,ar ARG,"FW,MF",29-124,8.8,2,0,0,10,7,0,3,1,2,0.0,0.0,0,31.0,31.0,34.0,47.7,Matches
Pablo Monroy,mx MEX,DF,21-161,7.3,5,0,0,10,5,0,12,6,11,0.0,0.0,0,43.0,9.0,7.0,56.3,Matches
Arturo Ortiz,mx MEX,DF,31-127,5.4,3,0,0,5,2,0,1,8,8,0.0,0.0,0,39.0,17.0,12.0,58.6,Matches
Jesús Molina,mx MEX,MF,35-276,4.1,1,0,0,6,4,0,0,5,7,0.0,0.0,0,21.0,17.0,7.0,70.8,Matches
Jesús Rivas,mx MEX,DF,21-062,3.9,2,0,0,6,1,0,7,2,9,0.0,0.0,0,17.0,2.0,5.0,28.6,Matches
Rodrigo López,mx MEX,MF,22-048,3.6,2,0,0,7,1,0,8,2,3,,,0,,,,,Matches
Santiago Trigos,mx MEX,MF,21-342,4.4,2,0,0,12,1,0,2,1,14,0.0,0.0,0,52.0,4.0,5.0,44.4,Matches
Christian Tabó,uy URU,"MF,FW",30-037,2.8,2,0,0,8,5,0,15,0,2,0.0,0.0,0,11.0,5.0,7.0,41.7,Matches
Robert Ergas,uy URU,"FW,DF",25-349,3.5,2,0,0,6,3,1,27,5,11,0.0,0.0,0,23.0,5.0,3.0,62.5,Matches
Carlos Gutiérrez,mx MEX,"MF,FW",24-328,1.3,1,0,0,6,3,0,10,1,2,0.0,0.0,0,12.0,1.0,3.0,25.0,Matches
Jorge Ruvalcaba,mx MEX,"MF,FW",22-160,0.7,0,0,0,0,1,1,2,1,1,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches
Emanuel Montejano Arroyo,mx MEX,FW,22-171,0.6,0,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,Matches
Marco Hernández,mx MEX,MF,18-273,0.3,0,0,0,2,0,0,0,1,0,0.0,0.0,0,4.0,0.0,0.0,,Matches
José Galindo,mx MEX,DF,25-351,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
Squad Total,,,28.2,17.0,54,1,0,224,183,13,313,141,215,3.0,4.0,2,979.0,296.0,269.0,52.4,
Opponent Total,,,28.2,17.0,57,3,2,201,205,24,304,157,215,2.0,7.0,1,960.0,270.0,294.0,47.9,
