Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Julio José González,mx MEX,GK,32-251,17.0,512.0,330.0,180.0,31.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,366.0,2.0,0.0,Matches
Nathan Silva,br BRA,DF,26-238,15.6,753.0,728.0,25.0,19.0,1.0,2.0,2,4.0,0.0,0.0,0.0,0.0,632.0,0.0,6.0,Matches
Eduardo Salvio,ar ARG,"FW,MF",33-170,15.0,596.0,508.0,85.0,21.0,3.0,5.0,90,24.0,37.0,6.0,29.0,0.0,414.0,3.0,27.0,Matches
César Huerta,mx MEX,"MF,FW",23-027,14.0,359.0,334.0,24.0,6.0,2.0,4.0,23,18.0,0.0,0.0,0.0,0.0,270.0,1.0,12.0,Matches
Lisandro Magallán,ar ARG,DF,30-094,14.0,648.0,613.0,35.0,33.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,520.0,0.0,3.0,Matches
Gabriel Fernández,uy URU,FW,29-231,12.7,284.0,260.0,22.0,1.0,0.0,0.0,8,4.0,1.0,0.0,0.0,0.0,179.0,2.0,15.0,Matches
Adrián Aldrete,mx MEX,DF,35-199,12.7,640.0,460.0,179.0,42.0,0.0,19.0,63,107.0,30.0,6.0,22.0,1.0,447.0,1.0,8.0,Matches
Ulises Rivas,mx MEX,MF,27-339,12.6,316.0,313.0,3.0,2.0,0.0,5.0,4,1.0,0.0,0.0,0.0,0.0,244.0,0.0,4.0,Matches
José Caicedo,co COL,MF,21-221,9.2,451.0,438.0,12.0,8.0,0.0,3.0,4,3.0,0.0,0.0,0.0,0.0,375.0,1.0,6.0,Matches
Gustavo Del Prete,ar ARG,"MF,FW",27-201,7.7,245.0,236.0,8.0,3.0,3.0,1.0,4,2.0,2.0,0.0,0.0,0.0,183.0,1.0,12.0,Matches
Pablo Bennevendo Peña,mx MEX,DF,23-361,9.0,434.0,341.0,93.0,8.0,0.0,1.0,27,84.0,1.0,0.0,0.0,0.0,336.0,0.0,10.0,Matches
Juan Ignacio Dinenno,ar ARG,"FW,MF",29-124,8.8,198.0,181.0,17.0,2.0,1.0,1.0,3,1.0,0.0,0.0,0.0,0.0,138.0,0.0,8.0,Matches
Pablo Monroy,mx MEX,DF,21-161,7.3,318.0,263.0,55.0,4.0,0.0,2.0,12,51.0,0.0,0.0,0.0,0.0,242.0,0.0,11.0,Matches
Arturo Ortiz,mx MEX,DF,31-127,5.4,312.0,300.0,12.0,8.0,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,236.0,0.0,2.0,Matches
Jesús Molina,mx MEX,MF,35-276,4.1,171.0,168.0,3.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,3.0,Matches
Jesús Rivas,mx MEX,DF,21-062,3.9,168.0,126.0,42.0,0.0,0.0,1.0,7,38.0,4.0,0.0,0.0,0.0,128.0,0.0,2.0,Matches
Rodrigo López,mx MEX,MF,22-048,3.6,,,,,,,8,,,,,,,,,Matches
Santiago Trigos,mx MEX,MF,21-342,4.4,218.0,217.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,187.0,1.0,2.0,Matches
Christian Tabó,uy URU,"MF,FW",30-037,2.8,93.0,80.0,12.0,6.0,0.0,1.0,15,0.0,6.0,3.0,3.0,0.0,65.0,1.0,2.0,Matches
Robert Ergas,uy URU,"FW,DF",25-349,3.5,167.0,130.0,37.0,6.0,0.0,0.0,27,22.0,9.0,2.0,6.0,1.0,113.0,0.0,2.0,Matches
Carlos Gutiérrez,mx MEX,"MF,FW",24-328,1.3,50.0,39.0,11.0,6.0,0.0,0.0,10,1.0,3.0,1.0,1.0,0.0,34.0,0.0,3.0,Matches
Jorge Ruvalcaba,mx MEX,"MF,FW",22-160,0.7,23.0,23.0,0.0,0.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,Matches
Emanuel Montejano Arroyo,mx MEX,FW,22-171,0.6,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Matches
Marco Hernández,mx MEX,MF,18-273,0.3,19.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,Matches
José Galindo,mx MEX,DF,25-351,0.1,7.0,6.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Matches
Squad Total,,,28.2,17.0,7170.0,6299.0,858.0,209.0,14.0,53.0,313,363.0,94.0,19.0,61.0,2.0,5436.0,13.0,140.0,
Opponent Total,,,28.2,17.0,7441.0,6462.0,955.0,223.0,9.0,78.0,304,437.0,95.0,26.0,46.0,0.0,5560.0,24.0,147.0,
