Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Julio José González,mx MEX,GK,32-251,17,1530.0,90.0,100.0,17.0,17,90.0,17,0,,0,1.52,27.0,18.0,9.0,0.53,,28.0,17.1,10.9,0.64,,Matches
Nathan Silva,br BRA,DF,26-238,16,1407.0,88.0,92.0,15.6,16,88.0,14,0,,0,1.6,27.0,16.0,11.0,0.7,2.17,26.7,16.1,10.6,0.68,0.44,Matches
Eduardo Salvio,ar ARG,"FW,MF",33-170,16,1348.0,84.0,88.1,15.0,16,84.0,8,0,,0,1.6,22.0,15.0,7.0,0.47,-0.52,24.1,14.8,9.3,0.62,-0.18,Matches
César Huerta,mx MEX,"MF,FW",23-027,15,1262.0,84.0,82.5,14.0,15,84.0,13,0,,0,1.47,22.0,16.0,6.0,0.43,-0.58,24.7,14.7,10.0,0.71,0.41,Matches
Lisandro Magallán,ar ARG,DF,30-094,14,1260.0,90.0,82.4,14.0,14,90.0,14,0,,1,1.5,23.0,15.0,8.0,0.57,0.24,23.6,14.0,9.6,0.68,0.23,Matches
Gabriel Fernández,uy URU,FW,29-231,16,1145.0,72.0,74.8,12.7,14,78.0,5,2,24.0,0,1.45,20.0,12.0,8.0,0.63,0.4,21.1,12.4,8.7,0.68,0.15,Matches
Adrián Aldrete,mx MEX,DF,35-199,15,1141.0,76.0,74.6,12.7,14,81.0,7,1,1.0,1,1.68,22.0,13.0,9.0,0.71,0.71,22.1,12.0,10.1,0.8,0.6,Matches
Ulises Rivas,mx MEX,MF,27-339,16,1131.0,71.0,73.9,12.6,14,77.0,3,2,27.0,1,1.45,19.0,15.0,4.0,0.32,-0.81,19.9,13.8,6.1,0.49,-0.6,Matches
José Caicedo,co COL,MF,21-221,10,831.0,83.0,54.3,9.2,10,83.0,8,0,,0,1.5,14.0,13.0,1.0,0.11,-0.92,16.6,9.6,7.0,0.75,0.24,Matches
Gustavo Del Prete,ar ARG,"MF,FW",27-201,15,692.0,46.0,45.2,7.7,9,63.0,0,6,21.0,2,1.44,10.0,11.0,-1.0,-0.13,-1.2,13.0,7.1,5.9,0.77,0.23,Matches
Pablo Bennevendo Peña,mx MEX,DF,23-361,14,808.0,58.0,52.8,9.0,8,85.0,6,6,22.0,3,1.65,17.0,10.0,7.0,0.78,0.53,13.5,9.0,4.6,0.51,-0.28,Matches
Juan Ignacio Dinenno,ar ARG,"FW,MF",29-124,17,795.0,47.0,52.0,8.8,8,74.0,2,9,23.0,0,1.6,17.0,9.0,8.0,0.91,0.78,16.5,8.3,8.2,0.93,0.59,Matches
Pablo Monroy,mx MEX,DF,21-161,10,654.0,65.0,42.7,7.3,8,76.0,0,2,25.0,1,1.55,10.0,9.0,1.0,0.14,-0.68,13.1,9.0,4.2,0.57,-0.12,Matches
Arturo Ortiz,mx MEX,DF,31-127,9,489.0,54.0,32.0,5.4,4,90.0,4,5,26.0,7,1.56,6.0,6.0,0.0,0.0,-0.78,6.7,5.7,1.0,0.19,-0.67,Matches
