Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Ignacio De Arruabarrena,uy URU,GK,26-348,15.0,3,0,0,1,0,0,0,0,1,0,1,0,20,3,0,100.0,Matches
Rafa Mújica,es ESP,FW,25-062,13.4,3,1,0,28,24,12,0,4,7,1,1,0,30,13,29,31.0,Matches
Cristo González,es ESP,"FW,MF",26-067,12.8,2,0,0,9,16,0,13,3,5,0,0,0,47,5,12,29.4,Matches
Morlaye Sylla,gn GUI,MF,25-156,12.0,6,0,0,22,14,2,9,14,14,0,0,0,80,9,10,47.4,Matches
David Simão,pt POR,MF,33-229,12.0,3,1,0,12,18,0,58,15,9,0,0,0,68,10,5,66.7,Matches
Jason,es ESP,"MF,FW",29-177,11.8,1,0,0,14,23,2,67,6,8,0,0,0,55,5,11,31.3,Matches
Francisco Montero,es ESP,DF,24-350,12.0,2,0,0,23,7,0,4,14,9,0,2,0,58,18,18,50.0,Matches
Nino Galović,hr CRO,DF,31-177,11.8,1,0,0,9,7,1,0,7,5,0,1,0,48,19,16,54.3,Matches
Tiago Esgaio,pt POR,DF,28-151,11.5,3,0,0,16,4,0,17,13,16,0,0,0,66,42,13,76.4,Matches
Eboue Kouassi,ci CIV,MF,26-017,7.6,2,1,0,18,7,2,1,6,7,0,0,0,55,21,18,53.8,Matches
Weverson,br BRA,"DF,MF",23-178,6.9,2,0,0,6,5,0,32,8,7,0,0,0,32,7,5,58.3,Matches
Rafael Fernandes,pt POR,DF,21-185,7.4,2,1,1,8,5,1,1,8,6,0,0,0,27,20,12,62.5,Matches
Alfonso Trezza,uy URU,"FW,MF",24-191,6.8,4,0,0,12,15,1,18,5,10,1,0,0,41,2,14,12.5,Matches
Bogdan Milovanov,ua UKR,"DF,MF",25-255,6.3,2,1,1,6,3,0,24,10,19,0,0,0,36,8,11,42.1,Matches
Pedro Santos,pt POR,MF,23-079,2.6,4,0,0,6,8,0,14,5,2,0,0,0,17,1,0,100.0,Matches
Oriol Busquets,es ESP,MF,24-344,2.5,1,0,0,1,2,1,1,2,1,0,0,0,10,1,2,33.3,Matches
Quaresma,br BRA,DF,27-130,2.1,1,0,0,4,6,2,9,3,3,0,0,0,15,2,2,50.0,Matches
Matí­as Rocha,uy URU,DF,22-320,0.6,0,1,0,1,0,0,0,0,0,0,1,0,2,3,2,60.0,Matches
Jerome Opoku,gh GHA,DF,25-077,1.5,0,0,0,0,2,1,0,0,0,0,0,0,3,3,1,75.0,Matches
Vitinho,br BRA,"FW,MF",23-360,0.9,0,0,0,0,5,0,0,2,3,0,0,0,8,0,2,0.0,Matches
Miguel Puche García,es ESP,"FW,MF",22-244,2.1,0,0,0,3,3,1,5,1,1,0,0,0,8,3,4,42.9,Matches
André Bukia,cd COD,"MF,FW",28-302,1.3,0,0,0,3,6,0,18,1,4,0,0,0,8,0,1,0.0,Matches
Moses Yaw,gh GHA,"DF,MF",24-357,0.7,0,0,0,2,4,0,1,0,1,0,0,0,6,1,2,33.3,Matches
Benji Michel,us USA,"FW,MF",26-068,0.3,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,80.0,Matches
Yusuf Lawal,ng NGA,"FW,MF",25-282,0.3,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,100.0,Matches
Squad Total,,,26.8,15.0,42,6,2,206,184,26,294,127,138,2,6,0,744,201,191,51.3,
Opponent Total,,,26.9,15.0,49,6,4,194,198,48,300,114,120,4,2,1,758,191,201,48.7,
