Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Fredrik Aursnes,no NOR,"DF,MF",28-020,14.8,1,0,0,13,8,4,30,11,16,0,1,0,86,6,14,30.0,Matches
Rafa Silva,pt POR,MF,30-227,14.7,2,0,0,17,42,10,9,6,10,0,0,0,57,9,10,47.4,Matches
António Silva,pt POR,DF,20-061,14.0,3,0,0,11,4,1,0,9,27,0,1,0,95,31,22,58.5,Matches
Nicolás Otamendi,ar ARG,DF,35-321,13.9,5,0,0,8,9,0,0,16,17,0,0,0,96,36,23,61.0,Matches
João Mário,pt POR,"FW,MF",30-345,11.9,3,0,0,18,25,0,26,7,8,1,0,0,63,4,7,36.4,Matches
João Neves,pt POR,MF,19-094,11.5,3,0,0,24,27,0,32,15,32,1,0,0,96,24,20,54.5,Matches
Anatolii Trubin,ua UKR,GK,22-151,11.0,1,0,0,0,2,0,0,0,1,0,0,0,17,3,0,100.0,Matches
Ángel Di María,ar ARG,FW,35-319,10.4,2,0,0,1,10,4,96,4,2,0,0,0,48,2,4,33.3,Matches
Orkun Kökçü,tr TUR,MF,23-001,9.3,3,0,0,12,9,1,27,6,13,0,0,0,58,4,5,44.4,Matches
Morato,br BRA,DF,22-183,7.5,1,0,0,8,2,3,10,6,15,0,1,0,51,15,10,60.0,Matches
Florentino Luís,pt POR,MF,24-133,6.6,2,0,0,10,5,0,0,20,24,0,1,0,55,9,10,47.4,Matches
Alexander Bah,dk DEN,DF,26-021,6.2,2,0,0,5,10,2,15,9,15,0,0,0,46,10,6,62.5,Matches
Petar Musa,hr CRO,FW,25-301,5.5,1,1,0,10,9,3,2,1,7,0,0,0,19,6,14,30.0,Matches
Arthur,br BRA,FW,25-249,5.1,1,0,0,12,5,1,1,0,4,0,0,0,13,8,17,32.0,Matches
David Neres,br BRA,FW,26-302,4.6,0,0,0,6,6,1,31,1,2,0,0,0,20,0,2,0.0,Matches
Casper Tengstedt,dk DEN,FW,23-212,4.1,0,0,0,6,5,4,6,0,2,0,0,0,10,5,6,45.5,Matches
Samuel Soares,pt POR,GK,21-198,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
David Jurásek,cz CZE,DF,23-145,2.9,1,0,0,2,4,1,10,1,4,0,0,0,20,0,0,,Matches
Chiquinho,pt POR,MF,28-164,2.1,1,0,0,4,5,0,7,2,4,0,0,0,14,3,3,50.0,Matches
Gonçalo Guedes,pt POR,"FW,MF",27-031,1.3,0,0,0,4,8,0,5,1,0,0,0,0,7,2,0,100.0,Matches
Tomás Araújo,pt POR,"DF,MF",21-228,1.0,0,0,0,1,0,0,0,1,0,0,0,0,11,4,1,80.0,Matches
Odisseas Vlachodimos,gr GRE,GK,29-248,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Juan Bernat,es ESP,DF,30-304,0.9,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,Matches
Tiago Gouveia,pt POR,FW,22-195,0.8,0,0,0,4,2,0,1,0,1,0,0,0,5,0,0,,Matches
João Victor,br BRA,DF,25-166,0.3,0,0,0,0,2,0,0,1,0,0,0,0,3,0,2,0.0,Matches
Gustavo Marques,br BRA,DF,22-082,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mihailo Ristić,rs SRB,DF,28-060,0.0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,26.7,15.0,32,1,0,176,201,35,312,117,204,2,4,0,900,185,177,51.1,
Opponent Total,,,26.5,15.0,53,4,1,208,172,24,221,166,188,3,2,1,808,177,185,48.9,
