Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-14,20:45,Primeira Liga,Matchweek 1,Mon,Home,W,3.0,2.0,Benfica,2.1,2.0,48.0,21320.0,Sebastián Pérez Cardona,4-2-3-1,António Nobre,Match Report,
2023-08-19,20:30,Primeira Liga,Matchweek 2,Sat,Away,W,4.0,1.0,Portimonense,1.8,1.2,45.0,2034.0,Sebastián Pérez Cardona,4-3-3,João Pinheiro,Match Report,
2023-08-27,15:30,Primeira Liga,Matchweek 3,Sun,Home,D,1.0,1.0,Casa Pia,1.6,0.8,56.0,4945.0,Sebastián Pérez Cardona,4-3-3,Bruno Jose Costa,Match Report,
2023-09-03,15:30,Primeira Liga,Matchweek 4,Sun,Away,W,2.0,1.0,Estoril,1.2,0.5,47.0,3056.0,Sebastián Pérez Cardona,4-2-3-1,Cláudio Ruivo Pereira,Match Report,
2023-09-18,20:15,Primeira Liga,Matchweek 5,Mon,Home,W,4.0,1.0,Chaves,2.1,1.9,49.0,7022.0,Sebastián Pérez Cardona,4-2-3-1,Nuno Almeida,Match Report,
2023-09-24,20:30,Primeira Liga,Matchweek 6,Sun,Away,L,1.0,4.0,Braga,1.0,4.5,35.0,16394.0,Sebastián Pérez Cardona,4-2-3-1,Artur Soares Dias,Match Report,
2023-09-30,18:00,Primeira Liga,Matchweek 7,Sat,Home,D,2.0,2.0,Famalicão,0.9,1.4,57.0,7809.0,Rodrigo Abascal,4-3-3,Gustavo Correia,Match Report,
2023-10-06,20:15,Primeira Liga,Matchweek 8,Fri,Away,D,1.0,1.0,Moreirense,0.6,0.9,49.0,2388.0,Sebastián Pérez Cardona,4-3-3,David Silva,Match Report,
2023-10-30,20:15,Primeira Liga,Matchweek 9,Mon,Home,L,0.0,2.0,Sporting CP,0.6,2.5,49.0,12608.0,Sebastián Pérez Cardona,4-3-3,Nuno Almeida,Match Report,
2023-11-05,18:00,Primeira Liga,Matchweek 10,Sun,Away,L,0.0,2.0,Rio Ave,0.7,1.2,61.0,2866.0,Sebastián Pérez Cardona,4-3-3,Cláudio Ruivo Pereira,Match Report,
2023-11-12,15:30,Primeira Liga,Matchweek 11,Sun,Home,L,1.0,3.0,Farense,0.9,2.0,60.0,6520.0,Sebastián Pérez Cardona,4-3-3,André Narciso,Match Report,
2023-12-03,20:30,Primeira Liga,Matchweek 12,Sun,Home,L,0.0,4.0,Arouca,1.0,1.9,63.0,3788.0,Sebastián Pérez Cardona,4-4-2,Tiago Martins,Match Report,
2023-12-10,15:30,Primeira Liga,Matchweek 13,Sun,Away,L,1.0,3.0,Estrela,0.8,0.6,53.0,3732.0,Sebastián Pérez Cardona,3-5-1-1,Iancu Vasilica,Match Report,
2023-12-16,20:30,Primeira Liga,Matchweek 14,Sat,Home,D,1.0,1.0,Vitória,1.8,0.9,60.0,8970.0,Sebastián Pérez Cardona,4-2-3-1,Fábio Veríssimo,Match Report,
2023-12-30,15:30,Primeira Liga,Matchweek 15,Sat,Away,,,,Gil Vicente FC,,,,,,,,Head-to-Head,
2024-01-05,20:45,Primeira Liga,Matchweek 16,Fri,Home,,,,Porto,,,,,,,,Head-to-Head,
2024-01-14,18:00,Primeira Liga,Matchweek 17,Sun,Away,,,,Vizela,,,,,,,,Head-to-Head,
2024-01-19,20:15,Primeira Liga,Matchweek 18,Fri,Away,,,,Benfica,,,,,,,,Head-to-Head,
2024-01-28,,Primeira Liga,Matchweek 19,Sun,Home,,,,Portimonense,,,,,,,,Head-to-Head,
2024-02-04,,Primeira Liga,Matchweek 20,Sun,Away,,,,Casa Pia,,,,,,,,Head-to-Head,
2024-02-11,,Primeira Liga,Matchweek 21,Sun,Home,,,,Estoril,,,,,,,,Head-to-Head,
2024-02-18,,Primeira Liga,Matchweek 22,Sun,Away,,,,Chaves,,,,,,,,Head-to-Head,
2024-02-25,,Primeira Liga,Matchweek 23,Sun,Home,,,,Braga,,,,,,,,Head-to-Head,
2024-03-03,,Primeira Liga,Matchweek 24,Sun,Away,,,,Famalicão,,,,,,,,Head-to-Head,
2024-03-10,,Primeira Liga,Matchweek 25,Sun,Home,,,,Moreirense,,,,,,,,Head-to-Head,
2024-03-17,,Primeira Liga,Matchweek 26,Sun,Away,,,,Sporting CP,,,,,,,,Head-to-Head,
2024-03-30,,Primeira Liga,Matchweek 27,Sat,Home,,,,Rio Ave,,,,,,,,Head-to-Head,
2024-04-07,,Primeira Liga,Matchweek 28,Sun,Away,,,,Farense,,,,,,,,Head-to-Head,
2024-04-14,,Primeira Liga,Matchweek 29,Sun,Away,,,,Arouca,,,,,,,,Head-to-Head,
2024-04-21,,Primeira Liga,Matchweek 30,Sun,Home,,,,Estrela,,,,,,,,Head-to-Head,
2024-04-28,,Primeira Liga,Matchweek 31,Sun,Away,,,,Vitória,,,,,,,,Head-to-Head,
2024-05-05,,Primeira Liga,Matchweek 32,Sun,Home,,,,Gil Vicente FC,,,,,,,,Head-to-Head,
2024-05-12,,Primeira Liga,Matchweek 33,Sun,Away,,,,Porto,,,,,,,,Head-to-Head,
2024-05-19,,Primeira Liga,Matchweek 34,Sun,Home,,,,Vizela,,,,,,,,Head-to-Head,
