Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
João Gonçalves,pt POR,GK,23-055,14.0,404,350,403,1,0,0,404,0,0,,0,,186,870,512,0,0,0,0,0,120,0,Matches
Róbert Boženík,sk SVK,FW,24-042,13.4,331,16,30,157,146,56,331,8,4,50.0,4,50.0,180,870,245,11,5,3,33,22,238,54,Matches
Salvador Agra,pt POR,"DF,FW",32-049,12.5,700,7,138,331,234,10,700,23,10,43.5,13,56.5,364,1864,909,32,20,5,16,11,451,78,Matches
Gaius Makouta,cg CGO,MF,26-158,12.4,646,19,107,400,151,23,646,29,10,34.5,18,62.1,391,2364,1039,25,25,2,17,19,454,48,Matches
Chidozie Awaziem,ng NGA,DF,26-363,13.0,906,137,544,345,20,14,906,3,2,66.7,1,33.3,513,2349,1188,2,3,0,11,0,624,2,Matches
Sebastián Pérez Cardona,co COL,MF,30-276,11.3,870,23,249,566,61,5,870,9,4,44.4,1,11.1,474,1980,934,4,6,0,11,3,617,13,Matches
Bruno Onyemaechi,ng NGA,DF,24-271,11.5,773,37,253,371,158,12,773,19,10,52.6,8,42.1,358,2274,1119,31,19,2,23,7,402,39,Matches
Tiago Fonseca Morais,pt POR,FW,20-118,10.5,454,15,83,214,161,38,453,50,16,32.0,30,60.0,281,1795,865,32,15,17,33,15,307,60,Matches
Rodrigo Abascal,uy URU,DF,29-350,10.7,775,95,448,307,25,4,775,5,5,100.0,0,0.0,458,1842,959,6,3,0,6,0,537,4,Matches
Miguel Reisinho,pt POR,MF,24-265,9.8,491,21,101,306,89,14,491,24,13,54.2,9,37.5,242,1109,378,7,3,2,13,6,313,16,Matches
Pedro Malheiro,pt POR,DF,22-343,6.4,429,18,141,223,69,6,429,14,12,85.7,2,14.3,238,1231,555,11,10,3,4,3,256,12,Matches
Filipe Ferreira,pt POR,DF,33-094,6.3,450,38,195,229,28,0,450,4,3,75.0,1,25.0,258,1063,454,3,3,0,7,0,298,2,Matches
Bruno Lourenço,pt POR,"FW,MF",25-331,5.9,229,2,21,124,86,8,228,12,6,50.0,5,41.7,132,648,312,8,8,1,27,10,150,22,Matches
Masaki Watai,jp JPN,"FW,MF",24-165,2.7,108,0,16,51,41,3,108,6,4,66.7,2,33.3,65,354,143,5,2,2,7,2,82,17,Matches
Ilija Vukotić,me MNE,MF,24-357,3.6,185,10,35,112,39,6,185,8,6,75.0,2,25.0,88,351,124,2,2,0,3,2,122,6,Matches
Martim Tavares,pt POR,"FW,MF",20-050,1.5,49,2,8,25,19,6,49,5,2,40.0,2,40.0,31,151,69,2,2,1,1,2,37,6,Matches
Ibrahima Camará,gn GUI,MF,24-339,1.3,74,1,18,40,16,1,74,2,1,50.0,1,50.0,39,186,119,2,2,0,2,0,55,4,Matches
Berna,pt POR,"FW,DF",20-106,2.4,170,7,39,91,42,4,170,8,4,50.0,4,50.0,83,481,231,5,3,0,6,4,106,17,Matches
Luís Santos,pt POR,"DF,FW",23-344,2.1,132,9,35,56,43,1,132,2,0,0.0,1,50.0,68,359,172,4,5,0,4,1,77,14,Matches
Jeriel Córdova,ve VEN,"FW,MF",21-195,1.3,55,1,5,28,22,5,55,6,1,16.7,4,66.7,34,108,16,0,0,0,11,4,39,7,Matches
Joel silva,pt POR,"MF,FW",20-322,0.5,33,2,9,22,2,0,33,0,0,,0,,13,38,23,0,0,0,2,0,19,0,Matches
Vincent Sasso,fr FRA,MF,32-317,0.0,5,1,3,2,0,0,5,0,0,,0,,3,6,5,0,0,0,0,0,3,0,Matches
Squad Total,,,26.1,14.0,8269,811,2881,4001,1452,216,8267,237,113,47.7,108,45.6,4499,22293,10371,192,136,38,237,111,5307,421,
Opponent Total,,,26.6,14.0,7843,779,2567,3519,1839,274,7841,282,127,45.0,119,42.2,4169,22794,11805,224,151,50,232,107,4850,500,
