Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
João Gonçalves,pt POR,GK,23-055,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Róbert Boženík,sk SVK,FW,24-042,13.4,6,51,17,33.3,3.82,1.27,0.12,0.35,13.9,0,0,0,6.1,6.1,0.12,-0.1,-0.1,Matches
Salvador Agra,pt POR,"DF,FW",32-049,12.5,2,11,4,36.4,0.88,0.32,0.18,0.5,25.1,3,0,0,1.3,1.3,0.11,0.7,0.7,Matches
Gaius Makouta,cg CGO,MF,26-158,12.4,0,9,3,33.3,0.73,0.24,0.0,0.0,13.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Chidozie Awaziem,ng NGA,DF,26-363,13.0,0,8,2,25.0,0.62,0.15,0.0,0.0,9.8,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Sebastián Pérez Cardona,co COL,MF,30-276,11.3,0,7,0,0.0,0.62,0.0,0.0,,23.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Bruno Onyemaechi,ng NGA,DF,24-271,11.5,0,7,2,28.6,0.61,0.17,0.0,0.0,16.4,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches
Tiago Fonseca Morais,pt POR,FW,20-118,10.5,5,14,9,64.3,1.33,0.85,0.29,0.44,17.3,0,1,1,2.5,1.7,0.16,2.5,2.3,Matches
Rodrigo Abascal,uy URU,DF,29-350,10.7,0,2,0,0.0,0.19,0.0,0.0,,7.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Miguel Reisinho,pt POR,MF,24-265,9.8,1,10,3,30.0,1.02,0.31,0.1,0.33,18.2,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Pedro Malheiro,pt POR,DF,22-343,6.4,2,4,3,75.0,0.63,0.47,0.5,0.67,19.0,0,0,0,0.2,0.2,0.06,1.8,1.8,Matches
Filipe Ferreira,pt POR,DF,33-094,6.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bruno Lourenço,pt POR,"FW,MF",25-331,5.9,1,7,2,28.6,1.19,0.34,0.0,0.0,26.1,0,1,1,1.5,0.7,0.1,-0.5,-0.7,Matches
Masaki Watai,jp JPN,"FW,MF",24-165,2.7,0,2,0,0.0,0.75,0.0,0.0,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ilija Vukotić,me MNE,MF,24-357,3.6,1,2,1,50.0,0.56,0.28,0.5,1.0,23.4,0,0,0,0.2,0.2,0.09,0.8,0.8,Matches
Martim Tavares,pt POR,"FW,MF",20-050,1.5,1,6,5,83.3,4.09,3.41,0.17,0.2,19.6,0,0,0,0.8,0.8,0.14,0.2,0.2,Matches
Ibrahima Camará,gn GUI,MF,24-339,1.3,0,1,0,0.0,0.75,0.0,0.0,,31.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Berna,pt POR,"FW,DF",20-106,2.4,0,3,0,0.0,1.24,0.0,0.0,,30.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Luís Santos,pt POR,"DF,FW",23-344,2.1,0,3,1,33.3,1.41,0.47,0.0,0.0,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jeriel Córdova,ve VEN,"FW,MF",21-195,1.3,0,3,0,0.0,2.27,0.0,0.0,,9.4,0,0,0,0.8,0.8,0.25,-0.8,-0.8,Matches
Joel silva,pt POR,"MF,FW",20-322,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vincent Sasso,fr FRA,MF,32-317,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.1,14.0,19,150,52,34.7,10.71,3.71,0.11,0.33,17.4,3,2,2,17.2,15.6,0.11,1.8,1.4,
Opponent Total,,,26.6,14.0,27,185,75,40.5,13.21,5.36,0.14,0.33,17.6,6,2,2,22.0,20.6,0.11,5.0,4.4,
