Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Matheus,br BRA,GK,31-164,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,1,Matches
Ricardo Horta,pt POR,"FW,MF",29-106,11.6,11,6,2,7,2,3,19,15.8,16,10,0,10,6,17,5,0,Matches
Simon Banza,cd COD,FW,27-139,10.9,8,4,4,1,3,1,10,10.0,9,5,1,4,4,12,8,0,Matches
Cristian Borja,co COL,DF,30-315,10.3,21,8,12,8,1,6,10,60.0,4,13,1,12,8,29,22,0,Matches
Álvaro djaló,es ESP,"FW,MF",24-136,10.2,11,7,3,4,4,6,21,28.6,15,4,1,3,13,24,10,0,Matches
Victor Gomez,es ESP,DF,23-273,8.9,15,9,5,7,3,10,22,45.5,12,10,1,9,13,28,18,0,Matches
José Fonte,pt POR,DF,40-008,9.9,5,2,3,2,0,2,4,50.0,2,9,6,3,10,15,42,0,Matches
Bruma,pt POR,FW,29-067,8.6,10,8,2,7,1,4,10,40.0,6,6,1,5,0,10,2,0,Matches
Almoatasem Al Musrati,ly LBY,MF,27-268,7.7,18,12,8,9,1,9,13,69.2,4,3,1,2,13,31,4,1,Matches
Serdar Saatçı,tr TUR,DF,20-319,7.6,18,13,14,4,0,11,16,68.8,5,9,7,2,24,42,21,2,Matches
Rodrigo Zalazar,uy URU,MF,24-140,6.8,18,12,5,11,2,8,16,50.0,8,9,0,9,2,20,4,1,Matches
Sikou Niakaté,ml MLI,DF,24-173,6.0,7,5,4,3,0,5,7,71.4,2,3,0,3,8,15,24,1,Matches
Vitor Carvalho,br BRA,MF,26-217,5.6,13,9,5,8,0,5,13,38.5,8,8,1,7,7,20,11,1,Matches
Pizzi,pt POR,"MF,FW",34-085,5.3,2,1,1,0,1,2,5,40.0,3,2,0,2,0,2,1,0,Matches
Paulo Oliveira,pt POR,DF,31-356,5.0,11,4,7,4,0,8,11,72.7,3,4,1,3,15,26,27,0,Matches
Abel Ruiz,es ESP,"FW,MF",23-336,6.1,2,1,1,0,1,1,3,33.3,2,2,1,1,0,2,3,0,Matches
André Horta,pt POR,MF,27-053,5.0,8,5,1,3,4,6,12,50.0,6,11,1,10,1,9,3,0,Matches
João Moutinho,pt POR,MF,37-113,4.7,11,6,1,10,0,8,17,47.1,9,10,2,8,7,18,2,0,Matches
Adrián Marín,es ESP,DF,26-355,3.4,7,3,2,3,2,3,5,60.0,2,6,3,3,4,11,5,0,Matches
Joe Mendes,se SWE,DF,20-364,3.1,9,4,5,3,1,5,12,41.7,7,4,1,3,1,10,6,0,Matches
Rony Lopes,pt POR,"FW,DF",28-002,1.8,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,3,0,Matches
Roger Fernandes,gw GNB,"DF,FW",18-039,0.6,3,3,0,3,0,2,2,100.0,0,1,0,1,0,3,1,0,Matches
André Castro,pt POR,MF,35-272,0.4,1,0,0,1,0,1,2,50.0,1,4,1,3,1,2,1,0,Matches
Squad Total,,,28.5,14.0,209,122,85,98,26,106,232,45.7,126,135,31,104,138,347,231,7,
Opponent Total,,,26.4,14.0,226,129,130,83,13,115,240,47.9,125,183,69,114,136,362,342,6,
