Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Matheus,br BRA,GK,31-164,14.0,381,507,75.1,9931,7684,86,86,100.0,193,196,98.5,101,224,45.1,0,0.0,0.0,0.0,0,10,0,0,2,Matches
Ricardo Horta,pt POR,"FW,MF",29-106,11.6,433,538,80.5,6226,1786,257,290,88.6,126,156,80.8,29,50,58.0,2,3.8,2.7,-1.8,26,37,27,5,74,Matches
Simon Banza,cd COD,FW,27-139,10.9,121,172,70.3,1714,374,68,94,72.3,33,44,75.0,9,11,81.8,3,1.6,0.7,1.4,11,8,6,1,15,Matches
Cristian Borja,co COL,DF,30-315,10.3,597,721,82.8,9617,3556,307,334,91.9,247,284,87.0,32,69,46.4,2,1.5,1.5,0.5,18,47,22,9,62,Matches
Álvaro djaló,es ESP,"FW,MF",24-136,10.2,176,263,66.9,2632,688,102,119,85.7,57,88,64.8,8,22,36.4,3,2.6,2.3,0.4,16,17,12,4,29,Matches
Victor Gomez,es ESP,DF,23-273,8.9,428,514,83.3,7278,2792,197,224,87.9,188,213,88.3,38,62,61.3,1,2.2,2.0,-1.2,18,45,29,14,64,Matches
José Fonte,pt POR,DF,40-008,9.9,522,615,84.9,10200,3772,162,183,88.5,309,335,92.2,46,83,55.4,0,0.0,0.2,0.0,0,45,4,0,47,Matches
Bruma,pt POR,FW,29-067,8.6,312,398,78.4,4039,1078,203,231,87.9,86,113,76.1,10,17,58.8,1,0.8,2.0,0.2,14,14,23,2,48,Matches
Almoatasem Al Musrati,ly LBY,MF,27-268,7.7,450,530,84.9,9421,2829,162,183,88.5,196,217,90.3,85,116,73.3,0,0.3,1.1,-0.3,5,70,6,1,70,Matches
Serdar Saatçı,tr TUR,DF,20-319,7.6,438,496,88.3,7743,2914,175,190,92.1,235,245,95.9,24,52,46.2,2,0.4,0.1,1.6,5,15,0,0,14,Matches
Rodrigo Zalazar,uy URU,MF,24-140,6.8,379,462,82.0,7212,2196,157,175,89.7,157,180,87.2,55,87,63.2,1,2.7,3.0,-1.7,19,52,19,4,62,Matches
Sikou Niakaté,ml MLI,DF,24-173,6.0,273,341,80.1,5133,2032,99,111,89.2,138,153,90.2,29,66,43.9,0,0.2,0.9,-0.2,3,18,0,0,15,Matches
Vitor Carvalho,br BRA,MF,26-217,5.6,276,326,84.7,4833,1223,114,131,87.0,128,143,89.5,26,40,65.0,0,0.0,0.3,0.0,1,34,3,0,25,Matches
Pizzi,pt POR,"MF,FW",34-085,5.3,279,324,86.1,4149,1100,153,167,91.6,87,98,88.8,23,31,74.2,3,1.9,1.5,1.1,14,18,14,1,43,Matches
Paulo Oliveira,pt POR,DF,31-356,5.0,293,351,83.5,5556,2339,102,111,91.9,158,176,89.8,30,57,52.6,1,0.1,0.2,0.9,1,21,1,0,19,Matches
Abel Ruiz,es ESP,"FW,MF",23-336,6.1,119,144,82.6,1422,184,79,89,88.8,26,33,78.8,4,5,80.0,1,0.6,0.6,0.4,10,3,1,0,6,Matches
André Horta,pt POR,MF,27-053,5.0,392,460,85.2,6894,1953,185,193,95.9,162,184,88.0,38,70,54.3,1,0.8,0.9,0.2,10,62,12,2,69,Matches
João Moutinho,pt POR,MF,37-113,4.7,357,421,84.8,6133,1853,162,177,91.5,151,169,89.3,34,54,63.0,0,0.5,0.6,-0.5,11,47,8,1,48,Matches
Adrián Marín,es ESP,DF,26-355,3.4,159,209,76.1,2539,1242,88,103,85.4,58,69,84.1,9,25,36.0,0,0.3,0.2,-0.3,3,23,3,0,19,Matches
Joe Mendes,se SWE,DF,20-364,3.1,114,155,73.5,1737,541,66,76,86.8,33,47,70.2,10,24,41.7,1,0.7,0.1,0.3,2,11,1,1,11,Matches
Rony Lopes,pt POR,"FW,DF",28-002,1.8,65,93,69.9,1039,227,31,41,75.6,24,30,80.0,6,12,50.0,0,0.2,0.2,-0.2,3,6,3,0,14,Matches
Roger Fernandes,gw GNB,"DF,FW",18-039,0.6,42,53,79.2,836,212,14,16,87.5,23,27,85.2,5,10,50.0,2,0.9,0.8,1.1,6,2,5,5,5,Matches
André Castro,pt POR,MF,35-272,0.4,29,34,85.3,418,63,17,19,89.5,10,11,90.9,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Squad Total,,,28.5,14.0,6635,8127,81.6,116702,42638,2986,3343,89.3,2825,3211,88.0,652,1189,54.8,24,22.1,21.7,1.9,196,607,199,50,763,
Opponent Total,,,26.4,14.0,3917,5395,72.6,72542,30027,1696,2004,84.6,1577,1932,81.6,520,1093,47.6,15,14.6,11.9,0.4,116,279,77,27,364,
