Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Matheus,br BRA,GK,31-164,14.0,539,436,533,6,0,0,539,2,2,100.0,0,0.0,302,1361,872,0,0,0,1,0,234,0,Matches
Ricardo Horta,pt POR,"FW,MF",29-106,11.6,654,7,48,273,339,63,654,20,8,40.0,10,50.0,403,1658,814,20,22,5,22,13,492,99,Matches
Simon Banza,cd COD,FW,27-139,10.9,335,10,21,108,208,81,334,26,8,30.8,13,50.0,199,695,146,3,7,3,38,18,258,71,Matches
Cristian Borja,co COL,DF,30-315,10.3,823,24,216,378,236,6,823,14,9,64.3,4,28.6,443,1994,1068,25,17,1,12,10,497,68,Matches
Álvaro djaló,es ESP,"FW,MF",24-136,10.2,446,11,43,129,286,66,446,51,21,41.2,24,47.1,298,1710,905,38,28,16,48,14,309,98,Matches
Victor Gomez,es ESP,DF,23-273,8.9,597,16,143,269,187,12,597,8,5,62.5,2,25.0,316,1473,784,15,14,3,6,3,368,76,Matches
José Fonte,pt POR,DF,40-008,9.9,693,75,336,335,23,9,693,1,1,100.0,0,0.0,417,1805,926,6,2,0,1,1,485,5,Matches
Bruma,pt POR,FW,29-067,8.6,531,1,23,185,332,72,531,62,34,54.8,26,41.9,371,2262,1297,48,22,22,29,13,405,102,Matches
Almoatasem Al Musrati,ly LBY,MF,27-268,7.7,609,9,101,409,102,17,607,5,4,80.0,1,20.0,404,1699,727,4,10,0,6,3,454,4,Matches
Serdar Saatçı,tr TUR,DF,20-319,7.6,590,47,266,307,17,6,590,3,2,66.7,1,33.3,351,1524,585,2,0,0,5,0,405,2,Matches
Rodrigo Zalazar,uy URU,MF,24-140,6.8,543,7,71,330,148,12,543,20,7,35.0,9,45.0,330,1987,964,22,11,2,12,10,357,23,Matches
Sikou Niakaté,ml MLI,DF,24-173,6.0,398,39,202,187,11,5,398,3,2,66.7,0,0.0,224,994,524,3,2,0,1,0,258,0,Matches
Vitor Carvalho,br BRA,MF,26-217,5.6,392,18,90,252,51,8,392,3,1,33.3,1,33.3,167,805,461,7,4,0,7,1,249,2,Matches
Pizzi,pt POR,"MF,FW",34-085,5.3,365,1,18,159,192,25,365,9,3,33.3,5,55.6,222,848,373,9,9,5,10,6,295,44,Matches
Paulo Oliveira,pt POR,DF,31-356,5.0,422,48,214,195,16,7,422,2,0,0.0,2,100.0,262,1072,597,2,1,1,1,0,269,3,Matches
Abel Ruiz,es ESP,"FW,MF",23-336,6.1,196,5,11,63,122,36,196,8,6,75.0,2,25.0,132,526,232,9,6,4,17,7,155,54,Matches
André Horta,pt POR,MF,27-053,5.0,520,6,54,297,175,7,520,11,4,36.4,5,45.5,333,1623,866,15,20,1,7,6,396,19,Matches
João Moutinho,pt POR,MF,37-113,4.7,463,7,59,303,105,4,463,5,3,60.0,1,20.0,278,1267,604,8,9,0,6,4,320,11,Matches
Adrián Marín,es ESP,DF,26-355,3.4,250,8,73,95,82,10,250,3,2,66.7,1,33.3,114,400,238,7,5,2,5,1,135,17,Matches
Joe Mendes,se SWE,DF,20-364,3.1,192,10,49,82,63,5,192,3,1,33.3,2,66.7,94,548,361,12,10,2,5,0,101,18,Matches
Rony Lopes,pt POR,"FW,DF",28-002,1.8,121,3,11,42,70,18,121,5,0,0.0,4,80.0,68,469,284,11,10,3,3,1,83,25,Matches
Roger Fernandes,gw GNB,"DF,FW",18-039,0.6,65,2,9,26,32,3,65,4,2,50.0,2,50.0,43,337,156,5,2,1,0,0,39,18,Matches
André Castro,pt POR,MF,35-272,0.4,45,3,6,34,5,1,45,0,0,,0,,18,65,29,0,0,0,0,0,28,0,Matches
Squad Total,,,28.5,14.0,9789,793,2597,4464,2802,473,9786,268,125,46.6,115,42.9,5789,27122,13813,271,211,71,242,111,6592,759,
Opponent Total,,,26.4,14.0,7088,996,2791,2931,1452,255,7086,250,126,50.4,106,42.4,3628,19351,9915,216,150,48,233,104,3879,361,
