Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Ricardo Batista,pt POR,GK,37-041,14.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
Nermin Zolotić,ba BIH,DF,30-176,13.8,21,14,11,10,0,18,31,58.1,13,17,9,8,14,35,54,1,Matches
Leonardo Lelo,pt POR,"MF,DF",23-275,13.7,21,10,13,6,2,16,31,51.6,15,12,2,10,18,39,23,0,Matches
Fernando Varela,cv CPV,DF,36-034,12.9,21,16,14,6,1,10,13,76.9,3,22,12,10,8,29,58,0,Matches
Yuki Soma,jp JPN,"FW,MF",26-308,10.2,11,8,2,7,2,4,9,44.4,5,5,0,5,0,11,6,0,Matches
Larra,es ESP,"MF,DF",26-013,9.7,14,12,7,6,1,7,15,46.7,8,8,1,7,12,26,23,0,Matches
Clayton,br BRA,FW,24-353,9.7,1,0,0,0,1,0,8,0.0,8,6,1,5,2,3,6,0,Matches
Vasco Fernandes,pt POR,DF,37-048,10.0,8,5,7,1,0,5,9,55.6,4,13,6,7,10,18,29,0,Matches
Neto,br BRA,MF,32-119,8.9,17,10,7,6,4,8,19,42.1,11,19,5,14,7,24,17,0,Matches
Pablo Roberto,br BRA,MF,24-046,8.9,19,8,3,14,2,10,25,40.0,15,11,1,10,10,29,7,0,Matches
Beni,ao ANG,MF,21-223,7.2,18,14,8,10,0,7,17,41.2,10,6,1,5,5,23,6,0,Matches
Felippe Cardoso,br BRA,FW,25-087,5.7,4,3,1,0,3,1,3,33.3,2,3,1,2,0,4,3,0,Matches
João Nunes,pt POR,DF,28-041,4.1,5,4,4,1,0,5,9,55.6,4,9,4,5,4,9,21,0,Matches
Saviour Godwin,ng NGA,"FW,MF",27-130,3.8,5,3,3,1,1,0,1,0.0,1,7,0,7,4,9,0,0,Matches
Samuel Justo,pt POR,MF,19-272,3.8,5,3,3,2,0,4,10,40.0,6,4,0,4,3,8,6,0,Matches
Tiago Dias,pt POR,"MF,FW",25-240,3.8,3,3,2,0,1,2,6,33.3,4,7,1,6,2,5,2,0,Matches
Fernando,br BRA,FW,30-356,4.1,8,6,2,3,3,3,7,42.9,4,4,0,4,0,8,1,0,Matches
Jajá,br BRA,FW,22-259,3.9,17,14,4,6,7,8,14,57.1,6,6,0,6,1,18,1,0,Matches
André Geraldes,pt POR,"MF,DF",32-242,4.0,4,2,4,0,0,2,2,100.0,0,4,0,4,0,4,10,0,Matches
Artur Serobyan,am ARM,MF,20-181,0.7,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,1,0,Matches
Telasco Segovia,ve VEN,MF,20-272,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,1,2,0,0,Matches
Rafael Martins,br BRA,MF,34-288,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Duplexe Tchamba,cm CMR,"DF,FW",25-173,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
Diogo Pinto,pt POR,MF,24-184,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.9,14.0,205,137,96,81,28,113,235,48.1,122,164,44,120,102,307,282,1,
Opponent Total,,,26.7,14.0,236,149,105,103,28,126,254,49.6,128,133,39,94,120,356,224,3,
