Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Ricardo Batista,pt POR,GK,37-041,14,1260.0,90.0,100.0,14.0,14,90.0,14,0,,0,1.14,13.0,17.0,-4.0,-0.29,,11.5,16.9,-5.4,-0.38,,Matches
Nermin Zolotić,ba BIH,DF,30-176,14,1240.0,89.0,98.4,13.8,14,89.0,12,0,,0,1.14,13.0,16.0,-3.0,-0.22,4.28,11.4,16.0,-4.6,-0.33,3.27,Matches
Leonardo Lelo,pt POR,"MF,DF",23-275,14,1233.0,88.0,97.9,13.7,14,88.0,12,0,,0,1.14,13.0,16.0,-3.0,-0.22,3.11,11.4,16.3,-4.9,-0.36,1.14,Matches
Fernando Varela,cv CPV,DF,36-034,13,1160.0,89.0,92.1,12.9,13,89.0,12,0,,0,1.0,9.0,16.0,-7.0,-0.54,-3.24,9.5,15.8,-6.3,-0.49,-1.33,Matches
Yuki Soma,jp JPN,"FW,MF",26-308,13,916.0,70.0,72.7,10.2,12,70.0,1,1,72.0,0,1.23,9.0,13.0,-4.0,-0.39,-0.39,7.5,10.1,-2.6,-0.26,0.47,Matches
Larra,es ESP,"MF,DF",26-013,12,877.0,73.0,69.6,9.7,12,73.0,3,0,,2,1.33,10.0,7.0,3.0,0.31,1.95,8.4,8.5,-0.1,-0.01,1.22,Matches
Clayton,br BRA,FW,24-353,14,870.0,62.0,69.0,9.7,11,74.0,2,3,19.0,0,1.14,9.0,14.0,-5.0,-0.52,-0.75,6.5,11.8,-5.3,-0.55,-0.54,Matches
Vasco Fernandes,pt POR,DF,37-048,10,900.0,90.0,71.4,10.0,10,90.0,10,0,,0,1.2,9.0,10.0,-1.0,-0.1,0.65,7.8,11.5,-3.7,-0.37,0.04,Matches
Neto,br BRA,MF,32-119,13,802.0,62.0,63.7,8.9,10,75.0,4,3,19.0,0,1.0,6.0,8.0,-2.0,-0.22,0.17,7.2,9.3,-2.1,-0.24,0.41,Matches
Pablo Roberto,br BRA,MF,24-046,12,801.0,67.0,63.6,8.9,10,74.0,2,2,33.0,1,1.08,8.0,10.0,-2.0,-0.22,0.17,8.4,9.0,-0.6,-0.07,0.87,Matches
Beni,ao ANG,MF,21-223,12,647.0,54.0,51.3,7.2,5,85.0,1,7,32.0,1,1.25,10.0,11.0,-1.0,-0.14,0.3,5.3,10.5,-5.2,-0.72,-0.7,Matches
Felippe Cardoso,br BRA,FW,25-087,14,511.0,37.0,40.6,5.7,4,77.0,1,10,21.0,0,1.14,6.0,6.0,0.0,0.0,0.48,5.7,7.5,-1.8,-0.32,0.1,Matches
João Nunes,pt POR,DF,28-041,5,370.0,74.0,29.4,4.1,4,90.0,4,1,10.0,9,1.4,5.0,7.0,-2.0,-0.49,-0.28,4.7,5.4,-0.8,-0.19,0.28,Matches
Saviour Godwin,ng NGA,"FW,MF",27-130,4,344.0,86.0,27.3,3.8,4,86.0,2,0,,0,1.25,6.0,4.0,2.0,0.52,1.11,3.5,3.6,-0.1,-0.03,0.49,Matches
Samuel Justo,pt POR,MF,19-272,10,344.0,34.0,27.3,3.8,4,75.0,2,6,7.0,2,1.1,2.0,5.0,-3.0,-0.78,-0.69,1.8,5.4,-3.5,-0.92,-0.74,Matches
Tiago Dias,pt POR,"MF,FW",25-240,9,339.0,38.0,26.9,3.8,4,70.0,0,5,12.0,5,0.89,3.0,5.0,-2.0,-0.53,-0.34,2.1,5.5,-3.4,-0.91,-0.72,Matches
Fernando,br BRA,FW,30-356,12,367.0,31.0,29.1,4.1,3,53.0,0,9,23.0,1,1.0,2.0,4.0,-2.0,-0.49,-0.29,3.1,7.1,-4.0,-0.97,-0.83,Matches
Jajá,br BRA,FW,22-259,8,349.0,44.0,27.7,3.9,3,87.0,2,5,17.0,2,1.13,4.0,7.0,-3.0,-0.77,-0.67,4.7,5.5,-0.8,-0.21,0.25,Matches
André Geraldes,pt POR,"MF,DF",32-242,11,356.0,32.0,28.3,4.0,2,77.0,1,9,23.0,1,0.91,3.0,8.0,-5.0,-1.26,-1.36,3.1,7.5,-4.4,-1.13,-1.03,Matches
Artur Serobyan,am ARM,MF,20-181,2,65.0,33.0,5.2,0.7,1,57.0,0,1,8.0,6,0.5,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.2,0.24,0.66,Matches
Telasco Segovia,ve VEN,MF,20-272,2,30.0,15.0,2.4,0.3,0,,0,2,15.0,1,1.5,1.0,1.0,0.0,0.0,0.29,0.7,0.9,-0.3,-0.86,-0.49,Matches
Rafael Martins,br BRA,MF,34-288,2,26.0,13.0,2.1,0.3,0,,0,2,13.0,0,1.5,1.0,0.0,1.0,3.46,3.83,1.0,0.2,0.8,2.86,3.31,Matches
Duplexe Tchamba,cm CMR,"DF,FW",25-173,2,10.0,5.0,0.8,0.1,0,,0,2,5.0,5,3.0,0.0,0.0,0.0,0.0,0.29,0.0,0.3,-0.2,-2.18,-1.81,Matches
Diogo Pinto,pt POR,MF,24-184,1,9.0,9.0,0.7,0.1,0,,0,1,9.0,0,3.0,1.0,0.0,1.0,10.0,10.36,0.9,0.1,0.9,7.8,8.25,Matches
Rafael Brito,pt POR,DF,21-345,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Samuel Ceita,pt POR,FW,17-106,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Derick,br BRA,FW,30-120,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Afonso Monteiro,pt POR,GK,18-186,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Isaac Monteiro,pt POR,DF,19-301,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Lucas Paes,br BRA,GK,26-023,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
Squad Total,,,28.9,14,1260.0,90.0,100.0,14.0,154,81.0,85,69,20.0,57,1.14,13.0,17.0,-4.0,-0.29,,11.5,16.9,-5.4,-0.38,,
