Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,15:30,Primeira Liga,Matchweek 1,Sun,Away,L,0.0,2.0,Rio Ave,0.3,3.2,27.0,3044.0,João Pedro,3-4-3,Ricardo Baixinho,Match Report,
2023-08-19,18:00,Primeira Liga,Matchweek 2,Sat,Home,L,2.0,4.0,Braga,1.4,1.3,45.0,5443.0,João Pedro Araújo Correia,4-4-2,João António Gonçalves,Match Report,
2023-08-26,18:00,Primeira Liga,Matchweek 3,Sat,Away,L,0.0,5.0,Farense,1.3,3.3,55.0,3858.0,João Pedro Araújo Correia,4-4-2,Luís Godinho,Match Report,
2023-09-03,15:30,Primeira Liga,Matchweek 4,Sun,Home,L,1.0,2.0,Moreirense,0.7,0.9,62.0,2406.0,João Pedro Araújo Correia,4-2-3-1,Hélder Carvalho,Match Report,
2023-09-18,20:15,Primeira Liga,Matchweek 5,Mon,Away,L,1.0,4.0,Boavista,1.9,2.1,51.0,7022.0,Ricardo Guimarães,4-2-3-1,Nuno Almeida,Match Report,
2023-09-24,15:30,Primeira Liga,Matchweek 6,Sun,Home,D,2.0,2.0,Estrela,1.7,1.6,50.0,2420.0,João Pedro Araújo Correia,3-4-3,Ricardo Baixinho,Match Report,
2023-10-01,15:30,Primeira Liga,Matchweek 7,Sun,Away,W,2.0,0.0,Arouca,1.0,0.6,40.0,1765.0,João Pedro Araújo Correia,3-4-3,Fábio Oliveira Melo,Match Report,
2023-10-07,15:30,Primeira Liga,Matchweek 8,Sat,Home,W,4.0,2.0,Gil Vicente FC,2.3,2.0,45.0,2522.0,João Pedro Araújo Correia,3-4-3,João António Gonçalves,Match Report,
2023-10-28,18:00,Primeira Liga,Matchweek 9,Sat,Away,L,0.0,5.0,Vitória,0.1,1.8,40.0,12984.0,João Pedro Araújo Correia,3-4-3,Fábio Veríssimo,Match Report,
2023-11-04,15:30,Primeira Liga,Matchweek 10,Sat,Home,L,0.0,2.0,Benfica,0.1,2.3,35.0,8271.0,João Pedro Araújo Correia,3-4-3,Hélder Malheiro,Match Report,
2023-11-11,15:30,Primeira Liga,Matchweek 11,Sat,Away,L,1.0,2.0,Portimonense,1.2,1.2,54.0,1553.0,João Pedro Araújo Correia,3-4-3,David Silva,Match Report,
2023-12-01,20:30,Primeira Liga,Matchweek 12,Fri,Home,W,2.0,1.0,Vizela,1.6,0.7,41.0,2788.0,Steven Vitória,3-4-3,Luís Godinho,Match Report,
2023-12-10,20:30,Primeira Liga,Matchweek 13,Sun,Away,L,0.0,4.0,Estoril,0.6,2.7,40.0,1578.0,Steven Vitória,3-4-3,Carlos Macedo,Match Report,
2023-12-17,15:30,Primeira Liga,Matchweek 14,Sun,Home,L,1.0,3.0,Casa Pia,1.1,1.1,52.0,1980.0,João Pedro Araújo Correia,3-4-3,Iancu Vasilica,Match Report,
2023-12-29,20:45,Primeira Liga,Matchweek 15,Fri,Away,L,0.0,1.0,Porto,0.6,1.3,33.0,41529.0,João Pedro Araújo Correia,4-3-3,Gustavo Correia,Match Report,
2024-01-07,20:30,Primeira Liga,Matchweek 16,Sun,Away,,,,Famalicão,,,,,,,,Head-to-Head,
2024-01-13,18:00,Primeira Liga,Matchweek 17,Sat,Home,,,,Sporting CP,,,,,,,,Head-to-Head,
2024-01-21,18:00,Primeira Liga,Matchweek 18,Sun,Home,,,,Rio Ave,,,,,,,,Head-to-Head,
2024-01-28,,Primeira Liga,Matchweek 19,Sun,Away,,,,Braga,,,,,,,,Head-to-Head,
2024-02-04,,Primeira Liga,Matchweek 20,Sun,Home,,,,Farense,,,,,,,,Head-to-Head,
2024-02-11,,Primeira Liga,Matchweek 21,Sun,Away,,,,Moreirense,,,,,,,,Head-to-Head,
2024-02-18,,Primeira Liga,Matchweek 22,Sun,Home,,,,Boavista,,,,,,,,Head-to-Head,
2024-02-25,,Primeira Liga,Matchweek 23,Sun,Away,,,,Estrela,,,,,,,,Head-to-Head,
2024-03-03,,Primeira Liga,Matchweek 24,Sun,Home,,,,Arouca,,,,,,,,Head-to-Head,
2024-03-10,,Primeira Liga,Matchweek 25,Sun,Away,,,,Gil Vicente FC,,,,,,,,Head-to-Head,
2024-03-17,,Primeira Liga,Matchweek 26,Sun,Home,,,,Vitória,,,,,,,,Head-to-Head,
2024-03-30,,Primeira Liga,Matchweek 27,Sat,Away,,,,Benfica,,,,,,,,Head-to-Head,
2024-04-07,,Primeira Liga,Matchweek 28,Sun,Home,,,,Portimonense,,,,,,,,Head-to-Head,
2024-04-14,,Primeira Liga,Matchweek 29,Sun,Away,,,,Vizela,,,,,,,,Head-to-Head,
2024-04-21,,Primeira Liga,Matchweek 30,Sun,Home,,,,Estoril,,,,,,,,Head-to-Head,
2024-04-28,,Primeira Liga,Matchweek 31,Sun,Away,,,,Casa Pia,,,,,,,,Head-to-Head,
2024-05-05,,Primeira Liga,Matchweek 32,Sun,Home,,,,Porto,,,,,,,,Head-to-Head,
2024-05-12,,Primeira Liga,Matchweek 33,Sun,Home,,,,Famalicão,,,,,,,,Head-to-Head,
2024-05-19,,Primeira Liga,Matchweek 34,Sun,Away,,,,Sporting CP,,,,,,,,Head-to-Head,
