Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Héctor,es ESP,FW,28-107,15,15,1289.0,14.3,8.0,1.0,9.0,6.0,2.0,2.0,1.0,0.0,6.6,5.0,0.6,5.6,5.0,30.0,39.0,0.56,0.07,0.63,0.42,0.49,0.46,0.04,0.5,0.35,0.39,Matches
Kelechi Nwakali,ng NGA,MF,25-208,15,12,1068.0,11.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.4,2.8,16.0,91.0,15.0,0.0,0.25,0.25,0.0,0.25,0.04,0.2,0.24,0.04,0.24,Matches
Bruno Langa,mz MOZ,"DF,MF",26-060,14,12,1043.0,11.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.3,0.3,0.8,1.1,25.0,64.0,42.0,0.09,0.0,0.09,0.09,0.09,0.02,0.07,0.09,0.02,0.09,Matches
Bruno Rodrigues,pt POR,DF,22-205,12,12,1011.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,9.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Hugo Souza,br BRA,GK,24-333,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Pedro Araújo Correia,cv CPV,"DF,MF",27-116,13,11,908.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.6,28.0,24.0,51.0,0.1,0.0,0.1,0.1,0.1,0.03,0.04,0.06,0.03,0.06,Matches
Sandro Cruz,pt POR,"DF,MF",22-232,12,10,774.0,8.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,10.0,16.0,12.0,0.12,0.12,0.23,0.12,0.23,0.03,0.08,0.1,0.03,0.1,Matches
Ygor Nogueira,br BRA,DF,28-278,10,9,783.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.6,0.6,0.5,1.1,5.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches
Steven Vitória,ca CAN,DF,36-353,10,9,740.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.6,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches
Leandro Sanca,gw GNB,"FW,MF",23-360,14,8,863.0,9.6,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,1.4,2.5,38.0,22.0,79.0,0.0,0.31,0.31,0.0,0.31,0.12,0.14,0.26,0.12,0.26,Matches
Ricardo Guimarães,mz MOZ,MF,28-046,12,7,591.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.3,0.5,8.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches
Paulo Victor,br BRA,FW,22-284,12,6,624.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,0.3,1.5,13.0,10.0,42.0,0.14,0.14,0.29,0.14,0.29,0.16,0.05,0.21,0.16,0.21,Matches
Rúben Tiago Rodrigues Ribeiro,pt POR,"MF,FW",36-151,8,6,542.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.9,1.1,12.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.19,0.03,0.19,Matches
Benny,pt POR,"MF,FW",23-278,13,5,511.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.6,2.6,13.0,24.0,34.0,0.18,0.0,0.18,0.18,0.18,0.16,0.29,0.45,0.16,0.45,Matches
