Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Rafik Guitane,fr FRA,"FW,MF",24-218,13.6,6,3,1,4,1,1,10,10.0,9,10,1,9,6,12,2,0,Matches
Tiago Araújo,pt POR,"DF,MF",22-278,13.5,24,15,12,11,1,15,32,46.9,17,13,0,13,15,39,39,1,Matches
Bernardo Vital,pt POR,DF,23-001,11.5,12,6,10,2,0,7,13,53.8,6,18,11,7,3,15,52,0,Matches
Jordan Holsgrove,sct SCO,MF,24-111,10.9,26,22,7,16,3,11,19,57.9,8,10,6,4,14,40,18,2,Matches
Pedro Álvaro,pt POR,DF,23-303,11.0,7,5,7,0,0,4,8,50.0,4,10,7,3,13,20,57,0,Matches
João Marques,pt POR,"MF,FW",21-320,10.6,22,13,4,12,6,6,15,40.0,9,14,2,12,7,29,4,0,Matches
Volnei Feltes,br BRA,DF,23-259,9.7,12,9,4,8,0,5,19,26.3,14,15,9,6,13,25,42,2,Matches
Rodrigo Gomes,pt POR,"DF,MF",20-176,10.6,16,11,5,8,3,3,20,15.0,17,11,2,9,12,28,16,0,Matches
Marcelo Carné,br BRA,GK,33-327,9.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,2,Matches
Cassiano,br BRA,FW,34-197,7.7,12,9,2,4,6,4,17,23.5,13,7,1,6,0,12,5,0,Matches
Mateus Fernandes,pt POR,MF,19-173,8.5,29,16,8,18,3,16,30,53.3,14,16,3,13,12,41,7,1,Matches
Heriberto Tavares,pt POR,"FW,MF",26-314,5.6,4,2,3,1,0,1,6,16.7,5,2,0,2,2,6,1,1,Matches
Alejandro Marqués,ve VEN,FW,23-148,6.3,4,3,1,2,1,2,6,33.3,4,5,1,4,1,5,7,0,Matches
Daniel Leite,pt POR,GK,25-163,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
Koba Koindredi,fr FRA,MF,22-064,3.5,11,5,8,2,1,6,10,60.0,4,1,1,0,8,19,4,0,Matches
Erick Cabaco,uy URU,DF,28-255,3.7,5,4,3,2,0,1,3,33.3,2,4,3,1,7,12,16,0,Matches
Eliaquim Mangala,fr FRA,DF,32-320,3.1,2,0,2,0,0,1,1,100.0,0,1,1,0,5,7,20,0,Matches
Raúl Parra,es ESP,DF,24-034,2.4,6,4,4,2,0,2,4,50.0,2,1,0,1,0,6,4,0,Matches
Ivan Pavlic,be BEL,MF,22-050,2.0,4,2,3,1,0,4,6,66.7,2,1,0,1,1,5,2,0,Matches
Alexandre Miguel Barros Soares,pt POR,MF,32-304,2.8,9,4,2,6,1,4,6,66.7,2,2,1,1,3,12,3,0,Matches
Wagner Pina,pt POR,"DF,MF",21-057,1.5,4,3,3,1,0,2,3,66.7,1,2,0,2,0,4,4,0,Matches
João Carlos,br BRA,"FW,DF",28-304,0.6,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Mor Ndiaye,sn SEN,"FW,MF",23-038,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,Matches
Rodrigo Martins,pt POR,"DF,FW",25-106,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Squad Total,,,24.8,14.0,219,138,92,101,26,98,232,42.2,134,143,49,94,123,342,316,9,
Opponent Total,,,26.8,14.0,251,151,125,97,29,130,261,49.8,131,159,48,111,106,357,239,6,
